transition,T_e,n_e,gamma_W,gamma_d
194.7500,5000,1.000e+17,0.0416,-0.00592
194.7500,10000,1.000e+17,0.0292,-0.00423
194.7500,50000,1.000e+17,0.0126,-0.00189
194.7500,100000,1.000e+17,0.00921,-0.00127
194.7500,250000,1.000e+17,0.00761,-0.000553
194.7500,500000,1.000e+17,0.00758,-0.000272
208.3900,5000,1.000e+17,0.0455,-0.00785
208.3900,10000,1.000e+17,0.0319,-0.00561
208.3900,50000,1.000e+17,0.0138,-0.00253
208.3900,100000,1.000e+17,0.0101,-0.00175
208.3900,250000,1.000e+17,0.00832,-0.000869
208.3900,500000,1.000e+17,0.00829,-0.000521
204.1200,5000,1.000e+17,0.044,-0.00779
204.1200,10000,1.000e+17,0.0308,-0.00557
204.1200,50000,1.000e+17,0.0133,-0.00251
204.1200,100000,1.000e+17,0.00973,-0.00173
204.1200,250000,1.000e+17,0.00804,-0.000861
204.1200,500000,1.000e+17,0.00801,-0.000518
