transition,T_e,n_e,gamma_W,gamma_d
526.5400,5000,1.000e+17,0.0354,0.00445
526.5400,10000,1.000e+17,0.0504,0.00804
526.5400,15000,1.000e+17,0.0555,0.01
526.5400,20000,1.000e+17,0.059,0.0118
526.5400,30000,1.000e+17,0.0631,0.0137
526.5400,50000,1.000e+17,0.0682,0.0158
480.1500,5000,1.000e+17,0.0372,-5.46e-05
480.1500,10000,1.000e+17,0.0518,-0.000122
480.1500,15000,1.000e+17,0.0562,-0.000187
480.1500,20000,1.000e+17,0.0595,-0.00025
480.1500,30000,1.000e+17,0.0636,-0.000355
480.1500,50000,1.000e+17,0.0682,-0.000514
501.5300,5000,1.000e+17,0.0611,-0.000342
501.5300,10000,1.000e+17,0.0806,-0.000745
501.5300,15000,1.000e+17,0.0874,-0.00109
501.5300,20000,1.000e+17,0.0919,-0.00136
501.5300,30000,1.000e+17,0.098,-0.00177
501.5300,50000,1.000e+17,0.103,-0.00226
449.3200,5000,1.000e+17,0.0391,0.00154
449.3200,10000,1.000e+17,0.0534,0.00296
449.3200,15000,1.000e+17,0.0578,0.00395
449.3200,20000,1.000e+17,0.0609,0.00458
449.3200,30000,1.000e+17,0.0652,0.00561
449.3200,50000,1.000e+17,0.0697,0.00654
546.4200,5000,1.000e+17,0.0424,4.86e-05
546.4200,10000,1.000e+17,0.0598,0.000109
546.4200,15000,1.000e+17,0.0653,0.000168
546.4200,20000,1.000e+17,0.0693,0.000225
546.4200,30000,1.000e+17,0.074,0.000325
546.4200,50000,1.000e+17,0.0798,0.000478
647.2100,5000,1.000e+17,0.0594,-0.0046
647.2100,10000,1.000e+17,0.0838,-0.00865
647.2100,15000,1.000e+17,0.0915,-0.011
647.2100,20000,1.000e+17,0.0971,-0.013
647.2100,30000,1.000e+17,0.104,-0.0155
647.2100,50000,1.000e+17,0.112,-0.0179
570.9700,5000,1.000e+17,0.0513,-0.00443
570.9700,10000,1.000e+17,0.0717,-0.00818
570.9700,15000,1.000e+17,0.0779,-0.0102
570.9700,20000,1.000e+17,0.0826,-0.0121
570.9700,30000,1.000e+17,0.0883,-0.0142
570.9700,50000,1.000e+17,0.095,-0.0163
