transition,T_e,n_e,gamma_W,gamma_d
463.9900,10000,1.000e+17,0.0163,-0.00406
463.9900,20000,1.000e+17,0.0317,-0.00878
463.9900,30000,1.000e+17,0.0403,-0.0123
463.9900,50000,1.000e+17,0.052,-0.0166
463.9900,100000,1.000e+17,0.0617,-0.023
463.9900,150000,1.000e+17,0.0665,-0.0256
410.0500,10000,1.000e+17,0.0071,-0.00232
410.0500,20000,1.000e+17,0.0149,-0.00512
410.0500,30000,1.000e+17,0.0203,-0.00725
410.0500,50000,1.000e+17,0.0267,-0.0102
410.0500,100000,1.000e+17,0.0334,-0.0142
410.0500,150000,1.000e+17,0.0364,-0.0158
