transition,T_e,n_e,gamma_W,gamma_d
819.1100,10000,1.000e+17,0.812,0.477
819.1100,20000,1.000e+17,0.887,0.6
819.1100,30000,1.000e+17,0.934,0.67
819.1100,80000,1.000e+17,1.06,0.841
1139.7000,2500,1.000e+17,0.689,0.3
1139.7000,5000,1.000e+17,0.784,0.451
1139.7000,10000,1.000e+17,0.865,0.587
1139.7000,20000,1.000e+17,0.952,0.716
1139.7000,30000,1.000e+17,1.01,0.791
1139.7000,80000,1.000e+17,1.16,0.977
615.8600,80000,1.000e+17,1.24,1.06
589.1800,2500,1.000e+17,0.116,0.0238
589.1800,5000,1.000e+17,0.123,0.0294
589.1800,10000,1.000e+17,0.125,0.0348
589.1800,20000,1.000e+17,0.127,0.0404
589.1800,30000,1.000e+17,0.128,0.0438
589.1800,80000,1.000e+17,0.131,0.0527
330.2600,30000,1.000e+17,0.227,-0.0877
330.2600,80000,1.000e+17,0.236,-0.109
