transition,T_e,n_e,gamma_W,gamma_d
199.5900,10000,1.000e+17,0.0558,
199.5900,20000,1.000e+17,0.0394,
199.5900,40000,1.000e+17,0.0279,
199.5900,80000,1.000e+17,0.0197,
199.5900,160000,1.000e+17,0.0152,
194.7100,10000,1.000e+17,0.0514,
194.7100,20000,1.000e+17,0.0363,
194.7100,40000,1.000e+17,0.0257,
194.7100,80000,1.000e+17,0.0182,
194.7100,160000,1.000e+17,0.0139,
185.2000,10000,1.000e+17,0.0447,
185.2000,20000,1.000e+17,0.0316,
185.2000,40000,1.000e+17,0.0223,
185.2000,80000,1.000e+17,0.0158,
185.2000,160000,1.000e+17,0.0121,
245.8900,10000,1.000e+17,0.0689,
245.8900,20000,1.000e+17,0.0487,
245.8900,40000,1.000e+17,0.0345,
245.8900,80000,1.000e+17,0.0244,
245.8900,160000,1.000e+17,0.0195,
224.7400,10000,1.000e+17,0.0593,
224.7400,20000,1.000e+17,0.0419,
224.7400,40000,1.000e+17,0.0296,
224.7400,80000,1.000e+17,0.021,
224.7400,160000,1.000e+17,0.0168,
223.2500,10000,1.000e+17,0.0545,
223.2500,20000,1.000e+17,0.0385,
223.2500,40000,1.000e+17,0.0272,
223.2500,80000,1.000e+17,0.0193,
223.2500,160000,1.000e+17,0.0154,
251.5600,10000,1.000e+17,0.0667,
251.5600,20000,1.000e+17,0.0472,
251.5600,40000,1.000e+17,0.0333,
251.5600,80000,1.000e+17,0.0237,
251.5600,160000,1.000e+17,0.0189,
197.1500,10000,1.000e+17,0.0444,
197.1500,20000,1.000e+17,0.0311,
197.1500,40000,1.000e+17,0.022,
197.1500,80000,1.000e+17,0.0156,
197.1500,160000,1.000e+17,0.0124,
