transition,T_e,n_e,gamma_W,gamma_d
224.5600,50000,1.000e+17,0.0192,
224.5600,100000,1.000e+17,0.0139,
224.5600,200000,1.000e+17,0.011,
224.5600,400000,1.000e+17,0.00949,
224.5600,800000,1.000e+17,0.00825,
417.5500,50000,1.000e+17,0.0607,
417.5500,100000,1.000e+17,0.0472,
417.5500,200000,1.000e+17,0.0392,
417.5500,400000,1.000e+17,0.0335,
417.5500,800000,1.000e+17,0.0286,
142.2800,50000,1.000e+17,0.0069,
142.2800,100000,1.000e+17,0.00511,
142.2800,200000,1.000e+17,0.00417,
142.2800,400000,1.000e+17,0.00357,
142.2800,800000,1.000e+17,0.00309,
154.2900,50000,1.000e+17,0.00862,
154.2900,100000,1.000e+17,0.00609,
154.2900,200000,1.000e+17,0.00475,
154.2900,400000,1.000e+17,0.00401,
154.2900,800000,1.000e+17,0.00346,
12.7800,50000,1.000e+17,3.21e-05,
12.7800,100000,1.000e+17,2.27e-05,
12.7800,200000,1.000e+17,1.68e-05,
12.7800,400000,1.000e+17,1.38e-05,
12.7800,800000,1.000e+17,1.18e-05,
13.4500,50000,1.000e+17,3.56e-05,
13.4500,100000,1.000e+17,2.52e-05,
13.4500,200000,1.000e+17,1.86e-05,
13.4500,400000,1.000e+17,1.53e-05,
13.4500,800000,1.000e+17,1.31e-05,
12.3900,50000,1.000e+17,3.01e-05,
12.3900,100000,1.000e+17,2.13e-05,
12.3900,200000,1.000e+17,1.68e-05,
12.3900,400000,1.000e+17,1.41e-05,
12.3900,800000,1.000e+17,1.21e-05,
