transition,T_e,n_e,gamma_W,gamma_d
4.9000,200000,1.000e+17,0.000115,8.6e-05
4.9000,500000,1.000e+17,0.000174,0.00011
4.9000,1000000,1.000e+17,0.000217,0.000124
4.9000,2000000,1.000e+17,0.000261,0.00014
4.9000,3000000,1.000e+17,0.000261,0.000158
4.9000,5000000,1.000e+17,0.000299,0.000159
4.1300,200000,1.000e+17,2.64e-05,2.81e-05
4.1300,500000,1.000e+17,3.66e-05,3.61e-05
4.1300,1000000,1.000e+17,4.63e-05,4.18e-05
4.1300,2000000,1.000e+17,5.52e-05,4.86e-05
4.1300,3000000,1.000e+17,5.95e-05,5.18e-05
4.1300,5000000,1.000e+17,6.96e-05,5.74e-05
3.9900,200000,1.000e+17,5.6e-05,5.61e-05
3.9900,500000,1.000e+17,7.63e-05,7.13e-05
3.9900,1000000,1.000e+17,9.1e-05,8.1e-05
3.9900,2000000,1.000e+17,0.000107,9.18e-05
3.9900,3000000,1.000e+17,0.000103,9.99e-05
3.9900,5000000,1.000e+17,0.000135,0.000104
3.9100,1000000,1.000e+17,0.000163,0.000144
3.9100,2000000,1.000e+17,0.000179,0.000161
3.9100,3000000,1.000e+17,0.000208,0.000178
3.9100,5000000,1.000e+17,0.000246,0.000185
4.0300,200000,1.000e+17,1.96e-05,2.15e-05
4.0300,500000,1.000e+17,2.79e-05,2.77e-05
4.0300,1000000,1.000e+17,3.52e-05,3.22e-05
4.0300,2000000,1.000e+17,4.13e-05,3.63e-05
4.0300,3000000,1.000e+17,4.42e-05,3.91e-05
4.0300,5000000,1.000e+17,4.86e-05,4.18e-05
3.9000,200000,1.000e+17,4.25e-05,4.33e-05
3.9000,500000,1.000e+17,5.92e-05,5.47e-05
3.9000,1000000,1.000e+17,6.93e-05,6.23e-05
3.9000,2000000,1.000e+17,8.07e-05,7.17e-05
3.9000,3000000,1.000e+17,9.27e-05,7.46e-05
3.9000,5000000,1.000e+17,9.94e-05,8.48e-05
3.8200,500000,1.000e+17,0.000111,0.000101
3.8200,1000000,1.000e+17,0.000132,0.000117
3.8200,2000000,1.000e+17,0.000155,0.000127
3.8200,3000000,1.000e+17,0.000162,0.000136
3.8200,5000000,1.000e+17,0.000186,0.000151
2773.9300,200000,1.000e+17,0.417,0.8
2773.9300,500000,1.000e+17,0.997,1.23
2773.9300,1000000,1.000e+17,1.47,1.47
2773.9300,2000000,1.000e+17,1.95,1.77
2773.9300,3000000,1.000e+17,2.34,1.91
2773.9300,5000000,1.000e+17,2.83,2.12
18.8700,200000,1.000e+17,0.00172,0.00128
18.8700,500000,1.000e+17,0.0026,0.00163
18.8700,1000000,1.000e+17,0.00322,0.00185
18.8700,2000000,1.000e+17,0.00389,0.00208
18.8700,3000000,1.000e+17,0.0039,0.00236
18.8700,5000000,1.000e+17,0.00444,0.00237
11.0000,200000,1.000e+17,0.00019,0.000202
11.0000,500000,1.000e+17,0.000264,0.000259
11.0000,1000000,1.000e+17,0.000331,0.000296
11.0000,2000000,1.000e+17,0.000404,0.000346
11.0000,3000000,1.000e+17,0.000436,0.000369
11.0000,5000000,1.000e+17,0.000504,0.000409
10.0900,200000,1.000e+17,0.00036,0.000359
10.0900,500000,1.000e+17,0.00049,0.000457
10.0900,1000000,1.000e+17,0.000584,0.000519
10.0900,2000000,1.000e+17,0.000693,0.000589
10.0900,3000000,1.000e+17,0.000667,0.000643
10.0900,5000000,1.000e+17,0.000867,0.000667
9.5800,1000000,1.000e+17,0.000977,0.000867
9.5800,2000000,1.000e+17,0.00108,0.000967
9.5800,3000000,1.000e+17,0.00125,0.00107
9.5800,5000000,1.000e+17,0.00148,0.00111
18.2700,200000,1.000e+17,0.000177,0.000212
18.2700,500000,1.000e+17,0.000297,0.000272
18.2700,1000000,1.000e+17,0.000406,0.000324
18.2700,2000000,1.000e+17,0.000534,0.000366
18.2700,3000000,1.000e+17,0.000628,0.000393
18.2700,5000000,1.000e+17,0.000743,0.000436
9.9300,200000,1.000e+17,0.000276,0.000281
9.9300,500000,1.000e+17,0.000384,0.000355
9.9300,1000000,1.000e+17,0.00045,0.000404
9.9300,2000000,1.000e+17,0.000524,0.000466
9.9300,3000000,1.000e+17,0.000603,0.000485
9.9300,5000000,1.000e+17,0.000646,0.000551
9.4300,500000,1.000e+17,0.000678,0.000614
9.4300,1000000,1.000e+17,0.000803,0.000717
9.4300,2000000,1.000e+17,0.000945,0.000775
9.4300,3000000,1.000e+17,0.000988,0.000831
9.4300,5000000,1.000e+17,0.00114,0.000923
7267.4400,200000,1.000e+17,263.0,198.0
7267.4400,500000,1.000e+17,400.0,250.0
7267.4400,1000000,1.000e+17,486.0,290.0
7267.4400,2000000,1.000e+17,593.0,318.0
7267.4400,3000000,1.000e+17,624.0,365.0
7267.4400,5000000,1.000e+17,665.0,369.0
41.2400,200000,1.000e+17,0.00144,0.00161
41.2400,500000,1.000e+17,0.00208,0.00207
41.2400,1000000,1.000e+17,0.00266,0.00243
41.2400,2000000,1.000e+17,0.00325,0.00277
41.2400,3000000,1.000e+17,0.00362,0.00296
41.2400,5000000,1.000e+17,0.00426,0.00334
26.4600,200000,1.000e+17,0.00124,0.00129
26.4600,500000,1.000e+17,0.00174,0.00166
26.4600,1000000,1.000e+17,0.0021,0.00191
26.4600,2000000,1.000e+17,0.00252,0.00214
26.4600,3000000,1.000e+17,0.00282,0.0023
26.4600,5000000,1.000e+17,0.00323,0.00256
21.7600,200000,1.000e+17,0.00173,0.00173
21.7600,500000,1.000e+17,0.00238,0.0022
21.7600,1000000,1.000e+17,0.00277,0.00249
21.7600,2000000,1.000e+17,0.00338,0.0028
21.7600,3000000,1.000e+17,0.00342,0.0032
21.7600,5000000,1.000e+17,0.00406,0.00318
19.5200,1000000,1.000e+17,0.00409,0.00368
19.5200,2000000,1.000e+17,0.00457,0.00409
19.5200,3000000,1.000e+17,0.00527,0.00453
19.5200,5000000,1.000e+17,0.00632,0.00469
1806.3600,200000,1.000e+17,1.59,1.92
1806.3600,500000,1.000e+17,2.72,2.49
1806.3600,1000000,1.000e+17,3.7,2.94
1806.3600,2000000,1.000e+17,5.1,3.36
1806.3600,3000000,1.000e+17,5.96,3.67
1806.3600,5000000,1.000e+17,6.95,4.0
21.5100,200000,1.000e+17,0.00128,0.00131
21.5100,500000,1.000e+17,0.00179,0.00165
21.5100,1000000,1.000e+17,0.00211,0.00189
21.5100,2000000,1.000e+17,0.00243,0.00216
21.5100,3000000,1.000e+17,0.00282,0.00227
21.5100,5000000,1.000e+17,0.00298,0.00256
19.2900,500000,1.000e+17,0.00282,0.00256
19.2900,1000000,1.000e+17,0.00334,0.00299
19.2900,2000000,1.000e+17,0.00395,0.00323
19.2900,3000000,1.000e+17,0.00414,0.00346
19.2900,5000000,1.000e+17,0.00475,0.00385
1350.0700,200000,1.000e+17,0.853,-1.08
1350.0700,500000,1.000e+17,1.38,-1.4
1350.0700,1000000,1.000e+17,1.77,-1.67
1350.0700,2000000,1.000e+17,2.28,-1.89
1350.0700,3000000,1.000e+17,2.63,-2.06
1350.0700,5000000,1.000e+17,2.9,-2.27
