transition,T_e,n_e,gamma_W,gamma_d
227.4600,10000,1.000e+17,0.0736,
227.4600,20000,1.000e+17,0.0521,
227.4600,50000,1.000e+17,0.0329,
227.4600,100000,1.000e+17,0.0238,
227.4600,200000,1.000e+17,0.0195,
227.4600,300000,1.000e+17,0.0188,
259.9700,10000,1.000e+17,0.0929,
259.9700,20000,1.000e+17,0.0657,
259.9700,50000,1.000e+17,0.0415,
259.9700,100000,1.000e+17,0.0302,
259.9700,200000,1.000e+17,0.0249,
259.9700,300000,1.000e+17,0.0238,
237.3500,10000,1.000e+17,0.0788,
237.3500,20000,1.000e+17,0.0557,
237.3500,50000,1.000e+17,0.0352,
237.3500,100000,1.000e+17,0.0256,
237.3500,200000,1.000e+17,0.0209,
237.3500,300000,1.000e+17,0.0202,
263.5000,10000,1.000e+17,0.0956,
263.5000,20000,1.000e+17,0.0676,
263.5000,50000,1.000e+17,0.0427,
263.5000,100000,1.000e+17,0.0311,
263.5000,200000,1.000e+17,0.0256,
263.5000,300000,1.000e+17,0.0245,
254.6400,10000,1.000e+17,0.0901,
254.6400,20000,1.000e+17,0.0637,
254.6400,50000,1.000e+17,0.0403,
254.6400,100000,1.000e+17,0.0293,
254.6400,200000,1.000e+17,0.0241,
254.6400,300000,1.000e+17,0.0231,
241.5200,10000,1.000e+17,0.0818,
241.5200,20000,1.000e+17,0.0579,
241.5200,50000,1.000e+17,0.0366,
241.5200,100000,1.000e+17,0.0265,
241.5200,200000,1.000e+17,0.0217,
241.5200,300000,1.000e+17,0.0209,
236.2800,10000,1.000e+17,0.0785,
236.2800,20000,1.000e+17,0.0555,
236.2800,50000,1.000e+17,0.0351,
236.2800,100000,1.000e+17,0.0255,
236.2800,200000,1.000e+17,0.0209,
236.2800,300000,1.000e+17,0.0201,
268.6500,10000,1.000e+17,0.0996,
268.6500,20000,1.000e+17,0.0704,
268.6500,50000,1.000e+17,0.0445,
268.6500,100000,1.000e+17,0.0324,
268.6500,200000,1.000e+17,0.0266,
268.6500,300000,1.000e+17,0.0255,
259.4500,10000,1.000e+17,0.0938,
259.4500,20000,1.000e+17,0.0664,
259.4500,50000,1.000e+17,0.042,
259.4500,100000,1.000e+17,0.0305,
259.4500,200000,1.000e+17,0.0251,
259.4500,300000,1.000e+17,0.0241,
250.0500,10000,1.000e+17,0.0879,
250.0500,20000,1.000e+17,0.0662,
250.0500,50000,1.000e+17,0.0393,
250.0500,100000,1.000e+17,0.0286,
250.0500,200000,1.000e+17,0.0235,
250.0500,300000,1.000e+17,0.0226,
246.9500,10000,1.000e+17,0.0858,
246.9500,20000,1.000e+17,0.0607,
246.9500,50000,1.000e+17,0.0384,
246.9500,100000,1.000e+17,0.0278,
246.9500,200000,1.000e+17,0.0228,
246.9500,300000,1.000e+17,0.0219,
241.4700,10000,1.000e+17,0.0823,
241.4700,20000,1.000e+17,0.0582,
241.4700,50000,1.000e+17,0.0368,
241.4700,100000,1.000e+17,0.0267,
241.4700,200000,1.000e+17,0.0218,
241.4700,300000,1.000e+17,0.021,
245.7800,10000,1.000e+17,0.0859,
245.7800,20000,1.000e+17,0.0608,
245.7800,50000,1.000e+17,0.0384,
245.7800,100000,1.000e+17,0.0279,
245.7800,200000,1.000e+17,0.0229,
245.7800,300000,1.000e+17,0.022,
265.7300,10000,1.000e+17,0.0988,
265.7300,20000,1.000e+17,0.0698,
265.7300,50000,1.000e+17,0.0442,
265.7300,100000,1.000e+17,0.0321,
265.7300,200000,1.000e+17,0.0264,
265.7300,300000,1.000e+17,0.0253,
255.8700,10000,1.000e+17,0.0924,
255.8700,20000,1.000e+17,0.0653,
255.8700,50000,1.000e+17,0.0413,
255.8700,100000,1.000e+17,0.03,
255.8700,200000,1.000e+17,0.0246,
255.8700,300000,1.000e+17,0.0237,
