transition,T_e,n_e,gamma_W,gamma_d
304.5300,5000,1.000e+17,0.0107,0.0105
304.5300,10000,1.000e+17,0.0182,0.0164
304.5300,20000,1.000e+17,0.0239,0.0216
304.5300,30000,1.000e+17,0.0272,0.0242
304.5300,50000,1.000e+17,0.0319,0.0279
304.5300,100000,1.000e+17,0.0376,0.0329
278.5200,5000,1.000e+17,0.00872,0.00884
278.5200,10000,1.000e+17,0.015,0.0139
278.5200,20000,1.000e+17,0.0199,0.0183
278.5200,30000,1.000e+17,0.0225,0.0204
278.5200,50000,1.000e+17,0.0264,0.0236
278.5200,100000,1.000e+17,0.0319,0.0278
341.4800,5000,1.000e+17,0.0139,0.013
341.4800,10000,1.000e+17,0.0232,0.0203
341.4800,20000,1.000e+17,0.0304,0.0268
341.4800,30000,1.000e+17,0.0345,0.03
341.4800,50000,1.000e+17,0.0405,0.0348
341.4800,100000,1.000e+17,0.0467,0.0405
371.4100,5000,1.000e+17,0.00865,-0.000634
371.4100,10000,1.000e+17,0.013,-0.00128
371.4100,20000,1.000e+17,0.0165,-0.00207
371.4100,30000,1.000e+17,0.0178,-0.00253
371.4100,50000,1.000e+17,0.0193,-0.00307
371.4100,100000,1.000e+17,0.0209,-0.00371
334.2700,5000,1.000e+17,0.00795,1.12e-05
334.2700,10000,1.000e+17,0.0118,2.51e-05
334.2700,20000,1.000e+17,0.0146,5.24e-05
334.2700,30000,1.000e+17,0.0158,7.68e-05
334.2700,50000,1.000e+17,0.0171,0.000117
334.2700,100000,1.000e+17,0.0184,0.000176
350.7900,5000,1.000e+17,0.00824,-0.000298
350.7900,10000,1.000e+17,0.0123,-0.000629
350.7900,20000,1.000e+17,0.0154,-0.0011
350.7900,30000,1.000e+17,0.0166,-0.00134
350.7900,50000,1.000e+17,0.0181,-0.00172
350.7900,100000,1.000e+17,0.0195,-0.00208
334.3300,5000,1.000e+17,0.00649,-0.000298
334.3300,10000,1.000e+17,0.00986,-0.000626
334.3300,20000,1.000e+17,0.0126,-0.00108
334.3300,30000,1.000e+17,0.0136,-0.00131
334.3300,50000,1.000e+17,0.0148,-0.00168
334.3300,100000,1.000e+17,0.0161,-0.00202
372.5100,5000,1.000e+17,0.00711,-0.000764
372.5100,10000,1.000e+17,0.011,-0.00151
372.5100,20000,1.000e+17,0.0143,-0.0024
372.5100,30000,1.000e+17,0.0155,-0.00294
372.5100,50000,1.000e+17,0.0169,-0.00351
372.5100,100000,1.000e+17,0.0184,-0.00424
298.8300,5000,1.000e+17,0.00602,0.00011
298.8300,10000,1.000e+17,0.00901,0.00024
298.8300,20000,1.000e+17,0.0112,0.00044
298.8300,30000,1.000e+17,0.0121,0.000575
298.8300,50000,1.000e+17,0.0132,0.000739
298.8300,100000,1.000e+17,0.0142,0.000931
44.6600,5000,1.000e+17,6.95e-06,2.7e-05
44.6600,10000,1.000e+17,2.5e-05,4.96e-05
44.6600,20000,1.000e+17,5.09e-05,7.32e-05
44.6600,30000,1.000e+17,7.3e-05,8.58e-05
44.6600,50000,1.000e+17,9.3e-05,9.9e-05
44.6600,100000,1.000e+17,0.000119,0.000119
