transition,T_e,n_e,gamma_W,gamma_d
241.3800,20000,1.000e+17,0.00611,-0.000108
241.3800,50000,1.000e+17,0.00747,-0.000228
241.3800,100000,1.000e+17,0.00832,-0.000323
241.3800,200000,1.000e+17,0.00879,-0.000407
241.3800,300000,1.000e+17,0.00898,-0.000457
241.3800,500000,1.000e+17,0.00913,-0.000519
216.2600,20000,1.000e+17,0.00435,7.38e-07
216.2600,50000,1.000e+17,0.0054,1.91e-06
216.2600,100000,1.000e+17,0.00602,3.79e-06
216.2600,200000,1.000e+17,0.0064,7.09e-06
216.2600,300000,1.000e+17,0.00654,9.49e-06
216.2600,500000,1.000e+17,0.00667,1.26e-05
267.9000,20000,1.000e+17,0.00398,-0.000505
267.9000,50000,1.000e+17,0.00535,-0.000889
267.9000,100000,1.000e+17,0.00605,-0.00116
267.9000,200000,1.000e+17,0.00659,-0.00139
267.9000,300000,1.000e+17,0.00677,-0.00154
267.9000,500000,1.000e+17,0.00691,-0.00172
259.3100,20000,1.000e+17,0.0032,-0.000476
259.3100,50000,1.000e+17,0.00441,-0.000838
259.3100,100000,1.000e+17,0.005,-0.00109
259.3100,200000,1.000e+17,0.00551,-0.00131
259.3100,300000,1.000e+17,0.00565,-0.00145
259.3100,500000,1.000e+17,0.00578,-0.00163
25.1300,20000,1.000e+17,4.22e-05,3.76e-06
25.1300,50000,1.000e+17,5.5e-05,6.69e-06
25.1300,100000,1.000e+17,6.18e-05,8.95e-06
25.1300,200000,1.000e+17,6.67e-05,1.07e-05
25.1300,300000,1.000e+17,6.83e-05,1.19e-05
25.1300,500000,1.000e+17,6.96e-05,1.34e-05
31.3400,20000,1.000e+17,5.73e-06,1.31e-05
31.3400,50000,1.000e+17,1.56e-05,2.16e-05
31.3400,100000,1.000e+17,2.46e-05,2.66e-05
31.3400,200000,1.000e+17,3.16e-05,3.16e-05
31.3400,300000,1.000e+17,3.66e-05,3.48e-05
31.3400,500000,1.000e+17,4.14e-05,3.88e-05
