transition,T_e,n_e,gamma_W,gamma_d
237.6700,20000,1.000e+17,0.0895,
237.6700,34500,1.000e+17,0.0675,
237.6700,50000,1.000e+17,0.0569,
237.6700,100000,1.000e+17,0.042,
237.6700,200000,1.000e+17,0.0325,
237.6700,300000,1.000e+17,0.0286,
237.6700,500000,1.000e+17,0.0247,
236.2000,20000,1.000e+17,0.0783,
236.2000,34500,1.000e+17,0.0592,
236.2000,50000,1.000e+17,0.0498,
236.2000,100000,1.000e+17,0.0367,
236.2000,200000,1.000e+17,0.0283,
236.2000,300000,1.000e+17,0.0248,
236.2000,500000,1.000e+17,0.0214,
