transition,T_e,n_e,gamma_W,gamma_d
408.7100,50000,1.000e+17,0.00601,-0.00356
408.7100,100000,1.000e+17,0.0113,-0.00628
408.7100,150000,1.000e+17,0.0141,-0.00802
408.7100,200000,1.000e+17,0.0166,-0.00918
408.7100,300000,1.000e+17,0.0194,-0.011
408.7100,500000,1.000e+17,0.0219,-0.0127
217.6000,50000,1.000e+17,0.00182,-0.00094
217.6000,100000,1.000e+17,0.00334,-0.00166
217.6000,150000,1.000e+17,0.00415,-0.00213
217.6000,200000,1.000e+17,0.00485,-0.00243
217.6000,300000,1.000e+17,0.00558,-0.00293
217.6000,500000,1.000e+17,0.00626,-0.00338
213.6800,50000,1.000e+17,0.00177,-0.000933
213.6800,100000,1.000e+17,0.00324,-0.00165
213.6800,150000,1.000e+17,0.00404,-0.0021
213.6800,200000,1.000e+17,0.00472,-0.00241
213.6800,300000,1.000e+17,0.00543,-0.0029
213.6800,500000,1.000e+17,0.00609,-0.00334
176.2100,50000,1.000e+17,0.00078,-8.79e-05
176.2100,100000,1.000e+17,0.00148,-0.000176
176.2100,150000,1.000e+17,0.00187,-0.000252
176.2100,200000,1.000e+17,0.00217,-0.000309
176.2100,300000,1.000e+17,0.00255,-0.000402
176.2100,500000,1.000e+17,0.00282,-0.000511
126.4500,50000,1.000e+17,0.000467,-4.33e-05
126.4500,100000,1.000e+17,0.000866,-8.7e-05
126.4500,150000,1.000e+17,0.00108,-0.000125
126.4500,200000,1.000e+17,0.00126,-0.000153
126.4500,300000,1.000e+17,0.00146,-0.0002
126.4500,500000,1.000e+17,0.0016,-0.000255
315.8200,50000,1.000e+17,0.00463,-0.00324
315.8200,100000,1.000e+17,0.00842,-0.00554
315.8200,150000,1.000e+17,0.0106,-0.00676
315.8200,200000,1.000e+17,0.0124,-0.00781
315.8200,300000,1.000e+17,0.0142,-0.00914
315.8200,500000,1.000e+17,0.0162,-0.0104
169.7100,50000,1.000e+17,0.000801,-0.00026
169.7100,100000,1.000e+17,0.00151,-0.000492
169.7100,150000,1.000e+17,0.0019,-0.000661
169.7100,200000,1.000e+17,0.00222,-0.000777
169.7100,300000,1.000e+17,0.0026,-0.000943
169.7100,500000,1.000e+17,0.00289,-0.00115
194.1000,50000,1.000e+17,0.001,-0.000239
194.1000,100000,1.000e+17,0.00189,-0.000464
194.1000,150000,1.000e+17,0.0024,-0.000629
194.1000,200000,1.000e+17,0.00279,-0.000763
194.1000,300000,1.000e+17,0.00327,-0.000921
194.1000,500000,1.000e+17,0.00363,-0.00117
159.9700,50000,1.000e+17,0.000725,-0.000189
159.9700,100000,1.000e+17,0.00136,-0.000363
159.9700,150000,1.000e+17,0.00171,-0.00049
159.9700,200000,1.000e+17,0.00199,-0.000587
159.9700,300000,1.000e+17,0.00232,-0.00071
159.9700,500000,1.000e+17,0.00257,-0.000884
202.9100,50000,1.000e+17,0.00126,-0.000478
202.9100,100000,1.000e+17,0.00236,-0.000884
202.9100,150000,1.000e+17,0.00295,-0.00118
202.9100,200000,1.000e+17,0.00346,-0.00136
202.9100,300000,1.000e+17,0.00402,-0.00165
202.9100,500000,1.000e+17,0.00449,-0.00197
189.1400,50000,1.000e+17,0.00111,-0.000355
189.1400,100000,1.000e+17,0.00206,-0.000666
189.1400,150000,1.000e+17,0.00258,-0.000895
189.1400,200000,1.000e+17,0.00302,-0.00104
189.1400,300000,1.000e+17,0.0035,-0.00127
189.1400,500000,1.000e+17,0.00389,-0.00154
180.5000,50000,1.000e+17,0.000964,-0.000272
180.5000,100000,1.000e+17,0.0018,-0.000517
180.5000,150000,1.000e+17,0.00225,-0.000695
180.5000,200000,1.000e+17,0.00263,-0.000825
180.5000,300000,1.000e+17,0.00305,-0.001
180.5000,500000,1.000e+17,0.00338,-0.00123
162.0900,50000,1.000e+17,0.000538,0.000151
162.0900,100000,1.000e+17,0.00105,0.000293
162.0900,150000,1.000e+17,0.00137,0.0004
162.0900,200000,1.000e+17,0.00158,0.000488
162.0900,300000,1.000e+17,0.0019,0.000589
162.0900,500000,1.000e+17,0.00213,0.00075
340.0100,50000,1.000e+17,0.00181,-0.000682
340.0100,100000,1.000e+17,0.00372,-0.00133
340.0100,150000,1.000e+17,0.00505,-0.00182
340.0100,200000,1.000e+17,0.00584,-0.00223
340.0100,300000,1.000e+17,0.00719,-0.00269
340.0100,500000,1.000e+17,0.00825,-0.00343
226.0600,50000,1.000e+17,0.000799,-0.000102
226.0600,100000,1.000e+17,0.00162,-0.000207
226.0600,150000,1.000e+17,0.00217,-0.000299
226.0600,200000,1.000e+17,0.00251,-0.000375
226.0600,300000,1.000e+17,0.00306,-0.000499
226.0600,500000,1.000e+17,0.00346,-0.000639
185.6000,50000,1.000e+17,0.000583,1.32e-05
185.6000,100000,1.000e+17,0.00116,2.71e-05
185.6000,150000,1.000e+17,0.00154,4.07e-05
185.6000,200000,1.000e+17,0.00178,5.36e-05
185.6000,300000,1.000e+17,0.00215,7.69e-05
185.6000,500000,1.000e+17,0.00242,0.000112
194.7600,50000,1.000e+17,0.000636,-3.86e-05
194.7600,100000,1.000e+17,0.00127,-7.9e-05
194.7600,150000,1.000e+17,0.0017,-0.000117
194.7600,200000,1.000e+17,0.00195,-0.000151
194.7600,300000,1.000e+17,0.00237,-0.000205
194.7600,500000,1.000e+17,0.00267,-0.000279
15.0600,50000,1.000e+17,2.39e-06,-8.91e-07
15.0600,100000,1.000e+17,5.15e-06,-1.77e-06
15.0600,150000,1.000e+17,7.2e-06,-2.48e-06
15.0600,200000,1.000e+17,8.49e-06,-3.04e-06
15.0600,300000,1.000e+17,1.05e-05,-3.81e-06
15.0600,500000,1.000e+17,1.24e-05,-4.87e-06
14.5800,50000,1.000e+17,3.07e-06,-6.79e-07
14.5800,100000,1.000e+17,6.29e-06,-1.36e-06
14.5800,150000,1.000e+17,8.54e-06,-1.93e-06
14.5800,200000,1.000e+17,9.88e-06,-2.37e-06
14.5800,300000,1.000e+17,1.21e-05,-3.05e-06
14.5800,500000,1.000e+17,1.38e-05,-3.87e-06
14.5700,50000,1.000e+17,3.1e-06,-8.02e-07
14.5700,100000,1.000e+17,6.36e-06,-1.59e-06
14.5700,150000,1.000e+17,8.62e-06,-2.24e-06
14.5700,200000,1.000e+17,9.98e-06,-2.75e-06
14.5700,300000,1.000e+17,1.22e-05,-3.46e-06
14.5700,500000,1.000e+17,1.4e-05,-4.41e-06
17.3000,50000,1.000e+17,9.16e-07,5.52e-06
17.3000,100000,1.000e+17,3.74e-06,9.79e-06
17.3000,150000,1.000e+17,7.14e-06,1.26e-05
17.3000,200000,1.000e+17,8.95e-06,1.44e-05
17.3000,300000,1.000e+17,1.3e-05,1.74e-05
17.3000,500000,1.000e+17,1.81e-05,2.01e-05
15.2800,50000,1.000e+17,3.42e-06,-8.78e-07
15.2800,100000,1.000e+17,7.02e-06,-1.74e-06
15.2800,150000,1.000e+17,9.51e-06,-2.45e-06
15.2800,200000,1.000e+17,1.1e-05,-3.01e-06
15.2800,300000,1.000e+17,1.35e-05,-3.8e-06
15.2800,500000,1.000e+17,1.54e-05,-4.83e-06
18.3100,50000,1.000e+17,1.04e-06,6.19e-06
18.3100,100000,1.000e+17,4.22e-06,1.1e-05
18.3100,150000,1.000e+17,8.03e-06,1.42e-05
18.3100,200000,1.000e+17,1.01e-05,1.61e-05
18.3100,300000,1.000e+17,1.46e-05,1.95e-05
18.3100,500000,1.000e+17,2.03e-05,2.25e-05
14.1900,50000,1.000e+17,2.37e-06,-1.06e-06
14.1900,100000,1.000e+17,5.05e-06,-2.07e-06
14.1900,150000,1.000e+17,7.02e-06,-2.85e-06
14.1900,200000,1.000e+17,8.22e-06,-3.49e-06
