transition,T_e,n_e,gamma_W,gamma_d
14.2500,50000,1.000e+17,4.71e-05,
14.2500,100000,1.000e+17,3.44e-05,
14.2500,200000,1.000e+17,2.78e-05,
14.2500,400000,1.000e+17,2.41e-05,
14.2500,800000,1.000e+17,2.09e-05,
199.9300,50000,1.000e+17,0.0121,
199.9300,100000,1.000e+17,0.00944,
199.9300,200000,1.000e+17,0.00806,
199.9300,400000,1.000e+17,0.00697,
199.9300,800000,1.000e+17,0.00591,
444.5000,50000,1.000e+17,0.0573,
444.5000,100000,1.000e+17,0.0446,
444.5000,200000,1.000e+17,0.038,
444.5000,400000,1.000e+17,0.0328,
444.5000,800000,1.000e+17,0.0279,
227.0000,50000,1.000e+17,0.0153,
227.0000,100000,1.000e+17,0.0117,
227.0000,200000,1.000e+17,0.00977,
227.0000,400000,1.000e+17,0.00843,
227.0000,800000,1.000e+17,0.00719,
217.2600,50000,1.000e+17,0.0188,
217.2600,100000,1.000e+17,0.0134,
217.2600,200000,1.000e+17,0.0107,
217.2600,400000,1.000e+17,0.00928,
217.2600,800000,1.000e+17,0.00808,
186.6800,50000,1.000e+17,0.0141,
186.6800,100000,1.000e+17,0.0101,
186.6800,200000,1.000e+17,0.00801,
186.6800,400000,1.000e+17,0.00692,
186.6800,800000,1.000e+17,0.00602,
13.8600,50000,1.000e+17,4.04e-05,
13.8600,100000,1.000e+17,2.88e-05,
13.8600,200000,1.000e+17,2.29e-05,
13.8600,400000,1.000e+17,1.96e-05,
13.8600,800000,1.000e+17,1.69e-05,
204.6400,50000,1.000e+17,0.0167,
204.6400,100000,1.000e+17,0.0119,
204.6400,200000,1.000e+17,0.00948,
204.6400,400000,1.000e+17,0.00815,
204.6400,800000,1.000e+17,0.00708,
