transition,T_e,n_e,gamma_W,gamma_d
10.3000,200000,1.000e+17,1.24e-06,3.4e-06
10.3000,500000,1.000e+17,3.78e-06,5.61e-06
10.3000,1000000,1.000e+17,6.31e-06,7.07e-06
10.3000,2000000,1.000e+17,8.4e-06,8.48e-06
7.4600,200000,1.000e+17,6.31e-06,9.92e-06
7.4600,500000,1.000e+17,1.24e-05,1.36e-05
7.4600,1000000,1.000e+17,1.6e-05,1.62e-05
7.4600,2000000,1.000e+17,1.91e-05,1.9e-05
6.6300,200000,1.000e+17,1.8e-05,2.15e-05
6.6300,500000,1.000e+17,2.67e-05,2.72e-05
6.6300,1000000,1.000e+17,3.37e-05,3.21e-05
6.6300,2000000,1.000e+17,3.93e-05,3.7e-05
6.2600,200000,1.000e+17,6.6e-05,6.87e-05
6.2600,500000,1.000e+17,9.03e-05,8.56e-05
6.2600,1000000,1.000e+17,0.000105,9.89e-05
6.2600,2000000,1.000e+17,0.000123,0.000111
77.3700,200000,1.000e+17,3.34e-06,-1.23e-05
77.3700,500000,1.000e+17,1.53e-05,-2.82e-05
77.3700,1000000,1.000e+17,3.5e-05,-4.44e-05
77.3700,2000000,1.000e+17,5.76e-05,-6.1e-05
8.8100,200000,1.000e+17,1.5e-06,2.15e-06
8.8100,500000,1.000e+17,3.43e-06,3.61e-06
8.8100,1000000,1.000e+17,5.04e-06,4.59e-06
8.8100,2000000,1.000e+17,6.34e-06,5.58e-06
6.7400,200000,1.000e+17,7.64e-06,8.87e-06
6.7400,500000,1.000e+17,1.27e-05,1.2e-05
6.7400,1000000,1.000e+17,1.59e-05,1.42e-05
6.7400,2000000,1.000e+17,1.95e-05,1.69e-05
6.0700,200000,1.000e+17,9.75e-05,9.67e-05
6.0700,500000,1.000e+17,0.000133,0.000117
6.0700,1000000,1.000e+17,0.000149,0.000136
6.0700,2000000,1.000e+17,0.00017,0.000164
29.8600,200000,1.000e+17,9.32e-05,0.000144
29.8600,500000,1.000e+17,0.000183,0.000199
29.8600,1000000,1.000e+17,0.00024,0.00024
29.8600,2000000,1.000e+17,0.000299,0.00028
19.8900,200000,1.000e+17,0.000158,0.000189
19.8900,500000,1.000e+17,0.000237,0.000239
19.8900,1000000,1.000e+17,0.000297,0.000283
19.8900,2000000,1.000e+17,0.000353,0.000323
16.8800,200000,1.000e+17,0.000478,0.000498
16.8800,500000,1.000e+17,0.000655,0.000621
16.8800,1000000,1.000e+17,0.000765,0.000716
16.8800,2000000,1.000e+17,0.000891,0.0008
287.9100,200000,1.000e+17,0.00114,-0.000311
287.9100,500000,1.000e+17,0.00234,-0.000668
287.9100,1000000,1.000e+17,0.00325,-0.000983
287.9100,2000000,1.000e+17,0.00377,-0.00132
26.0500,200000,1.000e+17,0.000106,0.000122
26.0500,500000,1.000e+17,0.000179,0.000167
26.0500,1000000,1.000e+17,0.000221,0.000198
26.0500,2000000,1.000e+17,0.000259,0.000234
18.2800,200000,1.000e+17,0.000884,0.000875
18.2800,500000,1.000e+17,0.00121,0.00106
18.2800,1000000,1.000e+17,0.00135,0.00124
18.2800,2000000,1.000e+17,0.00153,0.00148
65.1400,200000,1.000e+17,0.00135,0.00161
65.1400,500000,1.000e+17,0.00209,0.00206
65.1400,1000000,1.000e+17,0.00256,0.00241
65.1400,2000000,1.000e+17,0.00307,0.00283
41.1000,200000,1.000e+17,0.00275,0.00285
41.1000,500000,1.000e+17,0.00379,0.00357
41.1000,1000000,1.000e+17,0.00449,0.00411
41.1000,2000000,1.000e+17,0.00526,0.00457
699.3000,200000,1.000e+17,0.0446,0.0163
699.3000,500000,1.000e+17,0.0679,0.0268
699.3000,1000000,1.000e+17,0.0783,0.0336
699.3000,2000000,1.000e+17,0.0885,0.0403
56.3700,200000,1.000e+17,0.00827,0.00823
56.3700,500000,1.000e+17,0.0115,0.00996
56.3700,1000000,1.000e+17,0.0124,0.0115
56.3700,2000000,1.000e+17,0.0138,0.0138
124.6900,200000,1.000e+17,0.0228,-0.0233
124.6900,500000,1.000e+17,0.0319,-0.0296
124.6900,1000000,1.000e+17,0.0372,-0.0331
124.6900,2000000,1.000e+17,0.043,-0.0383
1042.7500,200000,1.000e+17,2.68,2.69
1042.7500,500000,1.000e+17,3.71,3.35
1042.7500,1000000,1.000e+17,4.09,3.67
1042.7500,2000000,1.000e+17,4.44,4.34
