transition,T_e,n_e,gamma_W,gamma_d
226.5200,5000,1.000e+17,0.00288,-7.42e-05
226.5200,10000,1.000e+17,0.00405,-0.000153
226.5200,30000,1.000e+17,0.00499,-0.00031
226.5200,50000,1.000e+17,0.00537,-0.000383
226.5200,100000,1.000e+17,0.00563,-0.000459
226.5200,150000,1.000e+17,0.00575,-0.000511
227.0900,5000,1.000e+17,0.00281,-8.5e-05
227.0900,10000,1.000e+17,0.00396,-0.000173
227.0900,30000,1.000e+17,0.0049,-0.000346
227.0900,50000,1.000e+17,0.00527,-0.000423
227.0900,100000,1.000e+17,0.00553,-0.000506
227.0900,150000,1.000e+17,0.00564,-0.000561
