transition,T_e,n_e,gamma_W,gamma_d
425.1200,5000,1.000e+17,0.0424,-0.00208
425.1200,10000,1.000e+17,0.0561,-0.00389
425.1200,15000,1.000e+17,0.0609,-0.00491
425.1200,20000,1.000e+17,0.0641,-0.00582
425.1200,40000,1.000e+17,0.071,-0.00745
425.1200,50000,1.000e+17,0.0725,-0.00799
500.7800,5000,1.000e+17,0.0157,-0.00971
500.7800,10000,1.000e+17,0.025,-0.0158
500.7800,15000,1.000e+17,0.0308,-0.0199
500.7800,20000,1.000e+17,0.0333,-0.0223
500.7800,40000,1.000e+17,0.0405,-0.0276
500.7800,50000,1.000e+17,0.0424,-0.029
490.0800,5000,1.000e+17,0.0395,-0.00202
490.0800,10000,1.000e+17,0.055,-0.00386
490.0800,15000,1.000e+17,0.0596,-0.00508
490.0800,20000,1.000e+17,0.063,-0.00593
490.0800,40000,1.000e+17,0.0704,-0.0079
490.0800,50000,1.000e+17,0.0723,-0.00839
707.0600,5000,1.000e+17,0.298,0.0308
707.0600,10000,1.000e+17,0.356,0.0479
707.0600,15000,1.000e+17,0.388,0.0586
707.0600,20000,1.000e+17,0.407,0.0652
707.0600,40000,1.000e+17,0.433,0.0801
707.0600,50000,1.000e+17,0.438,0.0851
474.0500,5000,1.000e+17,0.0336,-0.00219
474.0500,10000,1.000e+17,0.0472,-0.00416
474.0500,15000,1.000e+17,0.0513,-0.00536
474.0500,20000,1.000e+17,0.0544,-0.00632
474.0500,40000,1.000e+17,0.0609,-0.00824
474.0500,50000,1.000e+17,0.0627,-0.00881
500.3300,5000,1.000e+17,0.0281,-0.00428
500.3300,10000,1.000e+17,0.0404,-0.00765
500.3300,15000,1.000e+17,0.0451,-0.00958
500.3300,20000,1.000e+17,0.0478,-0.0113
500.3300,40000,1.000e+17,0.054,-0.0142
500.3300,50000,1.000e+17,0.0559,-0.0149
407.0500,5000,1.000e+17,0.0273,0.00154
407.0500,10000,1.000e+17,0.0379,0.00292
407.0500,15000,1.000e+17,0.0411,0.00379
407.0500,20000,1.000e+17,0.0435,0.00445
407.0500,40000,1.000e+17,0.0486,0.00585
407.0500,50000,1.000e+17,0.0499,0.00622
494.4600,5000,1.000e+17,0.0141,0.00123
494.4600,10000,1.000e+17,0.0215,0.00247
494.4600,15000,1.000e+17,0.0259,0.00338
494.4600,20000,1.000e+17,0.0277,0.00396
494.4600,40000,1.000e+17,0.0314,0.00552
494.4600,50000,1.000e+17,0.0325,0.00586
445.4300,5000,1.000e+17,0.0211,-0.00107
445.4300,10000,1.000e+17,0.0304,-0.00213
445.4300,15000,1.000e+17,0.0341,-0.00291
445.4300,20000,1.000e+17,0.036,-0.0034
445.4300,40000,1.000e+17,0.0404,-0.00472
445.4300,50000,1.000e+17,0.0418,-0.00498
397.3100,5000,1.000e+17,0.0152,0.000208
397.3100,10000,1.000e+17,0.0221,0.000454
397.3100,15000,1.000e+17,0.025,0.000663
397.3100,20000,1.000e+17,0.0263,0.000828
397.3100,40000,1.000e+17,0.0297,0.00123
397.3100,50000,1.000e+17,0.0307,0.00138
438.0800,5000,1.000e+17,0.0186,-0.00133
438.0800,10000,1.000e+17,0.0269,-0.00258
438.0800,15000,1.000e+17,0.0305,-0.00347
438.0800,20000,1.000e+17,0.0321,-0.00402
438.0800,40000,1.000e+17,0.0362,-0.00549
438.0800,50000,1.000e+17,0.0375,-0.00577
375.9100,5000,1.000e+17,0.00272,-0.000335
375.9100,10000,1.000e+17,0.00492,-0.00071
375.9100,15000,1.000e+17,0.00607,-0.000998
375.9100,20000,1.000e+17,0.00703,-0.00124
375.9100,40000,1.000e+17,0.00837,-0.00177
375.9100,50000,1.000e+17,0.00874,-0.00195
