transition,T_e,n_e,gamma_W,gamma_d
23.8500,20000,1.000e+17,6.37e-06,-2.33e-06
23.8500,50000,1.000e+17,1.9e-05,-6.24e-06
23.8500,100000,1.000e+17,3.19e-05,-1.1e-05
23.8500,200000,1.000e+17,4.47e-05,-1.61e-05
27.9900,20000,1.000e+17,1.86e-06,1.61e-05
27.9900,50000,1.000e+17,1.46e-05,3.78e-05
27.9900,100000,1.000e+17,3.56e-05,5.68e-05
27.9900,200000,1.000e+17,6.55e-05,7.64e-05
106.7800,20000,1.000e+17,0.00144,-0.00229
106.7800,50000,1.000e+17,0.0035,-0.00409
106.7800,100000,1.000e+17,0.0053,-0.00526
106.7800,200000,1.000e+17,0.0068,-0.00638
341.0900,20000,1.000e+17,0.00178,-0.00146
341.0900,50000,1.000e+17,0.00525,-0.00363
341.0900,100000,1.000e+17,0.00864,-0.00572
341.0900,200000,1.000e+17,0.0123,-0.00794
306.6400,20000,1.000e+17,0.00203,-0.00115
306.6400,50000,1.000e+17,0.00554,-0.00286
306.6400,100000,1.000e+17,0.00865,-0.00453
306.6400,200000,1.000e+17,0.0116,-0.00628
