transition,T_e,n_e,gamma_W,gamma_d
22.0400,40000,1.000e+17,4.17e-06,-2.83e-06
22.0400,100000,1.000e+17,1.22e-05,-6.94e-06
22.0400,200000,1.000e+17,2.02e-05,-1.13e-05
22.0400,500000,1.000e+17,3.01e-05,-1.7e-05
24.8500,40000,1.000e+17,6.27e-06,2.67e-05
24.8500,100000,1.000e+17,3.06e-05,5.22e-05
24.8500,200000,1.000e+17,5.49e-05,7.25e-05
24.8500,500000,1.000e+17,8.93e-05,9.28e-05
17.0200,40000,1.000e+17,4.32e-05,4.54e-05
17.0200,100000,1.000e+17,8.46e-05,7.62e-05
17.0200,200000,1.000e+17,0.000113,9.51e-05
17.0200,500000,1.000e+17,0.000147,0.000119
17.4600,40000,1.000e+17,7.03e-05,0.000108
17.4600,100000,1.000e+17,0.00015,0.000168
17.4600,200000,1.000e+17,0.000199,0.000205
17.4600,500000,1.000e+17,0.000269,0.000256
19.2900,40000,1.000e+17,2.94e-06,-4.45e-06
19.2900,100000,1.000e+17,9.48e-06,-1.02e-05
19.2900,200000,1.000e+17,1.66e-05,-1.52e-05
19.2900,500000,1.000e+17,2.67e-05,-2.17e-05
21.5200,40000,1.000e+17,1.77e-06,1.09e-05
21.5200,100000,1.000e+17,1.07e-05,2.34e-05
21.5200,200000,1.000e+17,2.25e-05,3.31e-05
21.5200,500000,1.000e+17,4.16e-05,4.44e-05
15.1500,40000,1.000e+17,2.4e-05,8.73e-06
15.1500,100000,1.000e+17,4.39e-05,1.75e-05
15.1500,200000,1.000e+17,5.64e-05,2.43e-05
15.1500,500000,1.000e+17,6.84e-05,3.13e-05
15.6200,40000,1.000e+17,2.13e-05,4.49e-05
15.6200,100000,1.000e+17,5.53e-05,7.38e-05
15.6200,200000,1.000e+17,8.49e-05,9.1e-05
15.6200,500000,1.000e+17,0.000117,0.000116
72.8700,40000,1.000e+17,0.000521,-0.000863
72.8700,100000,1.000e+17,0.00123,-0.00144
72.8700,200000,1.000e+17,0.0018,-0.00179
72.8700,500000,1.000e+17,0.00244,-0.00226
50.9400,100000,1.000e+17,0.0102,-0.00967
50.9400,200000,1.000e+17,0.0129,-0.0116
50.9400,500000,1.000e+17,0.016,-0.0137
68.1300,40000,1.000e+17,0.000306,-0.000469
68.1300,100000,1.000e+17,0.000737,-0.000829
68.1300,200000,1.000e+17,0.00111,-0.00106
68.1300,500000,1.000e+17,0.00153,-0.00136
48.1100,200000,1.000e+17,0.013,-0.0116
48.1100,500000,1.000e+17,0.0165,-0.0141
559.1400,40000,1.000e+17,0.00523,-0.00899
559.1400,100000,1.000e+17,0.0162,-0.0187
559.1400,200000,1.000e+17,0.0265,-0.0263
559.1400,500000,1.000e+17,0.0396,-0.0346
62.7500,40000,1.000e+17,0.000321,8.59e-05
62.7500,100000,1.000e+17,0.000602,0.000185
62.7500,200000,1.000e+17,0.0008,0.000264
62.7500,500000,1.000e+17,0.000959,0.000356
71.6300,40000,1.000e+17,0.000458,0.000883
71.6300,100000,1.000e+17,0.00115,0.00147
71.6300,200000,1.000e+17,0.00175,0.00182
71.6300,500000,1.000e+17,0.00237,0.00228
278.4800,40000,1.000e+17,0.00152,-0.000501
278.4800,100000,1.000e+17,0.0038,-0.00122
278.4800,200000,1.000e+17,0.00566,-0.00196
278.4800,500000,1.000e+17,0.0075,-0.00293
1884.9400,40000,1.000e+17,0.3,-0.495
1884.9400,100000,1.000e+17,0.713,-0.841
1884.9400,200000,1.000e+17,1.07,-1.06
1884.9400,500000,1.000e+17,1.46,-1.35
150.6700,200000,1.000e+17,0.127,-0.114
150.6700,500000,1.000e+17,0.163,-0.139
62.9700,40000,1.000e+17,2.26e-06,-3.85e-06
62.9700,100000,1.000e+17,8.88e-06,-1.01e-05
62.9700,200000,1.000e+17,2.15e-05,-1.9e-05
62.9700,500000,1.000e+17,4.51e-05,-3.43e-05
