transition,T_e,n_e,gamma_W,gamma_d
17.3000,100000,1.000e+17,3.89e-06,-5.54e-06
17.3000,150000,1.000e+17,5.59e-06,-6.77e-06
17.3000,200000,1.000e+17,6.95e-06,-7.85e-06
17.3000,300000,1.000e+17,9.25e-06,-9.24e-06
17.3000,500000,1.000e+17,1.13e-05,-1.06e-05
17.3000,800000,1.000e+17,1.32e-05,-1.19e-05
18.4100,100000,1.000e+17,4e-06,7.94e-06
18.4100,150000,1.000e+17,6.02e-06,9.59e-06
18.4100,200000,1.000e+17,7.73e-06,1.11e-05
18.4100,300000,1.000e+17,1.1e-05,1.28e-05
18.4100,500000,1.000e+17,1.39e-05,1.46e-05
18.4100,800000,1.000e+17,1.65e-05,1.66e-05
13.2300,100000,1.000e+17,1.59e-05,2.14e-05
13.2300,150000,1.000e+17,2.14e-05,2.4e-05
13.2300,200000,1.000e+17,2.44e-05,2.6e-05
13.2300,300000,1.000e+17,2.86e-05,2.91e-05
13.2300,500000,1.000e+17,3.4e-05,3.3e-05
13.2300,800000,1.000e+17,4.06e-05,3.54e-05
11.7400,100000,1.000e+17,4.89e-05,5.29e-05
11.7400,150000,1.000e+17,5.71e-05,5.85e-05
11.7400,200000,1.000e+17,6.35e-05,6.27e-05
11.7400,300000,1.000e+17,7.25e-05,7.08e-05
11.7400,500000,1.000e+17,8.57e-05,7.66e-05
11.7400,800000,1.000e+17,9.36e-05,8e-05
11.0700,100000,1.000e+17,0.000117,0.000118
11.0700,150000,1.000e+17,0.000133,0.000132
11.0700,200000,1.000e+17,0.000147,0.00014
11.0700,300000,1.000e+17,0.000166,0.00015
11.0700,500000,1.000e+17,0.000177,0.000165
11.0700,800000,1.000e+17,0.000201,0.00018
103.3800,100000,1.000e+17,1.11e-05,-1.74e-05
103.3800,150000,1.000e+17,1.95e-05,-2.5e-05
103.3800,200000,1.000e+17,2.74e-05,-3.14e-05
103.3800,300000,1.000e+17,4.17e-05,-4.17e-05
103.3800,500000,1.000e+17,5.87e-05,-5.34e-05
103.3800,800000,1.000e+17,7.85e-05,-6.61e-05
15.0100,100000,1.000e+17,5.77e-06,5.43e-06
15.0100,150000,1.000e+17,7.46e-06,6.56e-06
15.0100,200000,1.000e+17,9.02e-06,7.56e-06
15.0100,300000,1.000e+17,1.08e-05,8.69e-06
15.0100,500000,1.000e+17,1.27e-05,9.94e-06
15.0100,800000,1.000e+17,1.44e-05,1.12e-05
11.5800,100000,1.000e+17,2.29e-05,2.1e-05
11.5800,150000,1.000e+17,2.67e-05,2.33e-05
11.5800,200000,1.000e+17,2.91e-05,2.51e-05
11.5800,300000,1.000e+17,3.31e-05,2.82e-05
