transition,T_e,n_e,gamma_W,gamma_d
394.3500,10000,1.000e+17,0.462,
394.3500,20000,1.000e+17,0.327,
394.3500,40000,1.000e+17,0.231,
394.3500,80000,1.000e+17,0.176,
394.3500,160000,1.000e+17,0.154,
406.6200,10000,1.000e+17,0.343,
406.6200,20000,1.000e+17,0.242,
406.6200,40000,1.000e+17,0.171,
406.6200,80000,1.000e+17,0.128,
406.6200,160000,1.000e+17,0.106,
423.0400,10000,1.000e+17,0.531,
423.0400,20000,1.000e+17,0.375,
423.0400,40000,1.000e+17,0.265,
423.0400,80000,1.000e+17,0.206,
423.0400,160000,1.000e+17,0.18,
