transition,T_e,n_e,gamma_W,gamma_d
140.5000,50000,1.000e+17,0.00372,0.003
140.5000,100000,1.000e+17,0.00554,0.00422
140.5000,150000,1.000e+17,0.00627,0.00474
140.5000,200000,1.000e+17,0.00676,0.00511
140.5000,300000,1.000e+17,0.00755,0.00566
140.5000,500000,1.000e+17,0.00861,0.00645
260.6300,50000,1.000e+17,0.015,-0.000476
260.6300,100000,1.000e+17,0.0199,-0.000867
260.6300,150000,1.000e+17,0.0214,-0.00115
260.6300,200000,1.000e+17,0.0225,-0.00131
260.6300,300000,1.000e+17,0.024,-0.0016
260.6300,500000,1.000e+17,0.0256,-0.0019
79.0500,50000,1.000e+17,0.00896,-0.00712
79.0500,100000,1.000e+17,0.0111,-0.00899
79.0500,150000,1.000e+17,0.0124,-0.0101
79.0500,200000,1.000e+17,0.0133,-0.0108
79.0500,300000,1.000e+17,0.0148,-0.0118
79.0500,500000,1.000e+17,0.0157,-0.0129
102.3200,50000,1.000e+17,0.00769,-0.00294
102.3200,100000,1.000e+17,0.0089,-0.00383
102.3200,150000,1.000e+17,0.00962,-0.00436
102.3200,200000,1.000e+17,0.0101,-0.00466
102.3200,300000,1.000e+17,0.0107,-0.00519
102.3200,500000,1.000e+17,0.0112,-0.00571
74.0300,50000,1.000e+17,0.0114,0.00159
74.0300,100000,1.000e+17,0.0128,0.00206
74.0300,150000,1.000e+17,0.0134,0.00234
74.0300,200000,1.000e+17,0.0136,0.00252
74.0300,300000,1.000e+17,0.0139,0.00278
74.0300,500000,1.000e+17,0.0142,0.00309
87.5100,50000,1.000e+17,0.00165,-0.000722
87.5100,100000,1.000e+17,0.00225,-0.00103
87.5100,150000,1.000e+17,0.00246,-0.00119
87.5100,200000,1.000e+17,0.00261,-0.00128
87.5100,300000,1.000e+17,0.00283,-0.00143
87.5100,500000,1.000e+17,0.00309,-0.00162
148.6100,50000,1.000e+17,0.00456,0.000775
148.6100,100000,1.000e+17,0.00611,0.0012
148.6100,150000,1.000e+17,0.00659,0.00146
148.6100,200000,1.000e+17,0.00694,0.00165
148.6100,300000,1.000e+17,0.00743,0.00183
148.6100,500000,1.000e+17,0.00797,0.00209
64.8500,100000,1.000e+17,0.0157,0.0139
64.8500,150000,1.000e+17,0.0178,0.0158
64.8500,200000,1.000e+17,0.0185,0.0165
64.8500,300000,1.000e+17,0.0209,0.0177
64.8500,500000,1.000e+17,0.0233,0.02
75.1400,50000,1.000e+17,0.00456,0.00115
75.1400,100000,1.000e+17,0.00521,0.00156
75.1400,150000,1.000e+17,0.00559,0.00176
75.1400,200000,1.000e+17,0.00585,0.0019
75.1400,300000,1.000e+17,0.00608,0.00211
75.1400,500000,1.000e+17,0.0063,0.00235
60.8700,50000,1.000e+17,0.00754,0.00147
60.8700,100000,1.000e+17,0.00848,0.00186
60.8700,150000,1.000e+17,0.00888,0.0021
60.8700,200000,1.000e+17,0.00906,0.00226
60.8700,300000,1.000e+17,0.00936,0.00248
60.8700,500000,1.000e+17,0.00956,0.00278
54.9200,200000,1.000e+17,0.015,0.00262
54.9200,300000,1.000e+17,0.0152,0.00287
54.9200,500000,1.000e+17,0.0155,0.00323
87.7500,50000,1.000e+17,0.000518,0.000179
87.7500,100000,1.000e+17,0.000782,0.000292
87.7500,150000,1.000e+17,0.00094,0.000356
87.7500,200000,1.000e+17,0.001,0.000407
87.7500,300000,1.000e+17,0.00109,0.000459
87.7500,500000,1.000e+17,0.0012,0.000528
52.5900,50000,1.000e+17,0.000846,-0.000517
52.5900,100000,1.000e+17,0.00111,-0.000712
52.5900,150000,1.000e+17,0.00124,-0.000802
52.5900,200000,1.000e+17,0.00133,-0.000861
52.5900,300000,1.000e+17,0.00145,-0.000954
52.5900,500000,1.000e+17,0.00162,-0.00108
77.6400,50000,1.000e+17,0.000479,0.000719
77.6400,100000,1.000e+17,0.000836,0.00102
77.6400,150000,1.000e+17,0.00108,0.00115
77.6400,200000,1.000e+17,0.00123,0.00124
77.6400,300000,1.000e+17,0.00141,0.00138
77.6400,500000,1.000e+17,0.00168,0.00157
42.9500,50000,1.000e+17,0.00187,0.00111
42.9500,100000,1.000e+17,0.00224,0.00139
42.9500,150000,1.000e+17,0.00245,0.00157
42.9500,200000,1.000e+17,0.00261,0.00169
42.9500,300000,1.000e+17,0.00275,0.00184
42.9500,500000,1.000e+17,0.00304,0.00206
48.5500,50000,1.000e+17,0.00177,0.00187
48.5500,100000,1.000e+17,0.00234,0.00235
48.5500,150000,1.000e+17,0.00268,0.00267
48.5500,200000,1.000e+17,0.00296,0.00284
48.5500,300000,1.000e+17,0.00337,0.0031
48.5500,500000,1.000e+17,0.00374,0.0034
38.6800,150000,1.000e+17,0.00654,0.00508
38.6800,200000,1.000e+17,0.00701,0.00534
38.6800,300000,1.000e+17,0.00773,0.0058
38.6800,500000,1.000e+17,0.00824,0.00654
41.2500,50000,1.000e+17,0.00214,0.00215
41.2500,100000,1.000e+17,0.00281,0.00272
41.2500,150000,1.000e+17,0.00323,0.00309
41.2500,200000,1.000e+17,0.00352,0.00329
41.2500,300000,1.000e+17,0.00385,0.0035
41.2500,500000,1.000e+17,0.00424,0.00397
38.0200,300000,1.000e+17,0.00907,0.00777
38.0200,500000,1.000e+17,0.00925,0.00856
82.6300,50000,1.000e+17,0.000267,1.68e-06
82.6300,100000,1.000e+17,0.000429,3.43e-06
82.6300,150000,1.000e+17,0.000526,5.14e-06
82.6300,200000,1.000e+17,0.000584,6.76e-06
82.6300,300000,1.000e+17,0.000629,9.65e-06
82.6300,500000,1.000e+17,0.00069,1.4e-05
44.4700,50000,1.000e+17,0.000567,0.000355
44.4700,100000,1.000e+17,0.000756,0.000491
44.4700,150000,1.000e+17,0.000841,0.000553
44.4700,200000,1.000e+17,0.000907,0.000595
44.4700,300000,1.000e+17,0.000996,0.000661
44.4700,500000,1.000e+17,0.00111,0.000749
63.0800,50000,1.000e+17,0.000218,0.000366
63.0800,100000,1.000e+17,0.000399,0.000523
63.0800,150000,1.000e+17,0.000552,0.000604
63.0800,200000,1.000e+17,0.000622,0.000654
63.0800,300000,1.000e+17,0.000728,0.000727
63.0800,500000,1.000e+17,0.00087,0.000829
37.1800,50000,1.000e+17,0.00139,0.000854
37.1800,100000,1.000e+17,0.00166,0.00106
37.1800,150000,1.000e+17,0.00184,0.00121
37.1800,200000,1.000e+17,0.00193,0.00129
37.1800,300000,1.000e+17,0.00209,0.00141
37.1800,500000,1.000e+17,0.00231,0.00158
41.5400,50000,1.000e+17,0.000556,0.000717
41.5400,100000,1.000e+17,0.000864,0.000909
41.5400,150000,1.000e+17,0.001,0.00102
41.5400,200000,1.000e+17,0.0011,0.0011
41.5400,300000,1.000e+17,0.00127,0.00122
41.5400,500000,1.000e+17,0.00145,0.00133
33.9400,150000,1.000e+17,0.00489,0.00373
33.9400,200000,1.000e+17,0.00533,0.00403
33.9400,300000,1.000e+17,0.00573,0.00437
33.9400,500000,1.000e+17,0.00602,0.00479
35.9600,50000,1.000e+17,0.00142,0.00146
35.9600,100000,1.000e+17,0.00188,0.00185
35.9600,150000,1.000e+17,0.00216,0.00208
35.9600,200000,1.000e+17,0.00239,0.00223
35.9600,300000,1.000e+17,0.00265,0.00244
35.9600,500000,1.000e+17,0.00288,0.00263
33.4300,150000,1.000e+17,0.00485,0.00445
33.4300,200000,1.000e+17,0.00522,0.00484
33.4300,300000,1.000e+17,0.00558,0.00509
33.4300,500000,1.000e+17,0.00651,0.00565
1999.6300,50000,1.000e+17,1.66,1.21
1999.6300,100000,1.000e+17,2.17,1.57
1999.6300,150000,1.000e+17,2.42,1.78
1999.6300,200000,1.000e+17,2.6,1.92
1999.6300,300000,1.000e+17,2.88,2.13
1999.6300,500000,1.000e+17,3.21,2.39
198.7000,50000,1.000e+17,0.0566,-0.0422
198.7000,100000,1.000e+17,0.0694,-0.0535
198.7000,150000,1.000e+17,0.078,-0.0609
198.7000,200000,1.000e+17,0.0813,-0.0636
198.7000,300000,1.000e+17,0.0889,-0.0697
198.7000,500000,1.000e+17,0.0977,-0.0754
463.8300,50000,1.000e+17,0.175,-0.0268
463.8300,100000,1.000e+17,0.199,-0.0379
463.8300,150000,1.000e+17,0.213,-0.0426
463.8300,200000,1.000e+17,0.222,-0.0461
463.8300,300000,1.000e+17,0.23,-0.0515
463.8300,500000,1.000e+17,0.237,-0.0579
169.7600,50000,1.000e+17,0.0621,0.0121
169.7600,100000,1.000e+17,0.0697,0.0153
169.7600,150000,1.000e+17,0.0729,0.0173
169.7600,200000,1.000e+17,0.0746,0.0186
169.7600,300000,1.000e+17,0.076,0.0205
169.7600,500000,1.000e+17,0.0778,0.0226
959.9500,50000,1.000e+17,0.385,-0.222
959.9500,100000,1.000e+17,0.485,-0.292
959.9500,150000,1.000e+17,0.535,-0.331
959.9500,200000,1.000e+17,0.572,-0.356
959.9500,300000,1.000e+17,0.628,-0.397
959.9500,500000,1.000e+17,0.681,-0.446
198.5900,100000,1.000e+17,0.147,0.128
198.5900,150000,1.000e+17,0.166,0.146
198.5900,200000,1.000e+17,0.175,0.152
198.5900,300000,1.000e+17,0.193,0.164
198.5900,500000,1.000e+17,0.217,0.184
341.9900,50000,1.000e+17,0.105,0.00493
341.9900,100000,1.000e+17,0.119,0.00745
341.9900,150000,1.000e+17,0.127,0.00918
341.9900,200000,1.000e+17,0.132,0.0101
341.9900,300000,1.000e+17,0.136,0.0113
341.9900,500000,1.000e+17,0.14,0.0129
165.4500,50000,1.000e+17,0.0575,0.00762
165.4500,100000,1.000e+17,0.0645,0.00992
165.4500,150000,1.000e+17,0.0675,0.0113
165.4500,200000,1.000e+17,0.0686,0.0121
165.4500,300000,1.000e+17,0.0704,0.0134
165.4500,500000,1.000e+17,0.0717,0.0148
127.8300,200000,1.000e+17,0.0822,0.012
127.8300,300000,1.000e+17,0.0839,0.0133
127.8300,500000,1.000e+17,0.0849,0.0146
209.6100,50000,1.000e+17,0.0444,0.023
209.6100,100000,1.000e+17,0.0522,0.0287
209.6100,150000,1.000e+17,0.0571,0.0324
209.6100,200000,1.000e+17,0.0607,0.0351
209.6100,300000,1.000e+17,0.063,0.0379
209.6100,500000,1.000e+17,0.0669,0.0418
136.1900,150000,1.000e+17,0.081,0.0618
136.1900,200000,1.000e+17,0.0875,0.0655
136.1900,300000,1.000e+17,0.0955,0.0717
136.1900,500000,1.000e+17,0.0993,0.0785
296.8100,50000,1.000e+17,0.0955,0.0576
296.8100,100000,1.000e+17,0.114,0.0719
296.8100,150000,1.000e+17,0.125,0.0811
296.8100,200000,1.000e+17,0.135,0.088
296.8100,300000,1.000e+17,0.143,0.0952
296.8100,500000,1.000e+17,0.153,0.103
168.4100,150000,1.000e+17,0.121,0.0926
168.4100,200000,1.000e+17,0.133,0.0995
168.4100,300000,1.000e+17,0.145,0.109
168.4100,500000,1.000e+17,0.151,0.119
264.5100,50000,1.000e+17,0.0291,-0.0137
264.5100,100000,1.000e+17,0.0359,-0.0187
264.5100,150000,1.000e+17,0.0395,-0.0211
264.5100,200000,1.000e+17,0.042,-0.0227
264.5100,300000,1.000e+17,0.0456,-0.0253
264.5100,500000,1.000e+17,0.0482,-0.0282
124.2000,50000,1.000e+17,0.0166,0.00924
124.2000,100000,1.000e+17,0.0196,0.0115
124.2000,150000,1.000e+17,0.0214,0.0129
124.2000,200000,1.000e+17,0.0227,0.014
124.2000,300000,1.000e+17,0.0239,0.0153
124.2000,500000,1.000e+17,0.0262,0.0172
186.3600,50000,1.000e+17,0.0272,0.0274
186.3600,100000,1.000e+17,0.0355,0.0344
186.3600,150000,1.000e+17,0.0405,0.0391
186.3600,200000,1.000e+17,0.0447,0.0415
186.3600,300000,1.000e+17,0.0506,0.0455
186.3600,500000,1.000e+17,0.0559,0.0498
