transition,T_e,n_e,gamma_W,gamma_d
67.3900,50000,1.000e+17,0.000511,-0.000444
67.3900,100000,1.000e+17,0.000827,-0.000663
67.3900,150000,1.000e+17,0.00104,-0.000803
67.3900,200000,1.000e+17,0.00113,-0.000867
67.3900,300000,1.000e+17,0.00128,-0.000967
67.3900,500000,1.000e+17,0.00147,-0.0011
99.8500,50000,1.000e+17,0.00124,0.000202
99.8500,100000,1.000e+17,0.00185,0.000355
99.8500,150000,1.000e+17,0.0022,0.000452
99.8500,200000,1.000e+17,0.00233,0.000518
99.8500,300000,1.000e+17,0.00252,0.000622
99.8500,500000,1.000e+17,0.00275,0.000715
47.5600,200000,1.000e+17,0.0115,0.0101
47.5600,300000,1.000e+17,0.0127,0.0108
47.5600,500000,1.000e+17,0.0142,0.012
53.4800,50000,1.000e+17,0.00139,0.000264
53.4800,100000,1.000e+17,0.00178,0.000396
53.4800,150000,1.000e+17,0.00193,0.000482
53.4800,200000,1.000e+17,0.00203,0.000523
53.4800,300000,1.000e+17,0.00216,0.000582
53.4800,500000,1.000e+17,0.00229,0.000664
43.3100,50000,1.000e+17,0.00252,0.000483
43.3100,100000,1.000e+17,0.00288,0.000686
43.3100,150000,1.000e+17,0.00309,0.000773
43.3100,200000,1.000e+17,0.00323,0.000835
43.3100,300000,1.000e+17,0.00336,0.000925
43.3100,500000,1.000e+17,0.00349,0.00105
86.9100,50000,1.000e+17,0.000171,-2.85e-06
86.9100,100000,1.000e+17,0.000328,-5.86e-06
86.9100,150000,1.000e+17,0.000422,-8.81e-06
86.9100,200000,1.000e+17,0.000488,-1.16e-05
86.9100,300000,1.000e+17,0.000579,-1.67e-05
86.9100,500000,1.000e+17,0.000641,-2.43e-05
39.0200,50000,1.000e+17,0.000257,0.000222
39.0200,100000,1.000e+17,0.000398,0.00032
39.0200,150000,1.000e+17,0.000479,0.000376
39.0200,200000,1.000e+17,0.000524,0.000404
39.0200,300000,1.000e+17,0.000588,0.00045
39.0200,500000,1.000e+17,0.000672,0.000513
54.4000,50000,1.000e+17,8.69e-05,0.000195
54.4000,100000,1.000e+17,0.000207,0.000301
54.4000,150000,1.000e+17,0.000284,0.000371
54.4000,200000,1.000e+17,0.000363,0.000415
54.4000,300000,1.000e+17,0.00044,0.000461
54.4000,500000,1.000e+17,0.000536,0.000526
31.1000,50000,1.000e+17,0.000719,0.000606
31.1000,100000,1.000e+17,0.000966,0.000786
31.1000,150000,1.000e+17,0.00109,0.000892
31.1000,200000,1.000e+17,0.00117,0.000958
31.1000,300000,1.000e+17,0.00132,0.00106
31.1000,500000,1.000e+17,0.00147,0.00117
