transition,T_e,n_e,gamma_W,gamma_d
110.8700,50000,1.000e+17,0.000578,-5.34e-05
110.8700,100000,1.000e+17,0.000896,-0.000101
110.8700,200000,1.000e+17,0.00119,-0.000162
110.8700,300000,1.000e+17,0.00128,-0.000196
110.8700,500000,1.000e+17,0.0014,-0.000241
110.8700,1000000,1.000e+17,0.00154,-0.000289
46.4800,50000,1.000e+17,0.000777,2.43e-05
46.4800,100000,1.000e+17,0.000938,4.23e-05
46.4800,200000,1.000e+17,0.00106,6.15e-05
46.4800,300000,1.000e+17,0.00112,7.36e-05
46.4800,500000,1.000e+17,0.00117,8.47e-05
46.4800,1000000,1.000e+17,0.00122,0.000101
