transition,T_e,n_e,gamma_W,gamma_d
224.5500,5000,1.000e+17,0.0529,
224.5500,10000,1.000e+17,0.0374,
224.5500,20000,1.000e+17,0.0264,
224.5500,40000,1.000e+17,0.0187,
224.5500,80000,1.000e+17,0.0132,
214.4200,5000,1.000e+17,0.0692,
214.4200,10000,1.000e+17,0.0489,
214.4200,20000,1.000e+17,0.0346,
214.4200,40000,1.000e+17,0.0245,
214.4200,80000,1.000e+17,0.0174,
178.1900,5000,1.000e+17,0.0502,
178.1900,10000,1.000e+17,0.0355,
178.1900,20000,1.000e+17,0.0251,
178.1900,40000,1.000e+17,0.0177,
178.1900,80000,1.000e+17,0.0125,
177.7100,5000,1.000e+17,0.0496,
177.7100,10000,1.000e+17,0.0351,
177.7100,20000,1.000e+17,0.0248,
177.7100,40000,1.000e+17,0.0176,
177.7100,80000,1.000e+17,0.0124,
