transition,T_e,n_e,gamma_W,gamma_d
270.9800,5000,1.000e+17,0.464,0.169
270.9800,10000,1.000e+17,0.583,0.157
270.9800,20000,1.000e+17,0.49,0.0963
270.9800,30000,1.000e+17,0.447,0.0575
270.9800,40000,1.000e+17,0.422,0.0385
270.9800,50000,1.000e+17,0.406,0.0235
283.7300,5000,1.000e+17,0.51,0.186
283.7300,10000,1.000e+17,0.637,0.172
283.7300,20000,1.000e+17,0.535,0.106
283.7300,30000,1.000e+17,0.489,0.0633
283.7300,40000,1.000e+17,0.461,0.0425
283.7300,50000,1.000e+17,0.444,0.0261
770.0700,5000,1.000e+17,14.8,-1.15
770.0700,10000,1.000e+17,13.1,-2.1
770.0700,20000,1.000e+17,12.1,-3.64
770.0700,30000,1.000e+17,11.1,-4.13
770.0700,40000,1.000e+17,10.6,-4.29
770.0700,50000,1.000e+17,10.5,-4.2
281.4600,5000,1.000e+17,1.18,0.289
281.4600,10000,1.000e+17,0.933,0.195
281.4600,20000,1.000e+17,0.745,0.122
281.4600,30000,1.000e+17,0.66,0.0754
281.4600,40000,1.000e+17,0.61,0.053
281.4600,50000,1.000e+17,0.577,0.0351
787.3100,5000,1.000e+17,18.7,-0.373
787.3100,10000,1.000e+17,16.1,-1.99
787.3100,20000,1.000e+17,14.3,-3.67
787.3100,30000,1.000e+17,13.0,-4.22
787.3100,40000,1.000e+17,12.3,-4.4
787.3100,50000,1.000e+17,12.1,-4.31
210.8300,5000,1.000e+17,0.451,0.0214
210.8300,10000,1.000e+17,0.342,0.0343
210.8300,20000,1.000e+17,0.289,0.0489
210.8300,30000,1.000e+17,0.271,0.0368
210.8300,40000,1.000e+17,0.264,0.0152
210.8300,50000,1.000e+17,0.259,0.00159
183.7000,5000,1.000e+17,0.818,-0.129
183.7000,10000,1.000e+17,0.642,-0.186
183.7000,20000,1.000e+17,0.551,-0.325
183.7000,30000,1.000e+17,0.514,-0.386
183.7000,40000,1.000e+17,0.504,-0.413
183.7000,50000,1.000e+17,0.492,-0.421
259.5900,5000,1.000e+17,0.641,-0.249
259.5900,10000,1.000e+17,0.551,-0.362
259.5900,20000,1.000e+17,0.516,-0.429
259.5900,30000,1.000e+17,0.484,-0.421
259.5900,40000,1.000e+17,0.47,-0.402
259.5900,50000,1.000e+17,0.462,-0.383
248.0900,5000,1.000e+17,0.834,-0.123
248.0900,10000,1.000e+17,0.661,-0.246
248.0900,20000,1.000e+17,0.591,-0.415
248.0900,30000,1.000e+17,0.579,-0.49
248.0900,40000,1.000e+17,0.551,-0.497
248.0900,50000,1.000e+17,0.527,-0.496
194.8300,5000,1.000e+17,1.56,-0.844
194.8300,10000,1.000e+17,1.45,-1.27
194.8300,20000,1.000e+17,1.33,-1.44
194.8300,30000,1.000e+17,1.22,-1.4
194.8300,40000,1.000e+17,1.18,-1.33
194.8300,50000,1.000e+17,0.963,-1.38
218.4700,5000,1.000e+17,0.485,0.0221
