transition,T_e,n_e,gamma_W,gamma_d
395.1600,10000,1.000e+17,0.0149,-0.000659
395.1600,20000,1.000e+17,0.0221,-0.00135
395.1600,30000,1.000e+17,0.026,-0.00186
395.1600,50000,1.000e+17,0.0286,-0.00252
395.1600,100000,1.000e+17,0.0321,-0.00346
395.1600,150000,1.000e+17,0.0338,-0.00384
368.1700,10000,1.000e+17,0.0118,8.87e-05
368.1700,20000,1.000e+17,0.0177,0.000192
368.1700,30000,1.000e+17,0.021,0.00029
368.1700,50000,1.000e+17,0.0232,0.00045
368.1700,100000,1.000e+17,0.0261,0.000696
368.1700,150000,1.000e+17,0.0276,0.000846
334.7200,10000,1.000e+17,0.0105,0.000126
334.7200,20000,1.000e+17,0.0156,0.000271
334.7200,30000,1.000e+17,0.0183,0.000401
334.7200,50000,1.000e+17,0.0202,0.000598
334.7200,100000,1.000e+17,0.0227,0.000875
334.7200,150000,1.000e+17,0.024,0.00106
428.8100,10000,1.000e+17,0.0142,-0.00387
428.8100,20000,1.000e+17,0.0217,-0.00689
428.8100,30000,1.000e+17,0.0262,-0.00855
428.8100,50000,1.000e+17,0.0294,-0.011
428.8100,100000,1.000e+17,0.0336,-0.0132
428.8100,150000,1.000e+17,0.0359,-0.0147
384.1000,10000,1.000e+17,0.0123,-0.0029
384.1000,20000,1.000e+17,0.0186,-0.00522
384.1000,30000,1.000e+17,0.0223,-0.00647
384.1000,50000,1.000e+17,0.0248,-0.00837
384.1000,100000,1.000e+17,0.0282,-0.0101
384.1000,150000,1.000e+17,0.03,-0.0112
369.3200,10000,1.000e+17,0.0117,-0.00235
369.3200,20000,1.000e+17,0.0176,-0.00429
369.3200,30000,1.000e+17,0.021,-0.00535
369.3200,50000,1.000e+17,0.0233,-0.00694
369.3200,100000,1.000e+17,0.0264,-0.00845
369.3200,150000,1.000e+17,0.028,-0.00938
