transition,T_e,n_e,gamma_W,gamma_d
67.9000,20000,1.000e+17,0.000184,-4.36e-05
67.9000,50000,1.000e+17,0.000484,-0.000118
67.9000,100000,1.000e+17,0.000736,-0.000205
67.9000,150000,1.000e+17,0.00089,-0.000253
67.9000,300000,1.000e+17,0.00104,-0.000345
67.9000,500000,1.000e+17,0.00114,-0.000395
126.8500,20000,1.000e+17,0.000628,2.89e-05
126.8500,50000,1.000e+17,0.00165,8.23e-05
126.8500,100000,1.000e+17,0.0025,0.000161
126.8500,150000,1.000e+17,0.00302,0.000222
126.8500,300000,1.000e+17,0.00351,0.00033
126.8500,500000,1.000e+17,0.00381,0.000421
56.4300,20000,1.000e+17,0.000764,0.000107
56.4300,50000,1.000e+17,0.00142,0.000259
56.4300,100000,1.000e+17,0.00185,0.000391
56.4300,150000,1.000e+17,0.002,0.00048
56.4300,300000,1.000e+17,0.00224,0.000587
56.4300,500000,1.000e+17,0.00238,0.000668
56.8300,20000,1.000e+17,0.000102,-4.98e-05
56.8300,50000,1.000e+17,0.000283,-0.000131
56.8300,100000,1.000e+17,0.000447,-0.000216
56.8300,150000,1.000e+17,0.000553,-0.000263
56.8300,300000,1.000e+17,0.000669,-0.00034
56.8300,500000,1.000e+17,0.000744,-0.000391
51.8200,20000,1.000e+17,1.13e-05,6.82e-05
51.8200,50000,1.000e+17,7.25e-05,0.000171
51.8200,100000,1.000e+17,0.000178,0.000264
51.8200,150000,1.000e+17,0.000243,0.000325
51.8200,300000,1.000e+17,0.000382,0.000405
51.8200,500000,1.000e+17,0.000468,0.000463
29.1500,20000,1.000e+17,0.000271,0.000214
29.1500,50000,1.000e+17,0.000535,0.000408
29.1500,100000,1.000e+17,0.000716,0.000537
29.1500,150000,1.000e+17,0.000807,0.000614
29.1500,300000,1.000e+17,0.000966,0.00073
29.1500,500000,1.000e+17,0.00107,0.000806
32.9300,20000,1.000e+17,3.74e-05,0.000129
32.9300,50000,1.000e+17,0.000168,0.000264
32.9300,100000,1.000e+17,0.000302,0.000377
32.9300,150000,1.000e+17,0.000383,0.000424
32.9300,300000,1.000e+17,0.0005,0.000511
32.9300,500000,1.000e+17,0.000604,0.000578
26.4800,20000,1.000e+17,0.000663,0.000398
26.4800,50000,1.000e+17,0.00109,0.000699
26.4800,100000,1.000e+17,0.00131,0.000884
26.4800,150000,1.000e+17,0.00145,0.001
26.4800,300000,1.000e+17,0.00167,0.00118
26.4800,500000,1.000e+17,0.00182,0.00133
27.9100,20000,1.000e+17,0.000248,0.000401
27.9100,50000,1.000e+17,0.0006,0.000711
27.9100,100000,1.000e+17,0.000865,0.000899
27.9100,150000,1.000e+17,0.001,0.00102
27.9100,300000,1.000e+17,0.00128,0.0012
27.9100,500000,1.000e+17,0.00146,0.00132
490.6800,20000,1.000e+17,0.0193,-0.00794
490.6800,50000,1.000e+17,0.0458,-0.0193
490.6800,100000,1.000e+17,0.0662,-0.0292
490.6800,150000,1.000e+17,0.0759,-0.0359
490.6800,300000,1.000e+17,0.088,-0.0439
490.6800,500000,1.000e+17,0.0969,-0.05
198.7300,20000,1.000e+17,0.00871,0.00101
198.7300,50000,1.000e+17,0.0164,0.00252
198.7300,100000,1.000e+17,0.0216,0.0039
198.7300,150000,1.000e+17,0.0233,0.00479
198.7300,300000,1.000e+17,0.0262,0.00597
198.7300,500000,1.000e+17,0.0278,0.00682
672.6100,20000,1.000e+17,0.0334,-0.0204
672.6100,50000,1.000e+17,0.0823,-0.0483
672.6100,100000,1.000e+17,0.122,-0.0716
672.6100,150000,1.000e+17,0.142,-0.0861
672.6100,300000,1.000e+17,0.168,-0.103
672.6100,500000,1.000e+17,0.188,-0.118
191.4100,20000,1.000e+17,0.0128,0.00948
191.4100,50000,1.000e+17,0.0247,0.018
191.4100,100000,1.000e+17,0.0325,0.0236
191.4100,150000,1.000e+17,0.0365,0.027
191.4100,300000,1.000e+17,0.0436,0.0322
