transition,T_e,n_e,gamma_W,gamma_d
46.4700,100000,1.000e+17,0.000131,-0.000153
46.4700,200000,1.000e+17,0.000219,-0.000219
46.4700,400000,1.000e+17,0.00031,-0.000275
46.4700,800000,1.000e+17,0.000392,-0.000332
64.9200,100000,1.000e+17,0.000332,8.32e-05
64.9200,200000,1.000e+17,0.000488,0.000137
64.9200,400000,1.000e+17,0.000604,0.00019
64.9200,800000,1.000e+17,0.000689,0.000235
36.4000,100000,1.000e+17,0.000471,0.000116
36.4000,200000,1.000e+17,0.000575,0.000164
36.4000,400000,1.000e+17,0.000654,0.000203
36.4000,800000,1.000e+17,0.000721,0.000245
71.0600,100000,1.000e+17,4.02e-05,-5.86e-06
71.0600,200000,1.000e+17,8.21e-05,-1.16e-05
71.0600,400000,1.000e+17,0.000128,-2.09e-05
71.0600,800000,1.000e+17,0.000172,-3.18e-05
28.9800,100000,1.000e+17,8.84e-05,8.48e-05
28.9800,200000,1.000e+17,0.000138,0.000119
28.9800,400000,1.000e+17,0.000181,0.000146
28.9800,800000,1.000e+17,0.000221,0.000175
39.0200,100000,1.000e+17,4.77e-05,9.6e-05
39.0200,200000,1.000e+17,9.93e-05,0.000139
39.0200,400000,1.000e+17,0.000165,0.000177
39.0200,800000,1.000e+17,0.000215,0.000215
22.7600,100000,1.000e+17,0.000262,0.000226
22.7600,200000,1.000e+17,0.00034,0.00028
22.7600,400000,1.000e+17,0.00041,0.000335
22.7600,800000,1.000e+17,0.000506,0.000392
25.1600,100000,1.000e+17,0.000114,0.00017
25.1600,200000,1.000e+17,0.000196,0.000217
25.1600,400000,1.000e+17,0.000262,0.000262
25.1600,800000,1.000e+17,0.000325,0.000309
93.7100,100000,1.000e+17,8.39e-05,-4.21e-05
93.7100,200000,1.000e+17,0.00017,-7.85e-05
93.7100,400000,1.000e+17,0.000263,-0.000124
93.7100,800000,1.000e+17,0.000351,-0.000171
24.9100,100000,1.000e+17,5.88e-05,8.95e-06
24.9100,200000,1.000e+17,8.46e-05,1.52e-05
24.9100,400000,1.000e+17,0.000102,2.16e-05
24.9100,800000,1.000e+17,0.000115,2.72e-05
19.1500,100000,1.000e+17,0.000139,3.08e-05
19.1500,200000,1.000e+17,0.000168,4.34e-05
19.1500,400000,1.000e+17,0.000191,5.43e-05
19.1500,800000,1.000e+17,0.00021,6.54e-05
921.3000,100000,1.000e+17,0.0914,-0.127
921.3000,200000,1.000e+17,0.157,-0.175
921.3000,400000,1.000e+17,0.213,-0.21
921.3000,800000,1.000e+17,0.269,-0.251
142.0900,100000,1.000e+17,0.00599,-0.000426
142.0900,200000,1.000e+17,0.00749,-0.000693
142.0900,400000,1.000e+17,0.00848,-0.000963
142.0900,800000,1.000e+17,0.00933,-0.00119
119.9400,100000,1.000e+17,0.00688,0.00674
119.9400,200000,1.000e+17,0.00922,0.00827
119.9400,400000,1.000e+17,0.0116,0.01
119.9400,800000,1.000e+17,0.0137,0.0112
198.6900,100000,1.000e+17,0.004,0.0035
198.6900,200000,1.000e+17,0.00618,0.00493
198.6900,400000,1.000e+17,0.00799,0.00612
198.6900,800000,1.000e+17,0.00974,0.00738
69.1800,100000,1.000e+17,0.00222,0.00205
69.1800,200000,1.000e+17,0.00294,0.00254
69.1800,400000,1.000e+17,0.00356,0.00302
69.1800,800000,1.000e+17,0.00444,0.00358
97.4200,100000,1.000e+17,0.00199,0.00246
97.4200,200000,1.000e+17,0.00315,0.00317
97.4200,400000,1.000e+17,0.0041,0.00385
97.4200,800000,1.000e+17,0.00509,0.00447
259.8400,100000,1.000e+17,0.0067,-0.00327
259.8400,200000,1.000e+17,0.00979,-0.00482
259.8400,400000,1.000e+17,0.0121,-0.00639
259.8400,800000,1.000e+17,0.0141,-0.00767
62.8200,100000,1.000e+17,0.00148,0.000127
62.8200,200000,1.000e+17,0.00179,0.000195
62.8200,400000,1.000e+17,0.00202,0.000268
62.8200,800000,1.000e+17,0.00221,0.000322
419.2500,100000,1.000e+17,0.0812,0.0691
419.2500,200000,1.000e+17,0.107,0.0863
419.2500,400000,1.000e+17,0.13,0.103
419.2500,800000,1.000e+17,0.153,0.123
553.6100,100000,1.000e+17,0.125,-0.0658
553.6100,200000,1.000e+17,0.155,-0.0872
553.6100,400000,1.000e+17,0.182,-0.104
553.6100,800000,1.000e+17,0.203,-0.123
