transition,T_e,n_e,gamma_W,gamma_d
145.9000,5000,1.000e+17,0.0551,0.0194
145.9000,10000,1.000e+17,0.0414,0.0143
145.9000,20000,1.000e+17,0.0321,0.0111
145.9000,30000,1.000e+17,0.0285,0.01
145.9000,40000,1.000e+17,0.0267,0.00983
145.9000,50000,1.000e+17,0.0258,0.00986
680.7000,5000,1.000e+17,1.12,-0.179
680.7000,10000,1.000e+17,0.774,-0.128
680.7000,20000,1.000e+17,0.548,-0.0928
680.7000,30000,1.000e+17,0.47,-0.079
680.7000,40000,1.000e+17,0.441,-0.0714
680.7000,50000,1.000e+17,0.429,-0.0591
591.1000,5000,1.000e+17,1.84,-0.634
591.1000,10000,1.000e+17,1.29,-0.492
591.1000,20000,1.000e+17,0.982,-0.433
591.1000,30000,1.000e+17,0.894,-0.483
591.1000,40000,1.000e+17,0.858,-0.512
591.1000,50000,1.000e+17,0.847,-0.546
419.0000,5000,1.000e+17,1.12,-0.141
419.0000,10000,1.000e+17,0.849,-0.0738
419.0000,20000,1.000e+17,0.737,0.0268
419.0000,30000,1.000e+17,0.718,0.0721
419.0000,40000,1.000e+17,0.714,0.0748
419.0000,50000,1.000e+17,0.694,0.0712
699.7000,5000,1.000e+17,1.98,-0.557
699.7000,10000,1.000e+17,1.37,-0.404
699.7000,20000,1.000e+17,0.97,-0.3
699.7000,30000,1.000e+17,0.82,-0.261
699.7000,40000,1.000e+17,0.753,-0.247
699.7000,50000,1.000e+17,0.72,-0.232
600.5000,5000,1.000e+17,1.96,-0.724
600.5000,10000,1.000e+17,1.37,-0.549
600.5000,20000,1.000e+17,0.996,-0.462
600.5000,30000,1.000e+17,0.868,-0.48
600.5000,40000,1.000e+17,0.81,-0.505
600.5000,50000,1.000e+17,0.782,-0.524
589.6000,5000,1.000e+17,1.57,-0.488
589.6000,10000,1.000e+17,1.1,-0.362
589.6000,20000,1.000e+17,0.797,-0.288
589.6000,30000,1.000e+17,0.693,-0.281
589.6000,40000,1.000e+17,0.647,-0.283
589.6000,50000,1.000e+17,0.624,-0.287
605.4000,5000,1.000e+17,2.33,-0.941
605.4000,10000,1.000e+17,1.63,-0.715
605.4000,20000,1.000e+17,1.22,-0.605
605.4000,30000,1.000e+17,1.1,-0.64
605.4000,40000,1.000e+17,1.05,-0.666
605.4000,50000,1.000e+17,1.03,-0.7
450.7000,5000,1.000e+17,1.63,-0.599
450.7000,10000,1.000e+17,1.15,-0.44
450.7000,20000,1.000e+17,0.862,-0.322
450.7000,30000,1.000e+17,0.753,-0.294
450.7000,40000,1.000e+17,0.708,-0.305
450.7000,50000,1.000e+17,0.682,-0.338
426.1000,5000,1.000e+17,1.45,-0.282
426.1000,10000,1.000e+17,1.08,-0.175
426.1000,20000,1.000e+17,0.907,-0.0472
426.1000,30000,1.000e+17,0.861,0.000863
426.1000,40000,1.000e+17,0.845,0.0138
426.1000,50000,1.000e+17,0.817,0.0105
1169.4000,5000,1.000e+17,6.25,-3.42
1169.4000,10000,1.000e+17,4.33,-2.51
1169.4000,20000,1.000e+17,3.08,-1.93
1169.4000,30000,1.000e+17,2.66,-1.76
1169.4000,40000,1.000e+17,2.49,-1.72
1169.4000,50000,1.000e+17,2.42,-1.67
916.6000,5000,1.000e+17,5.1,-2.6
916.6000,10000,1.000e+17,3.54,-1.92
916.6000,20000,1.000e+17,2.57,-1.51
916.6000,30000,1.000e+17,2.27,-1.4
916.6000,40000,1.000e+17,2.16,-1.37
916.6000,50000,1.000e+17,2.12,-1.32
613.0000,5000,1.000e+17,2.94,-0.982
613.0000,10000,1.000e+17,2.04,-0.727
613.0000,20000,1.000e+17,1.46,-0.565
613.0000,30000,1.000e+17,1.25,-0.536
613.0000,40000,1.000e+17,1.16,-0.526
613.0000,50000,1.000e+17,1.12,-0.542
927.8000,5000,1.000e+17,6.38,-3.38
927.8000,10000,1.000e+17,4.48,-2.56
927.8000,20000,1.000e+17,3.34,-2.11
927.8000,30000,1.000e+17,3.0,-2.15
927.8000,40000,1.000e+17,2.86,-2.21
927.8000,50000,1.000e+17,2.81,-2.29
608.1000,5000,1.000e+17,3.37,-1.59
608.1000,10000,1.000e+17,2.38,-1.18
608.1000,20000,1.000e+17,1.77,-0.881
608.1000,30000,1.000e+17,1.55,-0.813
608.1000,40000,1.000e+17,1.46,-0.833
608.1000,50000,1.000e+17,1.41,-0.892
564.1000,5000,1.000e+17,2.71,-0.929
564.1000,10000,1.000e+17,2.02,-0.631
564.1000,20000,1.000e+17,1.68,-0.336
564.1000,30000,1.000e+17,1.6,-0.224
564.1000,40000,1.000e+17,1.57,-0.214
564.1000,50000,1.000e+17,1.53,-0.219
158.9000,5000,1.000e+17,0.0478,0.0102
158.9000,10000,1.000e+17,0.0323,0.00828
158.9000,20000,1.000e+17,0.0249,0.00751
158.9000,30000,1.000e+17,0.019,0.00764
158.9000,40000,1.000e+17,0.0108,0.00817
158.9000,50000,1.000e+17,0.0961,0.00897
