transition,T_e,n_e,gamma_W,gamma_d
424.7000,5000,1.000e+17,0.322,
424.7000,10000,1.000e+17,0.224,
424.7000,20000,1.000e+17,0.155,
424.7000,30000,1.000e+17,0.126,
424.7000,40000,1.000e+17,0.111,
424.7000,50000,1.000e+17,0.102,
335.4000,5000,1.000e+17,0.216,
335.4000,10000,1.000e+17,0.15,
335.4000,20000,1.000e+17,0.104,
335.4000,30000,1.000e+17,0.0846,
335.4000,40000,1.000e+17,0.0743,
335.4000,50000,1.000e+17,0.0682,
353.6000,5000,1.000e+17,0.233,
353.6000,10000,1.000e+17,0.162,
353.6000,20000,1.000e+17,0.112,
353.6000,30000,1.000e+17,0.0911,
353.6000,40000,1.000e+17,0.0799,
353.6000,50000,1.000e+17,0.0733,
357.6000,5000,1.000e+17,0.215,
357.6000,10000,1.000e+17,0.149,
357.6000,20000,1.000e+17,0.103,
357.6000,30000,1.000e+17,0.084,
357.6000,40000,1.000e+17,0.0734,
357.6000,50000,1.000e+17,0.0671,
362.8000,5000,1.000e+17,0.222,
362.8000,10000,1.000e+17,0.155,
362.8000,20000,1.000e+17,0.107,
362.8000,30000,1.000e+17,0.0869,
362.8000,40000,1.000e+17,0.0759,
362.8000,50000,1.000e+17,0.0694,
336.9000,5000,1.000e+17,0.195,
336.9000,10000,1.000e+17,0.135,
336.9000,20000,1.000e+17,0.0936,
336.9000,30000,1.000e+17,0.0761,
336.9000,40000,1.000e+17,0.0665,
336.9000,50000,1.000e+17,0.0609,
