transition,T_e,n_e,gamma_W,gamma_d
73.1200,20000,1.000e+17,0.00108,0.000293
73.1200,50000,1.000e+17,0.00134,0.00045
73.1200,100000,1.000e+17,0.00151,0.000541
73.1200,200000,1.000e+17,0.00162,0.000637
160.5100,20000,1.000e+17,0.00144,0.000149
160.5100,50000,1.000e+17,0.00216,0.000299
160.5100,100000,1.000e+17,0.00245,0.000414
160.5100,200000,1.000e+17,0.00273,0.000507
78.0600,20000,1.000e+17,0.00216,-3.81e-05
78.0600,50000,1.000e+17,0.00254,-7.55e-05
78.0600,100000,1.000e+17,0.00279,-0.000104
78.0600,200000,1.000e+17,0.0029,-0.000127
406.6800,20000,1.000e+17,0.017,0.000726
406.6800,50000,1.000e+17,0.0231,0.00151
406.6800,100000,1.000e+17,0.0261,0.00211
406.6800,200000,1.000e+17,0.0285,0.00264
627.3700,20000,1.000e+17,0.115,-0.0219
627.3700,50000,1.000e+17,0.137,-0.0336
627.3700,100000,1.000e+17,0.153,-0.0407
627.3700,200000,1.000e+17,0.161,-0.0476
200.5400,20000,1.000e+17,0.00401,0.00198
200.5400,50000,1.000e+17,0.00571,0.00307
200.5400,100000,1.000e+17,0.00668,0.00366
200.5400,200000,1.000e+17,0.00772,0.0044
190.6900,20000,1.000e+17,0.00414,0.00438
190.6900,50000,1.000e+17,0.00675,0.00625
190.6900,100000,1.000e+17,0.00829,0.00748
190.6900,200000,1.000e+17,0.0105,0.00874
271.1400,20000,1.000e+17,0.0046,-0.000922
271.1400,50000,1.000e+17,0.00681,-0.00164
271.1400,100000,1.000e+17,0.00774,-0.00217
271.1400,200000,1.000e+17,0.00862,-0.00261
97.3900,20000,1.000e+17,0.00344,-0.000209
97.3900,50000,1.000e+17,0.00405,-0.000352
97.3900,100000,1.000e+17,0.00444,-0.000441
97.3900,200000,1.000e+17,0.00459,-0.000531
748.3900,20000,1.000e+17,0.209,-0.0703
748.3900,50000,1.000e+17,0.252,-0.0997
748.3900,100000,1.000e+17,0.28,-0.12
748.3900,200000,1.000e+17,0.292,-0.136
