transition,T_e,n_e,gamma_W,gamma_d
1501.0700,50000,1.000e+17,2.16,1.5
1034.7400,30000,1.000e+17,0.781,0.257
1034.7400,50000,1.000e+17,0.793,0.288
897.2600,20000,1.000e+17,0.503,0.172
897.2600,30000,1.000e+17,0.511,0.191
897.2600,50000,1.000e+17,0.52,0.214
155.3600,30000,1.000e+17,0.0185,-0.00355
155.3600,50000,1.000e+17,0.0186,-0.00395
199.7900,2500,1.000e+17,0.00453,0.00261
199.7900,5000,1.000e+17,0.00512,0.00364
199.7900,10000,1.000e+17,0.00575,0.00458
199.7900,20000,1.000e+17,0.00645,0.0055
199.7900,30000,1.000e+17,0.0069,0.00603
199.7900,50000,1.000e+17,0.00751,0.00672
