transition,T_e,n_e,gamma_W,gamma_d
381.5500,10000,1.000e+17,0.377,
381.5500,20000,1.000e+17,0.267,
381.5500,50000,1.000e+17,0.169,
381.5500,100000,1.000e+17,0.134,
381.5500,200000,1.000e+17,0.119,
381.5500,300000,1.000e+17,0.116,
353.4100,10000,1.000e+17,0.321,
353.4100,20000,1.000e+17,0.227,
353.4100,50000,1.000e+17,0.144,
353.4100,100000,1.000e+17,0.113,
353.4100,200000,1.000e+17,0.101,
353.4100,300000,1.000e+17,0.0981,
327.1000,10000,1.000e+17,0.273,
327.1000,20000,1.000e+17,0.193,
327.1000,50000,1.000e+17,0.122,
327.1000,100000,1.000e+17,0.0958,
327.1000,200000,1.000e+17,0.0857,
327.1000,300000,1.000e+17,0.0831,
