transition,T_e,n_e,gamma_W,gamma_d
385.6020,5000,1.000e+17,0.05,
385.6020,10000,1.000e+17,0.05,
385.6020,20000,1.000e+17,0.05,
385.6020,40000,1.000e+17,0.05,
413.0894,5000,1.000e+17,0.1,
413.0894,10000,1.000e+17,0.1,
413.0894,20000,1.000e+17,0.1,
413.0894,40000,1.000e+17,0.1,
520.2000,5000,1.000e+17,0.15,
520.2000,10000,1.000e+17,0.15,
520.2000,20000,1.000e+17,0.15,
546.7000,40000,1.000e+17,0.23,
518.6000,40000,1.000e+17,0.15,
467.3270,40000,1.000e+17,0.29,
623.9660,40000,1.000e+17,0.16,
623.9610,40000,1.000e+17,0.16,
505.6317,5000,1.000e+17,0.29,
505.6317,10000,1.000e+17,0.29,
505.6317,20000,1.000e+17,0.29,
505.5980,5000,1.000e+17,0.29,
505.5980,10000,1.000e+17,0.29,
505.5980,20000,1.000e+17,0.29,
321.0042,5000,1.000e+17,0.36,
321.0042,10000,1.000e+17,0.36,
321.0042,20000,1.000e+17,0.36,
321.0042,40000,1.000e+17,0.36,
321.0026,5000,1.000e+17,0.36,
321.0026,10000,1.000e+17,0.36,
321.0026,20000,1.000e+17,0.36,
321.0026,40000,1.000e+17,0.36,
597.9000,5000,1.000e+17,0.23,
597.9000,10000,1.000e+17,0.23,
597.9000,20000,1.000e+17,0.23,
333.9820,5000,1.000e+17,0.24,
333.9820,10000,1.000e+17,0.24,
333.9820,20000,1.000e+17,0.24,
333.9820,40000,1.000e+17,0.24,
634.7000,5000,1.000e+17,0.16,
634.7000,10000,1.000e+17,0.16,
634.7000,20000,1.000e+17,0.16,
