transition,T_e,n_e,gamma_W,gamma_d
106.6600,20000,1.000e+17,0.000766,-0.000774
106.6600,50000,1.000e+17,0.00145,-0.00128
106.6600,80000,1.000e+17,0.00175,-0.00148
106.6600,100000,1.000e+17,0.00189,-0.00159
106.6600,150000,1.000e+17,0.00212,-0.00177
106.6600,200000,1.000e+17,0.00229,-0.0019
172.4100,20000,1.000e+17,0.00221,0.000269
172.4100,50000,1.000e+17,0.00362,0.000576
172.4100,80000,1.000e+17,0.00407,0.000727
172.4100,100000,1.000e+17,0.00426,0.000815
172.4100,150000,1.000e+17,0.00457,0.000956
172.4100,200000,1.000e+17,0.00478,0.00102
74.9900,100000,1.000e+17,0.0199,0.0182
74.9900,150000,1.000e+17,0.0226,0.0205
74.9900,200000,1.000e+17,0.023,0.0208
86.0700,20000,1.000e+17,0.00263,0.000307
86.0700,50000,1.000e+17,0.00338,0.000538
86.0700,80000,1.000e+17,0.00365,0.000651
86.0700,100000,1.000e+17,0.00378,0.000686
86.0700,150000,1.000e+17,0.00397,0.00077
86.0700,200000,1.000e+17,0.00405,0.000829
64.5800,20000,1.000e+17,0.00395,-9.69e-06
64.5800,50000,1.000e+17,0.00468,-2.37e-05
64.5800,80000,1.000e+17,0.00499,-3.35e-05
64.5800,100000,1.000e+17,0.00508,-3.83e-05
64.5800,150000,1.000e+17,0.00521,-4.64e-05
64.5800,200000,1.000e+17,0.0053,-5.32e-05
68.8300,20000,1.000e+17,0.00468,0.000518
68.8300,50000,1.000e+17,0.00557,0.000821
68.8300,80000,1.000e+17,0.00594,0.000943
68.8300,100000,1.000e+17,0.00604,0.000996
68.8300,150000,1.000e+17,0.00623,0.00111
68.8300,200000,1.000e+17,0.00632,0.0012
112.6400,20000,1.000e+17,0.000113,8.36e-06
112.6400,50000,1.000e+17,0.000271,2.17e-05
112.6400,80000,1.000e+17,0.00035,3.31e-05
112.6400,100000,1.000e+17,0.000394,3.91e-05
112.6400,150000,1.000e+17,0.000457,5.18e-05
112.6400,200000,1.000e+17,0.000481,5.94e-05
56.0500,20000,1.000e+17,0.000389,0.000319
56.0500,50000,1.000e+17,0.000655,0.00051
56.0500,80000,1.000e+17,0.000754,0.000585
56.0500,100000,1.000e+17,0.000805,0.000623
56.0500,150000,1.000e+17,0.000894,0.000685
56.0500,200000,1.000e+17,0.00096,0.000742
81.7100,20000,1.000e+17,0.000109,0.000208
81.7100,50000,1.000e+17,0.00029,0.000373
81.7100,80000,1.000e+17,0.000425,0.000465
81.7100,100000,1.000e+17,0.000484,0.000492
81.7100,150000,1.000e+17,0.000561,0.000546
81.7100,200000,1.000e+17,0.000625,0.00059
45.4700,20000,1.000e+17,0.00118,0.000853
45.4700,50000,1.000e+17,0.00159,0.00121
45.4700,80000,1.000e+17,0.00182,0.00142
45.4700,100000,1.000e+17,0.00196,0.0015
45.4700,150000,1.000e+17,0.00213,0.00165
45.4700,200000,1.000e+17,0.00225,0.00172
51.5900,20000,1.000e+17,0.000263,0.000384
51.5900,50000,1.000e+17,0.000545,0.000595
51.5900,80000,1.000e+17,0.000661,0.000691
51.5900,100000,1.000e+17,0.000712,0.000728
51.5900,150000,1.000e+17,0.000818,0.000805
51.5900,200000,1.000e+17,0.000914,0.000881
41.2700,20000,1.000e+17,0.00266,0.00176
41.2700,50000,1.000e+17,0.00339,0.00258
41.2700,80000,1.000e+17,0.00387,0.003
41.2700,100000,1.000e+17,0.00397,0.00314
41.2700,150000,1.000e+17,0.00442,0.00346
41.2700,200000,1.000e+17,0.00437,0.00372
43.8400,20000,1.000e+17,0.000716,0.000833
43.8400,50000,1.000e+17,0.00117,0.00118
43.8400,80000,1.000e+17,0.0014,0.00137
43.8400,100000,1.000e+17,0.00153,0.00144
43.8400,150000,1.000e+17,0.00173,0.00159
43.8400,200000,1.000e+17,0.00179,0.00165
139.6700,20000,1.000e+17,0.000159,-3.04e-05
139.6700,50000,1.000e+17,0.000389,-7.61e-05
139.6700,80000,1.000e+17,0.000507,-0.00011
139.6700,100000,1.000e+17,0.000571,-0.000129
139.6700,150000,1.000e+17,0.00067,-0.000157
139.6700,200000,1.000e+17,0.000707,-0.000181
45.7900,20000,1.000e+17,0.000194,1.72e-05
45.7900,50000,1.000e+17,0.000306,3.73e-05
45.7900,80000,1.000e+17,0.000338,4.73e-05
45.7900,100000,1.000e+17,0.000354,5.32e-05
45.7900,150000,1.000e+17,0.000378,6.27e-05
45.7900,200000,1.000e+17,0.000396,6.69e-05
36.1600,20000,1.000e+17,0.000501,5.32e-05
36.1600,50000,1.000e+17,0.000634,9.37e-05
36.1600,80000,1.000e+17,0.000686,0.000114
36.1600,100000,1.000e+17,0.00071,0.000119
36.1600,150000,1.000e+17,0.000746,0.000134
