transition,T_e,n_e,gamma_W,gamma_d
91.6900,50000,1.000e+17,0.000224,-3.54e-06
91.6900,100000,1.000e+17,0.000315,-6.93e-06
91.6900,150000,1.000e+17,0.000352,-9.76e-06
91.6900,200000,1.000e+17,0.000371,-1.2e-05
91.6900,300000,1.000e+17,0.000398,-1.53e-05
91.6900,500000,1.000e+17,0.00043,-1.94e-05
97.0500,50000,1.000e+17,0.000242,-3.21e-06
97.0500,100000,1.000e+17,0.000342,-6.33e-06
97.0500,150000,1.000e+17,0.000383,-9.01e-06
97.0500,200000,1.000e+17,0.000403,-1.11e-05
97.0500,300000,1.000e+17,0.000433,-1.45e-05
97.0500,500000,1.000e+17,0.000468,-1.85e-05
101.2000,50000,1.000e+17,0.000257,-1.23e-05
101.2000,100000,1.000e+17,0.000364,-2.28e-05
101.2000,150000,1.000e+17,0.000408,-3.04e-05
101.2000,200000,1.000e+17,0.00043,-3.56e-05
101.2000,300000,1.000e+17,0.000462,-4.32e-05
101.2000,500000,1.000e+17,0.0005,-5.25e-05
98.3900,50000,1.000e+17,0.000265,-2.25e-06
98.3900,100000,1.000e+17,0.000372,-4.48e-06
98.3900,150000,1.000e+17,0.000413,-6.47e-06
98.3900,200000,1.000e+17,0.000436,-8.15e-06
98.3900,300000,1.000e+17,0.000467,-1.09e-05
98.3900,500000,1.000e+17,0.000505,-1.39e-05
109.4300,50000,1.000e+17,0.000309,-1.11e-05
109.4300,100000,1.000e+17,0.000436,-2.09e-05
109.4300,150000,1.000e+17,0.000488,-2.81e-05
109.4300,200000,1.000e+17,0.000514,-3.37e-05
109.4300,300000,1.000e+17,0.000552,-4.08e-05
109.4300,500000,1.000e+17,0.000597,-5.09e-05
88.8800,50000,1.000e+17,0.000189,7.8e-07
88.8800,100000,1.000e+17,0.000269,1.57e-06
88.8800,150000,1.000e+17,0.000303,2.32e-06
88.8800,200000,1.000e+17,0.000319,3.01e-06
88.8800,300000,1.000e+17,0.000343,4.16e-06
88.8800,500000,1.000e+17,0.000371,5.83e-06
133.3200,50000,1.000e+17,0.000251,-2.28e-05
133.3200,100000,1.000e+17,0.000377,-4.19e-05
133.3200,150000,1.000e+17,0.000452,-5.59e-05
133.3200,200000,1.000e+17,0.000483,-6.49e-05
133.3200,300000,1.000e+17,0.000521,-7.89e-05
133.3200,500000,1.000e+17,0.000567,-9.53e-05
130.8000,50000,1.000e+17,0.000245,-3.86e-05
130.8000,100000,1.000e+17,0.000368,-6.74e-05
130.8000,150000,1.000e+17,0.000441,-8.67e-05
130.8000,200000,1.000e+17,0.000471,-9.84e-05
130.8000,300000,1.000e+17,0.000509,-0.000119
130.8000,500000,1.000e+17,0.000554,-0.000138
75.9700,50000,1.000e+17,0.00013,-2.08e-05
75.9700,100000,1.000e+17,0.000187,-3.51e-05
75.9700,150000,1.000e+17,0.000212,-4.26e-05
75.9700,200000,1.000e+17,0.000224,-4.93e-05
75.9700,300000,1.000e+17,0.000241,-5.79e-05
75.9700,500000,1.000e+17,0.000262,-6.61e-05
128.0100,50000,1.000e+17,0.000221,-1.87e-05
128.0100,100000,1.000e+17,0.000333,-3.48e-05
128.0100,150000,1.000e+17,0.000401,-4.65e-05
128.0100,200000,1.000e+17,0.00043,-5.47e-05
128.0100,300000,1.000e+17,0.000464,-6.64e-05
128.0100,500000,1.000e+17,0.000504,-8.1e-05
116.8900,50000,1.000e+17,0.000196,-2.69e-05
116.8900,100000,1.000e+17,0.000293,-4.74e-05
116.8900,150000,1.000e+17,0.000351,-6.17e-05
116.8900,200000,1.000e+17,0.000375,-6.99e-05
116.8900,300000,1.000e+17,0.000406,-8.56e-05
116.8900,500000,1.000e+17,0.000441,-9.91e-05
155.2200,50000,1.000e+17,0.000301,-0.000134
155.2200,100000,1.000e+17,0.000467,-0.000215
155.2200,150000,1.000e+17,0.000573,-0.000261
155.2200,200000,1.000e+17,0.000623,-0.000297
155.2200,300000,1.000e+17,0.000682,-0.000334
155.2200,500000,1.000e+17,0.000756,-0.000383
9.8300,50000,1.000e+17,1.71e-06,2.88e-08
9.8300,100000,1.000e+17,2.5e-06,5.71e-08
9.8300,150000,1.000e+17,2.93e-06,8.17e-08
9.8300,200000,1.000e+17,3.09e-06,1.01e-07
9.8300,300000,1.000e+17,3.33e-06,1.33e-07
9.8300,500000,1.000e+17,3.61e-06,1.71e-07
9.9200,50000,1.000e+17,1.55e-06,5.25e-08
9.9200,100000,1.000e+17,2.29e-06,1.02e-07
9.9200,150000,1.000e+17,2.72e-06,1.41e-07
9.9200,200000,1.000e+17,2.88e-06,1.73e-07
9.9200,300000,1.000e+17,3.11e-06,2.15e-07
9.9200,500000,1.000e+17,3.38e-06,2.75e-07
12.0400,50000,1.000e+17,9.36e-08,4.5e-07
12.0400,100000,1.000e+17,3.34e-07,7.69e-07
12.0400,150000,1.000e+17,5.86e-07,9.48e-07
12.0400,200000,1.000e+17,7.31e-07,1.1e-06
12.0400,300000,1.000e+17,1.05e-06,1.3e-06
12.0400,500000,1.000e+17,1.39e-06,1.49e-06
12.1800,50000,1.000e+17,9.25e-08,4.49e-07
12.1800,100000,1.000e+17,3.31e-07,7.68e-07
12.1800,150000,1.000e+17,5.86e-07,9.5e-07
12.1800,200000,1.000e+17,7.29e-07,1.1e-06
12.1800,300000,1.000e+17,1.05e-06,1.3e-06
12.1800,500000,1.000e+17,1.39e-06,1.49e-06
