transition,T_e,n_e,gamma_W,gamma_d
108.7400,50000,1.000e+17,7.62e-05,-2.52e-05
108.7400,100000,1.000e+17,0.000183,-5.21e-05
108.7400,200000,1.000e+17,0.000344,-9.78e-05
108.7400,400000,1.000e+17,0.000505,-0.000156
108.7400,800000,1.000e+17,0.000623,-0.000216
122.8800,50000,1.000e+17,8.99e-05,-4.09e-05
122.8800,100000,1.000e+17,0.000219,-8.42e-05
122.8800,200000,1.000e+17,0.000416,-0.000155
122.8800,400000,1.000e+17,0.000618,-0.000241
122.8800,800000,1.000e+17,0.000774,-0.000331
91.8800,50000,1.000e+17,6.26e-05,-3.24e-05
91.8800,100000,1.000e+17,0.000149,-6.62e-05
91.8800,200000,1.000e+17,0.000278,-0.000118
91.8800,400000,1.000e+17,0.000407,-0.000176
91.8800,800000,1.000e+17,0.0005,-0.000239
122.6700,50000,1.000e+17,6.87e-05,-5e-05
122.6700,100000,1.000e+17,0.000173,-0.000103
122.6700,200000,1.000e+17,0.000344,-0.000185
122.6700,400000,1.000e+17,0.000529,-0.00028
122.6700,800000,1.000e+17,0.000693,-0.000384
118.7200,50000,1.000e+17,6.6e-05,-5.66e-05
118.7200,100000,1.000e+17,0.000167,-0.000116
118.7200,200000,1.000e+17,0.000335,-0.000205
118.7200,400000,1.000e+17,0.000517,-0.000304
118.7200,800000,1.000e+17,0.000678,-0.000412
114.5400,50000,1.000e+17,5.63e-05,-4.88e-05
114.5400,100000,1.000e+17,0.000144,-9.99e-05
114.5400,200000,1.000e+17,0.00029,-0.000178
114.5400,400000,1.000e+17,0.000452,-0.000267
114.5400,800000,1.000e+17,0.000599,-0.000364
131.4800,50000,1.000e+17,6.9e-05,-7.21e-05
131.4800,100000,1.000e+17,0.000179,-0.000147
131.4800,200000,1.000e+17,0.000368,-0.00026
131.4800,400000,1.000e+17,0.000582,-0.000384
131.4800,800000,1.000e+17,0.000784,-0.000519
99.5600,50000,1.000e+17,4.65e-05,-3.06e-05
99.5600,100000,1.000e+17,0.000116,-6.3e-05
99.5600,200000,1.000e+17,0.00023,-0.000114
99.5600,400000,1.000e+17,0.000352,-0.000175
99.5600,800000,1.000e+17,0.000458,-0.00024
8.1000,50000,1.000e+17,4.19e-07,-2.85e-08
8.1000,100000,1.000e+17,1e-06,-5.94e-08
8.1000,200000,1.000e+17,1.87e-06,-1.18e-07
8.1000,400000,1.000e+17,2.74e-06,-2.18e-07
8.1000,800000,1.000e+17,3.36e-06,-3.43e-07
8.1200,50000,1.000e+17,4.08e-07,-4.45e-08
8.1200,100000,1.000e+17,9.81e-07,-9.28e-08
8.1200,200000,1.000e+17,1.84e-06,-1.83e-07
8.1200,400000,1.000e+17,2.7e-06,-3.24e-07
8.1200,800000,1.000e+17,3.32e-06,-4.83e-07
8.1200,50000,1.000e+17,4.05e-07,-2.77e-08
8.1200,100000,1.000e+17,9.72e-07,-5.78e-08
8.1200,200000,1.000e+17,1.83e-06,-1.15e-07
8.1200,400000,1.000e+17,2.68e-06,-2.13e-07
8.1200,800000,1.000e+17,3.3e-06,-3.36e-07
9.6700,50000,1.000e+17,2.02e-08,4.75e-07
9.6700,100000,1.000e+17,1.52e-07,9.61e-07
9.6700,200000,1.000e+17,6.29e-07,1.67e-06
9.6700,400000,1.000e+17,1.51e-06,2.44e-06
9.6700,800000,1.000e+17,2.78e-06,3.21e-06
8.3800,50000,1.000e+17,2.8e-07,-3.18e-08
8.3800,100000,1.000e+17,7.01e-07,-6.64e-08
8.3800,200000,1.000e+17,1.39e-06,-1.32e-07
8.3800,400000,1.000e+17,2.11e-06,-2.43e-07
8.3800,800000,1.000e+17,2.75e-06,-3.8e-07
8.3800,50000,1.000e+17,2.8e-07,-6.31e-08
8.3800,100000,1.000e+17,7.03e-07,-1.31e-07
8.3800,200000,1.000e+17,1.39e-06,-2.57e-07
8.3800,400000,1.000e+17,2.12e-06,-4.44e-07
8.3800,800000,1.000e+17,2.77e-06,-6.47e-07
10.0200,50000,1.000e+17,1.69e-08,4.38e-07
10.0200,100000,1.000e+17,1.28e-07,8.91e-07
10.0200,200000,1.000e+17,5.71e-07,1.57e-06
10.0200,400000,1.000e+17,1.43e-06,2.31e-06
10.0200,800000,1.000e+17,2.62e-06,3.11e-06
