transition,T_e,n_e,gamma_W,gamma_d
120.0700,500000,1.000e+17,3.54e-06,-2.85e-05
120.0700,750000,1.000e+17,9.02e-06,-4.16e-05
120.0700,1000000,1.000e+17,1.63e-05,-5.33e-05
120.0700,2000000,1.000e+17,4.87e-05,-8.6e-05
120.0700,4000000,1.000e+17,9.03e-05,-0.000119
120.0700,6000000,1.000e+17,0.000126,-0.000136
83.7700,500000,1.000e+17,1.09e-06,-9.27e-06
83.7700,750000,1.000e+17,2.65e-06,-1.37e-05
83.7700,1000000,1.000e+17,4.81e-06,-1.78e-05
83.7700,2000000,1.000e+17,1.51e-05,-3.01e-05
83.7700,4000000,1.000e+17,3.11e-05,-4.28e-05
83.7700,6000000,1.000e+17,4.4e-05,-5.07e-05
2619.8600,500000,1.000e+17,0.386,0.606
2619.8600,750000,1.000e+17,0.556,0.741
2619.8600,1000000,1.000e+17,0.725,0.817
2619.8600,2000000,1.000e+17,1.04,0.978
2619.8600,4000000,1.000e+17,1.43,1.17
2619.8600,6000000,1.000e+17,1.71,1.27
5.6600,500000,1.000e+17,0.000154,0.000146
5.6600,750000,1.000e+17,0.000176,0.00016
5.6600,1000000,1.000e+17,0.000185,0.000167
5.6600,2000000,1.000e+17,0.000214,0.000195
5.6600,4000000,1.000e+17,0.000232,0.000223
5.6600,6000000,1.000e+17,0.00028,0.000237
534.1600,500000,1.000e+17,0.00258,-0.00483
534.1600,750000,1.000e+17,0.00434,-0.00638
534.1600,1000000,1.000e+17,0.00567,-0.00731
534.1600,2000000,1.000e+17,0.00964,-0.01
534.1600,4000000,1.000e+17,0.0133,-0.012
534.1600,6000000,1.000e+17,0.0157,-0.0133
303.4700,500000,1.000e+17,0.000529,-0.00108
303.4700,750000,1.000e+17,0.000891,-0.00144
303.4700,1000000,1.000e+17,0.00127,-0.00172
303.4700,2000000,1.000e+17,0.00218,-0.00237
303.4700,4000000,1.000e+17,0.00319,-0.0029
303.4700,6000000,1.000e+17,0.00376,-0.00322
24.3000,500000,1.000e+17,0.000376,0.000404
24.3000,750000,1.000e+17,0.000442,0.000446
24.3000,1000000,1.000e+17,0.000491,0.000481
24.3000,2000000,1.000e+17,0.00064,0.000564
24.3000,4000000,1.000e+17,0.000776,0.000639
24.3000,6000000,1.000e+17,0.000886,0.000704
15.6200,500000,1.000e+17,0.000305,0.000313
15.6200,750000,1.000e+17,0.000354,0.000348
15.6200,1000000,1.000e+17,0.000386,0.000373
15.6200,2000000,1.000e+17,0.000488,0.000421
15.6200,4000000,1.000e+17,0.000573,0.000477
15.6200,6000000,1.000e+17,0.000631,0.000527
12.8600,500000,1.000e+17,0.000413,0.000415
12.8600,750000,1.000e+17,0.000484,0.000454
12.8600,1000000,1.000e+17,0.000525,0.000477
12.8600,2000000,1.000e+17,0.000646,0.000559
12.8600,4000000,1.000e+17,0.000699,0.000619
12.8600,6000000,1.000e+17,0.000865,0.0007
11.5300,500000,1.000e+17,0.000645,0.000619
11.5300,750000,1.000e+17,0.000738,0.000674
11.5300,1000000,1.000e+17,0.000772,0.000704
11.5300,2000000,1.000e+17,0.000931,0.000827
11.5300,4000000,1.000e+17,0.00103,0.000962
11.5300,6000000,1.000e+17,0.00122,0.00101
1293.4900,500000,1.000e+17,0.508,0.547
1293.4900,750000,1.000e+17,0.641,0.609
1293.4900,1000000,1.000e+17,0.742,0.654
1293.4900,2000000,1.000e+17,1.02,0.779
1293.4900,4000000,1.000e+17,1.38,0.896
1293.4900,6000000,1.000e+17,1.64,0.962
24.1200,500000,1.000e+17,0.000163,0.000193
24.1200,750000,1.000e+17,0.0002,0.000215
24.1200,1000000,1.000e+17,0.000224,0.000231
24.1200,2000000,1.000e+17,0.000284,0.000276
24.1200,4000000,1.000e+17,0.000357,0.000317
24.1200,6000000,1.000e+17,0.000396,0.000338
15.4800,500000,1.000e+17,0.000199,0.000211
15.4800,750000,1.000e+17,0.000232,0.000235
15.4800,1000000,1.000e+17,0.000254,0.000253
15.4800,2000000,1.000e+17,0.000323,0.000292
15.4800,4000000,1.000e+17,0.000377,0.000332
15.4800,6000000,1.000e+17,0.000416,0.000359
12.7400,500000,1.000e+17,0.000313,0.000314
12.7400,750000,1.000e+17,0.00036,0.000346
12.7400,1000000,1.000e+17,0.000388,0.00037
12.7400,2000000,1.000e+17,0.000467,0.000424
12.7400,4000000,1.000e+17,0.000568,0.000482
12.7400,6000000,1.000e+17,0.000605,0.000501
11.4300,500000,1.000e+17,0.000497,0.000492
11.4300,750000,1.000e+17,0.000577,0.000534
11.4300,1000000,1.000e+17,0.000614,0.000568
11.4300,2000000,1.000e+17,0.000759,0.000633
11.4300,4000000,1.000e+17,0.000868,0.000705
11.4300,6000000,1.000e+17,0.000936,0.000787
980.0100,500000,1.000e+17,0.393,-0.431
980.0100,750000,1.000e+17,0.47,-0.485
980.0100,1000000,1.000e+17,0.533,-0.52
980.0100,2000000,1.000e+17,0.697,-0.612
980.0100,4000000,1.000e+17,0.893,-0.718
980.0100,6000000,1.000e+17,0.983,-0.756
734.2700,500000,1.000e+17,0.0223,-0.0267
734.2700,750000,1.000e+17,0.0297,-0.0323
734.2700,1000000,1.000e+17,0.037,-0.0371
734.2700,2000000,1.000e+17,0.0527,-0.0457
734.2700,4000000,1.000e+17,0.0685,-0.0542
734.2700,6000000,1.000e+17,0.0809,-0.0596
