transition,T_e,n_e,gamma_W,gamma_d
767.5200,50000,1.000e+17,1.27,-0.903
1124.4400,5000,1.000e+17,1.01,0.563
1124.4400,10000,1.000e+17,1.13,0.769
1124.4400,20000,1.000e+17,1.25,0.96
1124.4400,30000,1.000e+17,1.33,1.07
1124.4400,50000,1.000e+17,1.44,1.21
2816.0100,2500,1.000e+17,1.62,-0.313
2816.0100,5000,1.000e+17,1.68,-0.376
2816.0100,10000,1.000e+17,1.71,-0.44
2816.0100,20000,1.000e+17,1.72,-0.506
2816.0100,30000,1.000e+17,1.73,-0.546
2816.0100,50000,1.000e+17,1.75,-0.601
491.9500,20000,1.000e+17,0.351,-0.149
491.9500,30000,1.000e+17,0.358,-0.165
491.9500,50000,1.000e+17,0.368,-0.185
460.8600,2500,1.000e+17,0.0714,-0.00807
460.8600,5000,1.000e+17,0.0756,-0.00969
460.8600,10000,1.000e+17,0.0771,-0.0113
460.8600,20000,1.000e+17,0.0778,-0.013
460.8600,30000,1.000e+17,0.078,-0.0141
460.8600,50000,1.000e+17,0.0782,-0.0154
