transition,T_e,n_e,gamma_W,gamma_d
286.8200,5000,1.000e+17,0.154,
286.8200,10000,1.000e+17,0.107,
286.8200,50000,1.000e+17,0.0472,
286.8200,100000,1.000e+17,0.0373,
286.8200,250000,1.000e+17,0.0348,
286.8200,500000,1.000e+17,0.0344,
303.9200,5000,1.000e+17,0.154,
303.9200,10000,1.000e+17,0.108,
303.9200,50000,1.000e+17,0.0473,
303.9200,100000,1.000e+17,0.0374,
303.9200,250000,1.000e+17,0.0349,
303.9200,500000,1.000e+17,0.0344,
321.6300,5000,1.000e+17,0.183,
321.6300,10000,1.000e+17,0.128,
321.6300,50000,1.000e+17,0.0563,
321.6300,100000,1.000e+17,0.0446,
321.6300,250000,1.000e+17,0.0418,
321.6300,500000,1.000e+17,0.0412,
287.0800,5000,1.000e+17,0.153,
287.0800,10000,1.000e+17,0.107,
287.0800,50000,1.000e+17,0.0471,
287.0800,100000,1.000e+17,0.0373,
287.0800,250000,1.000e+17,0.0349,
287.0800,500000,1.000e+17,0.0344,
309.6200,5000,1.000e+17,0.172,
309.6200,10000,1.000e+17,0.12,
309.6200,50000,1.000e+17,0.053,
309.6200,100000,1.000e+17,0.042,
309.6200,250000,1.000e+17,0.0393,
309.6200,500000,1.000e+17,0.0387,
