transition,T_e,n_e,gamma_W,gamma_d
272.2900,5000,1.000e+17,0.232,0.133
272.2900,10000,1.000e+17,0.16,0.1
272.2900,20000,1.000e+17,0.115,0.0807
272.2900,30000,1.000e+17,0.102,0.0774
272.2900,40000,1.000e+17,0.0972,0.081
272.2900,50000,1.000e+17,0.0957,0.0821
297.9900,5000,1.000e+17,0.249,0.129
297.9900,10000,1.000e+17,0.172,0.0966
297.9900,20000,1.000e+17,0.122,0.0767
297.9900,30000,1.000e+17,0.105,0.0715
297.9900,40000,1.000e+17,0.0991,0.073
297.9900,50000,1.000e+17,0.0967,0.0767
318.3400,5000,1.000e+17,0.567,0.166
318.3400,10000,1.000e+17,0.398,0.127
318.3400,20000,1.000e+17,0.292,0.11
318.3400,30000,1.000e+17,0.254,0.109
318.3400,40000,1.000e+17,0.235,0.106
318.3400,50000,1.000e+17,0.226,0.102
274.3000,5000,1.000e+17,0.231,0.137
274.3000,10000,1.000e+17,0.16,0.103
274.3000,20000,1.000e+17,0.115,0.0831
274.3000,30000,1.000e+17,0.102,0.0795
274.3000,40000,1.000e+17,0.0971,0.0831
274.3000,50000,1.000e+17,0.0957,0.0842
300.4000,5000,1.000e+17,0.248,0.134
300.4000,10000,1.000e+17,0.171,0.1
300.4000,20000,1.000e+17,0.121,0.0793
300.4000,30000,1.000e+17,0.105,0.0739
300.4000,40000,1.000e+17,0.0989,0.0752
300.4000,50000,1.000e+17,0.0966,0.079
299.0900,5000,1.000e+17,0.247,0.132
299.0900,10000,1.000e+17,0.17,0.0985
299.0900,20000,1.000e+17,0.121,0.0781
299.0900,30000,1.000e+17,0.105,0.0728
299.0900,40000,1.000e+17,0.0986,0.0742
299.0900,50000,1.000e+17,0.0964,0.078
321.0900,5000,1.000e+17,0.571,0.172
321.0900,10000,1.000e+17,0.401,0.131
321.0900,20000,1.000e+17,0.294,0.113
321.0900,30000,1.000e+17,0.256,0.112
321.0900,40000,1.000e+17,0.237,0.109
321.0900,50000,1.000e+17,0.228,0.105
318.2600,5000,1.000e+17,0.554,0.183
318.2600,10000,1.000e+17,0.389,0.139
318.2600,20000,1.000e+17,0.286,0.12
318.2600,30000,1.000e+17,0.25,0.118
318.2600,40000,1.000e+17,0.233,0.115
318.2600,50000,1.000e+17,0.225,0.111
268.2800,5000,1.000e+17,0.22,0.129
268.2800,10000,1.000e+17,0.152,0.0974
268.2800,20000,1.000e+17,0.109,0.0787
268.2800,30000,1.000e+17,0.0969,0.0754
268.2800,40000,1.000e+17,0.0925,0.0789
268.2800,50000,1.000e+17,0.0912,0.08
274.7400,5000,1.000e+17,0.218,0.13
274.7400,10000,1.000e+17,0.15,0.0957
274.7400,20000,1.000e+17,0.108,0.0783
274.7400,30000,1.000e+17,0.095,0.0744
274.7400,40000,1.000e+17,0.0905,0.0774
274.7400,50000,1.000e+17,0.0892,0.0794
293.2000,5000,1.000e+17,0.235,0.126
293.2000,10000,1.000e+17,0.162,0.094
293.2000,20000,1.000e+17,0.115,0.0746
293.2000,30000,1.000e+17,0.0995,0.0696
293.2000,40000,1.000e+17,0.0937,0.071
293.2000,50000,1.000e+17,0.0916,0.0746
291.9500,5000,1.000e+17,0.234,0.124
291.9500,10000,1.000e+17,0.161,0.0925
291.9500,20000,1.000e+17,0.115,0.0735
291.9500,30000,1.000e+17,0.0992,0.0686
291.9500,40000,1.000e+17,0.0935,0.07
291.9500,50000,1.000e+17,0.0914,0.0737
312.8800,5000,1.000e+17,0.542,0.159
