transition,T_e,n_e,gamma_W,gamma_d
846.9200,10000,1.000e+17,3.67,
846.9200,20000,1.000e+17,2.6,
846.9200,50000,1.000e+17,1.85,
846.9200,100000,1.000e+17,1.66,
846.9200,150000,1.000e+17,1.61,
846.9200,200000,1.000e+17,1.58,
701.7300,10000,1.000e+17,2.48,
701.7300,20000,1.000e+17,1.75,
701.7300,50000,1.000e+17,1.21,
701.7300,100000,1.000e+17,1.06,
701.7300,150000,1.000e+17,1.03,
701.7300,200000,1.000e+17,1.01,
714.3800,10000,1.000e+17,2.67,
714.3800,20000,1.000e+17,1.88,
714.3800,50000,1.000e+17,1.3,
714.3800,100000,1.000e+17,1.14,
714.3800,150000,1.000e+17,1.11,
714.3800,200000,1.000e+17,1.08,
514.8700,10000,1.000e+17,1.31,
514.8700,20000,1.000e+17,0.925,
514.8700,50000,1.000e+17,0.656,
514.8700,100000,1.000e+17,0.587,
514.8700,150000,1.000e+17,0.564,
514.8700,200000,1.000e+17,0.552,
457.3500,10000,1.000e+17,1.02,
457.3500,20000,1.000e+17,0.715,
457.3500,50000,1.000e+17,0.494,
457.3500,100000,1.000e+17,0.429,
457.3500,150000,1.000e+17,0.415,
457.3500,200000,1.000e+17,0.404,
750.9700,10000,1.000e+17,2.85,
750.9700,20000,1.000e+17,2.01,
750.9700,50000,1.000e+17,1.39,
750.9700,100000,1.000e+17,1.22,
750.9700,150000,1.000e+17,1.19,
750.9700,200000,1.000e+17,1.16,
522.7700,10000,1.000e+17,0.907,
522.7700,20000,1.000e+17,0.638,
522.7700,50000,1.000e+17,0.446,
522.7700,100000,1.000e+17,0.4,
522.7700,150000,1.000e+17,0.394,
522.7700,200000,1.000e+17,0.391,
517.6900,10000,1.000e+17,0.942,
517.6900,20000,1.000e+17,0.662,
517.6900,50000,1.000e+17,0.46,
517.6900,100000,1.000e+17,0.409,
517.6900,150000,1.000e+17,0.401,
517.6900,200000,1.000e+17,0.397,
512.8700,10000,1.000e+17,0.937,
512.8700,20000,1.000e+17,0.658,
512.8700,50000,1.000e+17,0.455,
512.8700,100000,1.000e+17,0.405,
512.8700,150000,1.000e+17,0.4,
512.8700,200000,1.000e+17,0.398,
479.9700,10000,1.000e+17,0.882,
479.9700,20000,1.000e+17,0.0619,
479.9700,50000,1.000e+17,0.426,
479.9700,100000,1.000e+17,0.373,
479.9700,150000,1.000e+17,0.367,
479.9700,200000,1.000e+17,0.362,
525.8800,10000,1.000e+17,0.949,
525.8800,20000,1.000e+17,0.667,
525.8800,50000,1.000e+17,0.465,
525.8800,100000,1.000e+17,0.416,
525.8800,150000,1.000e+17,0.409,
525.8800,200000,1.000e+17,0.406,
520.7500,10000,1.000e+17,0.983,
520.7500,20000,1.000e+17,0.691,
520.7500,50000,1.000e+17,0.479,
520.7500,100000,1.000e+17,0.425,
520.7500,150000,1.000e+17,0.416,
520.7500,200000,1.000e+17,0.411,
515.6500,10000,1.000e+17,1.01,
515.6500,20000,1.000e+17,0.709,
515.6500,50000,1.000e+17,0.493,
515.6500,100000,1.000e+17,0.44,
515.6500,150000,1.000e+17,0.432,
515.6500,200000,1.000e+17,0.428,
515.8600,10000,1.000e+17,0.978,
515.8600,20000,1.000e+17,0.686,
515.8600,50000,1.000e+17,0.474,
515.8600,100000,1.000e+17,0.42,
