transition,T_e,n_e,gamma_W,gamma_d
42.3900,20000,1.000e+17,0.000115,2.07e-05
42.3900,50000,1.000e+17,0.000193,4.27e-05
42.3900,100000,1.000e+17,0.00023,5.99e-05
42.3900,200000,1.000e+17,0.000261,7.42e-05
77.7800,20000,1.000e+17,0.00013,1.28e-05
77.7800,50000,1.000e+17,0.000259,3.14e-05
77.7800,100000,1.000e+17,0.000353,5.11e-05
77.7800,200000,1.000e+17,0.000403,7.11e-05
43.3700,20000,1.000e+17,0.00031,1.25e-05
43.3700,50000,1.000e+17,0.000446,2.75e-05
43.3700,100000,1.000e+17,0.000504,4e-05
43.3700,200000,1.000e+17,0.000558,5.14e-05
254.5600,20000,1.000e+17,0.00186,-0.000151
254.5600,50000,1.000e+17,0.0035,-0.000369
254.5600,100000,1.000e+17,0.00464,-0.000595
254.5600,200000,1.000e+17,0.00525,-0.000824
294.4300,20000,1.000e+17,0.0115,-0.000643
294.4300,50000,1.000e+17,0.0171,-0.0014
294.4300,100000,1.000e+17,0.0194,-0.00202
294.4300,200000,1.000e+17,0.0216,-0.00256
146.9400,20000,1.000e+17,0.000679,0.000253
146.9400,50000,1.000e+17,0.00128,0.000521
146.9400,100000,1.000e+17,0.0017,0.000731
146.9400,200000,1.000e+17,0.00196,0.000905
119.6100,20000,1.000e+17,0.000595,0.00083
119.6100,50000,1.000e+17,0.00131,0.0014
119.6100,100000,1.000e+17,0.00186,0.00174
119.6100,200000,1.000e+17,0.00232,0.00209
206.5600,20000,1.000e+17,0.00104,-0.00023
206.5600,50000,1.000e+17,0.00202,-0.000516
206.5600,100000,1.000e+17,0.00274,-0.000759
206.5600,200000,1.000e+17,0.00313,-0.00101
66.4800,20000,1.000e+17,0.000747,-3.56e-06
66.4800,50000,1.000e+17,0.00107,-9.19e-06
66.4800,100000,1.000e+17,0.00121,-1.62e-05
66.4800,200000,1.000e+17,0.00134,-2.4e-05
543.1300,20000,1.000e+17,0.0509,-0.0161
543.1300,50000,1.000e+17,0.0738,-0.0274
543.1300,100000,1.000e+17,0.0847,-0.0343
543.1300,200000,1.000e+17,0.0957,-0.0408
