transition,T_e,n_e,gamma_W,gamma_d
135.0700,20000,1.000e+17,0.000637,-1.06e-05
135.0700,50000,1.000e+17,0.00102,-2.63e-05
135.0700,100000,1.000e+17,0.00119,-4.46e-05
135.0700,200000,1.000e+17,0.00133,-6.38e-05
135.0700,300000,1.000e+17,0.0014,-7.55e-05
135.0700,500000,1.000e+17,0.00145,-8.67e-05
61.8600,20000,1.000e+17,0.0011,-8.33e-06
61.8600,50000,1.000e+17,0.00131,-1.85e-05
61.8600,100000,1.000e+17,0.00144,-2.72e-05
61.8600,200000,1.000e+17,0.00151,-3.65e-05
61.8600,300000,1.000e+17,0.00154,-4.06e-05
61.8600,500000,1.000e+17,0.00156,-4.6e-05
