transition,T_e,n_e,gamma_W,gamma_d
262.4200,5000,1.000e+17,0.183,0.115
262.4200,10000,1.000e+17,0.126,0.0862
262.4200,30000,1.000e+17,0.0789,0.0641
262.4200,50000,1.000e+17,0.0737,0.0681
262.4200,100000,1.000e+17,0.0721,0.0659
262.4200,150000,1.000e+17,0.0701,0.0621
278.2300,5000,1.000e+17,0.213,0.132
278.2300,10000,1.000e+17,0.147,0.0987
278.2300,30000,1.000e+17,0.0918,0.0735
278.2300,50000,1.000e+17,0.0857,0.078
278.2300,100000,1.000e+17,0.0918,0.075
278.2300,150000,1.000e+17,0.0901,0.0746
276.6400,5000,1.000e+17,0.198,0.106
276.6400,10000,1.000e+17,0.136,0.0789
276.6400,30000,1.000e+17,0.0831,0.0579
276.6400,50000,1.000e+17,0.076,0.0619
276.6400,100000,1.000e+17,0.0798,0.0608
276.6400,150000,1.000e+17,0.0842,0.0561
262.4700,5000,1.000e+17,0.171,0.104
262.4700,10000,1.000e+17,0.118,0.0774
262.4700,30000,1.000e+17,0.0719,0.0561
262.4700,50000,1.000e+17,0.0661,0.0591
262.4700,100000,1.000e+17,0.0699,0.058
262.4700,150000,1.000e+17,0.0739,0.0535
265.4700,5000,1.000e+17,0.164,0.109
265.4700,10000,1.000e+17,0.113,0.0811
265.4700,30000,1.000e+17,0.0689,0.0583
265.4700,50000,1.000e+17,0.0636,0.0608
265.4700,100000,1.000e+17,0.0677,0.0595
265.4700,150000,1.000e+17,0.0721,0.0552
354.6500,5000,1.000e+17,0.181,-0.0397
354.6500,10000,1.000e+17,0.126,-0.0284
354.6500,30000,1.000e+17,0.0704,-0.0173
354.6500,50000,1.000e+17,0.0557,-0.0144
354.6500,100000,1.000e+17,0.0472,-0.0121
354.6500,150000,1.000e+17,0.0468,-0.0105
319.0200,5000,1.000e+17,0.16,-0.0324
319.0200,10000,1.000e+17,0.111,-0.0232
319.0200,30000,1.000e+17,0.0625,-0.0139
319.0200,50000,1.000e+17,0.0496,-0.0113
319.0200,100000,1.000e+17,0.042,-0.00871
319.0200,150000,1.000e+17,0.0415,-0.0078
327.4200,5000,1.000e+17,0.166,-0.0351
327.4200,10000,1.000e+17,0.116,-0.0251
327.4200,30000,1.000e+17,0.0648,-0.0152
327.4200,50000,1.000e+17,0.0514,-0.0124
327.4200,100000,1.000e+17,0.0435,-0.0098
327.4200,150000,1.000e+17,0.0429,-0.00876
289.6600,5000,1.000e+17,0.124,-0.0241
289.6600,10000,1.000e+17,0.0863,-0.0172
289.6600,30000,1.000e+17,0.0483,-0.0102
289.6600,50000,1.000e+17,0.038,-0.00811
289.6600,100000,1.000e+17,0.0316,-0.00618
289.6600,150000,1.000e+17,0.0309,-0.00534
293.1100,5000,1.000e+17,0.128,-0.0192
293.1100,10000,1.000e+17,0.0889,-0.0136
293.1100,30000,1.000e+17,0.0498,-0.00806
293.1100,50000,1.000e+17,0.0392,-0.00634
293.1100,100000,1.000e+17,0.0325,-0.00466
293.1100,150000,1.000e+17,0.0318,-0.00383
310.8900,5000,1.000e+17,0.131,-0.03
310.8900,10000,1.000e+17,0.0914,-0.0214
310.8900,30000,1.000e+17,0.0511,-0.0129
310.8900,50000,1.000e+17,0.0402,-0.0104
310.8900,100000,1.000e+17,0.0334,-0.00859
310.8900,150000,1.000e+17,0.0328,-0.00736
271.0500,5000,1.000e+17,0.0928,-0.00132
271.0500,10000,1.000e+17,0.0645,-0.000839
271.0500,30000,1.000e+17,0.0359,-0.00023
271.0500,50000,1.000e+17,0.0282,3.38e-05
271.0500,100000,1.000e+17,0.0232,0.000882
271.0500,150000,1.000e+17,0.0229,0.00155
268.5000,5000,1.000e+17,0.0979,-0.0013
268.5000,10000,1.000e+17,0.0681,-0.000792
268.5000,30000,1.000e+17,0.038,-0.000113
268.5000,50000,1.000e+17,0.0297,0.000263
268.5000,100000,1.000e+17,0.0242,0.00138
268.5000,150000,1.000e+17,0.0236,0.00188
271.4700,5000,1.000e+17,0.101,0.00339
271.4700,10000,1.000e+17,0.07,0.00257
271.4700,30000,1.000e+17,0.039,0.00195
271.4700,50000,1.000e+17,0.0305,0.00195
271.4700,100000,1.000e+17,0.0247,0.00305
271.4700,150000,1.000e+17,0.0242,0.00333
