transition,T_e,n_e,gamma_W,gamma_d
184.3500,10000,1.000e+17,0.0552,
184.3500,20000,1.000e+17,0.0383,
184.3500,50000,1.000e+17,0.0248,
184.3500,100000,1.000e+17,0.0207,
184.3500,200000,1.000e+17,0.0207,
184.3500,300000,1.000e+17,0.0206,
180.4100,10000,1.000e+17,0.0465,
180.4100,20000,1.000e+17,0.0323,
180.4100,50000,1.000e+17,0.0207,
180.4100,100000,1.000e+17,0.017,
180.4100,200000,1.000e+17,0.017,
180.4100,300000,1.000e+17,0.017,
259.5000,10000,1.000e+17,0.069,
259.5000,20000,1.000e+17,0.0481,
259.5000,50000,1.000e+17,0.0301,
259.5000,100000,1.000e+17,0.0226,
259.5000,200000,1.000e+17,0.0199,
259.5000,300000,1.000e+17,0.0196,
236.4100,10000,1.000e+17,0.0569,
236.4100,20000,1.000e+17,0.0396,
236.4100,50000,1.000e+17,0.0247,
236.4100,100000,1.000e+17,0.0186,
236.4100,200000,1.000e+17,0.0165,
236.4100,300000,1.000e+17,0.0162,
222.2100,10000,1.000e+17,0.048,
222.2100,20000,1.000e+17,0.0335,
222.2100,50000,1.000e+17,0.0209,
222.2100,100000,1.000e+17,0.0155,
222.2100,200000,1.000e+17,0.0136,
222.2100,300000,1.000e+17,0.0131,
233.3300,10000,1.000e+17,0.0536,
233.3300,20000,1.000e+17,0.0374,
233.3300,50000,1.000e+17,0.0233,
233.3300,100000,1.000e+17,0.0173,
233.3300,200000,1.000e+17,0.0149,
233.3300,300000,1.000e+17,0.0144,
238.6500,10000,1.000e+17,0.0613,
238.6500,20000,1.000e+17,0.0428,
238.6500,50000,1.000e+17,0.0267,
238.6500,100000,1.000e+17,0.0198,
238.6500,200000,1.000e+17,0.0169,
238.6500,300000,1.000e+17,0.0164,
255.1700,10000,1.000e+17,0.0681,
255.1700,20000,1.000e+17,0.0474,
255.1700,50000,1.000e+17,0.0296,
255.1700,100000,1.000e+17,0.0223,
255.1700,200000,1.000e+17,0.0195,
255.1700,300000,1.000e+17,0.0193,
