transition,T_e,n_e,gamma_W,gamma_d
139.5000,30000,1.000e+17,0.0135,
139.5000,50000,1.000e+17,0.0104,
139.5000,100000,1.000e+17,0.0077,
139.5000,250000,1.000e+17,0.00646,
139.5000,500000,1.000e+17,0.00649,
135.6500,30000,1.000e+17,0.0124,
135.6500,50000,1.000e+17,0.00953,
135.6500,100000,1.000e+17,0.00708,
135.6500,250000,1.000e+17,0.006,
135.6500,500000,1.000e+17,0.00605,
107.1100,30000,1.000e+17,0.0183,
107.1100,50000,1.000e+17,0.0146,
107.1100,100000,1.000e+17,0.0121,
107.1100,250000,1.000e+17,0.0106,
107.1100,500000,1.000e+17,0.00979,
139.1100,30000,1.000e+17,0.015,
139.1100,50000,1.000e+17,0.0116,
139.1100,100000,1.000e+17,0.0087,
139.1100,250000,1.000e+17,0.00744,
139.1100,500000,1.000e+17,0.0074,
161.1900,30000,1.000e+17,0.0188,
161.1900,50000,1.000e+17,0.0144,
161.1900,100000,1.000e+17,0.0106,
161.1900,250000,1.000e+17,0.00888,
161.1900,500000,1.000e+17,0.00895,
135.5100,30000,1.000e+17,0.0139,
135.5100,50000,1.000e+17,0.0108,
135.5100,100000,1.000e+17,0.00811,
135.5100,250000,1.000e+17,0.00701,
135.5100,500000,1.000e+17,0.00698,
119.4400,30000,1.000e+17,0.0232,
119.4400,50000,1.000e+17,0.0185,
119.4400,100000,1.000e+17,0.0152,
119.4400,250000,1.000e+17,0.0133,
119.4400,500000,1.000e+17,0.0123,
142.3700,30000,1.000e+17,0.0161,
142.3700,50000,1.000e+17,0.0125,
142.3700,100000,1.000e+17,0.0933,
142.3700,250000,1.000e+17,0.0795,
142.3700,500000,1.000e+17,0.0789,
121.8400,30000,1.000e+17,0.0243,
121.8400,50000,1.000e+17,0.0195,
121.8400,100000,1.000e+17,0.016,
121.8400,250000,1.000e+17,0.014,
121.8400,500000,1.000e+17,0.0129,
141.6100,30000,1.000e+17,0.0136,
141.6100,50000,1.000e+17,0.0104,
141.6100,100000,1.000e+17,0.00773,
141.6100,250000,1.000e+17,0.00651,
141.6100,500000,1.000e+17,0.00658,
130.6700,30000,1.000e+17,0.0117,
130.6700,50000,1.000e+17,0.00903,
130.6700,100000,1.000e+17,0.00677,
130.6700,250000,1.000e+17,0.00583,
130.6700,500000,1.000e+17,0.00585,
111.2000,30000,1.000e+17,0.0191,
111.2000,50000,1.000e+17,0.0155,
111.2000,100000,1.000e+17,0.0127,
111.2000,250000,1.000e+17,0.0112,
111.2000,500000,1.000e+17,0.0103,
144.2100,30000,1.000e+17,0.0145,
144.2100,50000,1.000e+17,0.0111,
144.2100,100000,1.000e+17,0.00823,
144.2100,250000,1.000e+17,0.0069,
144.2100,500000,1.000e+17,0.00697,
132.8800,30000,1.000e+17,0.0124,
132.8800,50000,1.000e+17,0.00959,
132.8800,100000,1.000e+17,0.00718,
132.8800,250000,1.000e+17,0.00615,
132.8800,500000,1.000e+17,0.00617,
142.1600,30000,1.000e+17,0.0144,
142.1600,50000,1.000e+17,0.0111,
142.1600,100000,1.000e+17,0.00818,
142.1600,250000,1.000e+17,0.00686,
142.1600,500000,1.000e+17,0.00691,
112.7900,30000,1.000e+17,0.0199,
112.7900,50000,1.000e+17,0.0161,
112.7900,100000,1.000e+17,0.0132,
112.7900,250000,1.000e+17,0.0116,
112.7900,500000,1.000e+17,0.0107,
152.2700,30000,1.000e+17,0.0162,
152.2700,50000,1.000e+17,0.0125,
152.2700,100000,1.000e+17,0.00922,
152.2700,250000,1.000e+17,0.00773,
152.2700,500000,1.000e+17,0.00781,
