transition,T_e,n_e,gamma_W,gamma_d
28.6500,50000,1.000e+17,6.1e-05,1.1e-05
28.6500,100000,1.000e+17,9.69e-05,2e-05
28.6500,150000,1.000e+17,0.000119,2.63e-05
28.6500,200000,1.000e+17,0.000131,3e-05
28.6500,300000,1.000e+17,0.000142,3.66e-05
28.6500,500000,1.000e+17,0.000156,4.29e-05
48.3400,50000,1.000e+17,7.86e-05,1.03e-05
48.3400,100000,1.000e+17,0.000142,2.03e-05
48.3400,150000,1.000e+17,0.000176,2.82e-05
48.3400,200000,1.000e+17,0.000204,3.46e-05
48.3400,300000,1.000e+17,0.000233,4.25e-05
48.3400,500000,1.000e+17,0.000256,5.45e-05
23.9500,50000,1.000e+17,0.000422,-0.000392
23.9500,100000,1.000e+17,0.000577,-0.000503
23.9500,150000,1.000e+17,0.000651,-0.000569
23.9500,200000,1.000e+17,0.000717,-0.000614
23.9500,300000,1.000e+17,0.000801,-0.000676
23.9500,500000,1.000e+17,0.000924,-0.000753
28.4500,50000,1.000e+17,0.000185,1.68e-05
28.4500,100000,1.000e+17,0.000258,2.94e-05
28.4500,150000,1.000e+17,0.000285,3.71e-05
28.4500,200000,1.000e+17,0.000302,4.28e-05
28.4500,300000,1.000e+17,0.000323,5.11e-05
28.4500,500000,1.000e+17,0.000349,5.88e-05
180.3600,50000,1.000e+17,0.00376,-0.000269
180.3600,100000,1.000e+17,0.00562,-0.000511
180.3600,150000,1.000e+17,0.0067,-0.000688
180.3600,200000,1.000e+17,0.00713,-0.000815
180.3600,300000,1.000e+17,0.0077,-0.000987
180.3600,500000,1.000e+17,0.00836,-0.00121
80.6500,50000,1.000e+17,0.00495,-0.0045
80.6500,100000,1.000e+17,0.00672,-0.00578
80.6500,150000,1.000e+17,0.00762,-0.00655
80.6500,200000,1.000e+17,0.00828,-0.00702
80.6500,300000,1.000e+17,0.00925,-0.00775
80.6500,500000,1.000e+17,0.0105,-0.00852
172.8400,50000,1.000e+17,0.00781,-1.43e-05
172.8400,100000,1.000e+17,0.0108,-2.94e-05
172.8400,150000,1.000e+17,0.0118,-4.41e-05
172.8400,200000,1.000e+17,0.0125,-5.78e-05
172.8400,300000,1.000e+17,0.0133,-8.22e-05
172.8400,500000,1.000e+17,0.0143,-0.000119
259.1800,50000,1.000e+17,0.0225,0.00521
259.1800,100000,1.000e+17,0.0306,0.00789
259.1800,150000,1.000e+17,0.0331,0.00972
259.1800,200000,1.000e+17,0.0349,0.0107
259.1800,300000,1.000e+17,0.0375,0.0119
259.1800,500000,1.000e+17,0.0404,0.0135
149.4200,50000,1.000e+17,0.0139,0.0141
149.4200,100000,1.000e+17,0.0199,0.0182
149.4200,150000,1.000e+17,0.0229,0.0206
149.4200,200000,1.000e+17,0.0251,0.0223
149.4200,300000,1.000e+17,0.0284,0.0246
149.4200,500000,1.000e+17,0.0318,0.0272
99.4100,150000,1.000e+17,0.0435,0.0385
99.4100,200000,1.000e+17,0.0476,0.0409
99.4100,300000,1.000e+17,0.0538,0.0431
99.4100,500000,1.000e+17,0.0603,0.0478
115.2700,50000,1.000e+17,0.00106,0.000227
115.2700,100000,1.000e+17,0.00167,0.000403
115.2700,150000,1.000e+17,0.00204,0.000523
115.2700,200000,1.000e+17,0.00224,0.000594
115.2700,300000,1.000e+17,0.00243,0.00072
115.2700,500000,1.000e+17,0.00266,0.000832
55.3200,50000,1.000e+17,0.000957,0.000258
55.3200,100000,1.000e+17,0.00131,0.000388
55.3200,150000,1.000e+17,0.00142,0.000475
55.3200,200000,1.000e+17,0.00151,0.000519
55.3200,300000,1.000e+17,0.00162,0.000578
55.3200,500000,1.000e+17,0.00176,0.000663
82.6600,50000,1.000e+17,0.000537,0.000872
82.6600,100000,1.000e+17,0.00101,0.00126
82.6600,150000,1.000e+17,0.00139,0.0015
82.6600,200000,1.000e+17,0.00157,0.00161
82.6600,300000,1.000e+17,0.00185,0.0018
82.6600,500000,1.000e+17,0.0022,0.00206
169.2200,50000,1.000e+17,0.000941,-0.000405
169.2200,100000,1.000e+17,0.00174,-0.000731
169.2200,150000,1.000e+17,0.00216,-0.000961
169.2200,200000,1.000e+17,0.00253,-0.00109
169.2200,300000,1.000e+17,0.00292,-0.00134
169.2200,500000,1.000e+17,0.00327,-0.00156
49.0900,50000,1.000e+17,0.000545,6.43e-06
49.0900,100000,1.000e+17,0.000762,1.29e-05
49.0900,150000,1.000e+17,0.000842,1.85e-05
49.0900,200000,1.000e+17,0.00089,2.28e-05
49.0900,300000,1.000e+17,0.000953,2.97e-05
49.0900,500000,1.000e+17,0.00103,3.79e-05
333.7700,50000,1.000e+17,0.0994,-0.0802
333.7700,100000,1.000e+17,0.129,-0.103
333.7700,150000,1.000e+17,0.145,-0.117
333.7700,200000,1.000e+17,0.156,-0.125
333.7700,300000,1.000e+17,0.176,-0.138
333.7700,500000,1.000e+17,0.193,-0.153
312.0400,300000,1.000e+17,0.557,0.468
312.0400,500000,1.000e+17,0.628,0.521
423.2200,50000,1.000e+17,0.0426,-0.0208
423.2200,100000,1.000e+17,0.0613,-0.0305
423.2200,150000,1.000e+17,0.0683,-0.0363
423.2200,200000,1.000e+17,0.0735,-0.0389
423.2200,300000,1.000e+17,0.08,-0.0436
423.2200,500000,1.000e+17,0.0884,-0.0496
