transition,T_e,n_e,gamma_W,gamma_d
505.4000,5000,1.000e+17,0.806,-0.186
505.4000,10000,1.000e+17,0.563,-0.133
505.4000,20000,1.000e+17,0.402,-0.093
505.4000,30000,1.000e+17,0.341,-0.0761
505.4000,40000,1.000e+17,0.313,-0.0695
505.4000,50000,1.000e+17,0.298,-0.0662
472.0000,5000,1.000e+17,0.633,-0.154
472.0000,10000,1.000e+17,0.439,-0.111
472.0000,20000,1.000e+17,0.307,-0.081
472.0000,30000,1.000e+17,0.256,-0.0683
472.0000,40000,1.000e+17,0.232,-0.0628
472.0000,50000,1.000e+17,0.221,-0.0588
536.4000,5000,1.000e+17,0.855,-0.225
536.4000,10000,1.000e+17,0.593,-0.163
536.4000,20000,1.000e+17,0.414,-0.12
536.4000,30000,1.000e+17,0.344,-0.103
536.4000,40000,1.000e+17,0.312,-0.0967
536.4000,50000,1.000e+17,0.296,-0.0933
498.3000,5000,1.000e+17,0.781,-0.288
498.3000,10000,1.000e+17,0.54,-0.207
498.3000,20000,1.000e+17,0.379,-0.152
498.3000,30000,1.000e+17,0.319,-0.128
498.3000,40000,1.000e+17,0.294,-0.117
498.3000,50000,1.000e+17,0.282,-0.108
587.8000,5000,1.000e+17,1.03,-0.363
587.8000,10000,1.000e+17,0.713,-0.262
587.8000,20000,1.000e+17,0.501,-0.192
587.8000,30000,1.000e+17,0.425,-0.164
587.8000,40000,1.000e+17,0.395,-0.147
587.8000,50000,1.000e+17,0.382,-0.14
494.7000,5000,1.000e+17,0.742,-0.243
494.7000,10000,1.000e+17,0.513,-0.174
494.7000,20000,1.000e+17,0.362,-0.126
494.7000,30000,1.000e+17,0.308,-0.105
494.7000,40000,1.000e+17,0.286,-0.0939
494.7000,50000,1.000e+17,0.277,-0.0839
526.3000,5000,1.000e+17,0.906,-0.316
526.3000,10000,1.000e+17,0.627,-0.227
526.3000,20000,1.000e+17,0.441,-0.166
526.3000,30000,1.000e+17,0.374,-0.141
526.3000,40000,1.000e+17,0.347,-0.129
526.3000,50000,1.000e+17,0.335,-0.118
200.8000,5000,1.000e+17,0.559,0.329
200.8000,10000,1.000e+17,0.508,0.304
200.8000,20000,1.000e+17,0.499,0.287
200.8000,30000,1.000e+17,0.51,0.272
200.8000,40000,1.000e+17,0.502,0.252
200.8000,50000,1.000e+17,0.474,0.231
753.5000,5000,1.000e+17,1.34,-0.119
753.5000,10000,1.000e+17,0.922,-0.0846
753.5000,20000,1.000e+17,0.64,-0.0606
753.5000,30000,1.000e+17,0.532,-0.05
753.5000,40000,1.000e+17,0.483,-0.0445
753.5000,50000,1.000e+17,0.461,-0.0404
437.3000,5000,1.000e+17,1.1,0.296
437.3000,10000,1.000e+17,0.961,0.311
437.3000,20000,1.000e+17,0.86,0.298
437.3000,30000,1.000e+17,0.818,0.278
437.3000,40000,1.000e+17,0.802,0.261
437.3000,50000,1.000e+17,0.739,0.241
503.4000,5000,1.000e+17,1.15,0.201
503.4000,10000,1.000e+17,0.851,0.184
503.4000,20000,1.000e+17,0.704,0.21
503.4000,30000,1.000e+17,0.677,0.232
503.4000,40000,1.000e+17,0.664,0.231
