transition,T_e,n_e,gamma_W,gamma_d
44.7500,20000,1.000e+17,6.81e-06,0.532
44.7500,50000,1.000e+17,5.22e-05,0.000141
44.7500,100000,1.000e+17,0.000144,0.000231
44.7500,200000,1.000e+17,0.000254,0.000321
44.7500,300000,1.000e+17,0.000332,0.000359
44.7500,500000,1.000e+17,0.000409,0.000412
48.1000,20000,1.000e+17,8.33e-06,6.12e-05
48.1000,50000,1.000e+17,6.14e-05,0.000163
48.1000,100000,1.000e+17,0.000168,2.66e-32
48.1000,200000,1.000e+17,0.000295,0.00037
48.1000,300000,1.000e+17,0.000384,0.000413
48.1000,500000,1.000e+17,0.000473,0.000475
241.4700,20000,1.000e+17,0.00161,-0.000813
241.4700,50000,1.000e+17,0.00491,-0.00227
241.4700,100000,1.000e+17,0.00832,-0.00397
241.4700,200000,1.000e+17,0.0118,-0.00567
241.4700,300000,1.000e+17,0.013,-0.00667
241.4700,500000,1.000e+17,0.0147,-0.00761
213.5500,20000,1.000e+17,0.00136,-0.000549
213.5500,50000,1.000e+17,0.00406,-0.00154
213.5500,100000,1.000e+17,0.00678,-0.00273
213.5500,200000,1.000e+17,0.00952,-0.00395
213.5500,300000,1.000e+17,0.0104,-0.00468
213.5500,500000,1.000e+17,0.0116,-0.00539
