transition,T_e,n_e,gamma_W,gamma_d
216.5900,20000,1.000e+17,8.14e-05,-2.98e-05
216.5900,50000,1.000e+17,0.000325,-9.34e-05
216.5900,100000,1.000e+17,0.000821,-0.000198
216.5900,200000,1.000e+17,0.00164,-0.000386
216.5900,300000,1.000e+17,0.00219,-0.000536
216.5900,500000,1.000e+17,0.00285,-0.000755
32.8100,20000,1.000e+17,9.87e-06,1.23e-06
32.8100,50000,1.000e+17,3.66e-05,3.86e-06
32.8100,100000,1.000e+17,7.73e-05,8.13e-06
32.8100,200000,1.000e+17,0.000124,1.54e-05
32.8100,300000,1.000e+17,0.000152,2.06e-05
32.8100,500000,1.000e+17,0.000177,2.74e-05
38.0600,20000,1.000e+17,1.97e-05,-4.39e-06
38.0600,50000,1.000e+17,7.07e-05,-1.37e-05
38.0600,100000,1.000e+17,0.000142,-2.83e-05
38.0600,200000,1.000e+17,0.000218,-4.93e-05
38.0600,300000,1.000e+17,0.000265,-6.3e-05
38.0600,500000,1.000e+17,0.000299,-8e-05
25.5500,20000,1.000e+17,5.06e-05,8.72e-05
25.5500,50000,1.000e+17,0.000182,0.000222
25.5500,100000,1.000e+17,0.000318,0.000337
25.5500,200000,1.000e+17,0.000467,0.000434
25.5500,300000,1.000e+17,0.000543,0.000487
25.5500,500000,1.000e+17,0.000632,0.000553
27.0600,20000,1.000e+17,5.01e-05,-1.1e-05
27.0600,50000,1.000e+17,0.000147,-3.35e-05
27.0600,100000,1.000e+17,0.000238,-6.18e-05
27.0600,200000,1.000e+17,0.000327,-9.2e-05
27.0600,300000,1.000e+17,0.000354,-0.000112
27.0600,500000,1.000e+17,0.00039,-0.00013
22.5300,20000,1.000e+17,0.000184,0.000232
22.5300,50000,1.000e+17,0.000469,0.000492
22.5300,100000,1.000e+17,0.00076,0.000711
22.5300,200000,1.000e+17,0.000973,0.000881
22.5300,300000,1.000e+17,0.00111,0.000978
22.5300,500000,1.000e+17,0.00126,0.00109
53.7100,20000,1.000e+17,2.01e-05,1.72e-05
53.7100,50000,1.000e+17,7.77e-05,5.36e-05
53.7100,100000,1.000e+17,0.000174,0.000107
53.7100,200000,1.000e+17,0.000297,0.000176
53.7100,300000,1.000e+17,0.000373,0.000213
53.7100,500000,1.000e+17,0.000453,0.000268
32.8000,20000,1.000e+17,4.05e-05,2.73e-05
32.8000,50000,1.000e+17,0.000134,8.12e-05
32.8000,100000,1.000e+17,0.000242,0.000145
32.8000,200000,1.000e+17,0.000355,0.000207
32.8000,300000,1.000e+17,0.000403,0.000244
32.8000,500000,1.000e+17,0.000458,0.000278
75.9100,20000,1.000e+17,6.46e-05,2.37e-06
75.9100,50000,1.000e+17,0.000236,7.43e-06
75.9100,100000,1.000e+17,0.000484,1.58e-05
75.9100,200000,1.000e+17,0.000758,3.13e-05
75.9100,300000,1.000e+17,0.000926,4.45e-05
75.9100,500000,1.000e+17,0.00106,6.45e-05
71.8800,20000,1.000e+17,6.16e-05,6.9e-06
71.8800,50000,1.000e+17,0.000224,2.17e-05
71.8800,100000,1.000e+17,0.000456,4.56e-05
71.8800,200000,1.000e+17,0.00071,8.53e-05
71.8800,300000,1.000e+17,0.000866,0.000114
71.8800,500000,1.000e+17,0.000983,0.000148
26.8000,20000,1.000e+17,0.000109,5.8e-05
26.8000,50000,1.000e+17,0.00029,0.000155
26.8000,100000,1.000e+17,0.000441,0.000243
26.8000,200000,1.000e+17,0.000564,0.000333
26.8000,300000,1.000e+17,0.000625,0.000371
26.8000,500000,1.000e+17,0.000699,0.000421
35.9500,20000,1.000e+17,7.17e-05,-1.38e-06
35.9500,50000,1.000e+17,0.000216,-4.32e-06
35.9500,100000,1.000e+17,0.00036,-9.13e-06
35.9500,200000,1.000e+17,0.000497,-1.73e-05
35.9500,300000,1.000e+17,0.000541,-2.33e-05
35.9500,500000,1.000e+17,0.000594,-3.12e-05
35.4400,20000,1.000e+17,7.37e-05,4.43e-06
35.4400,50000,1.000e+17,0.000221,1.39e-05
35.4400,100000,1.000e+17,0.000364,2.84e-05
35.4400,200000,1.000e+17,0.000501,4.9e-05
35.4400,300000,1.000e+17,0.000544,6.13e-05
35.4400,500000,1.000e+17,0.000598,7.83e-05
138.0500,20000,1.000e+17,0.000284,-7.98e-05
138.0500,50000,1.000e+17,0.00101,-0.00025
138.0500,100000,1.000e+17,0.00202,-0.000507
138.0500,200000,1.000e+17,0.00307,-0.000866
138.0500,300000,1.000e+17,0.00373,-0.00106
138.0500,500000,1.000e+17,0.00419,-0.00136
328.7700,20000,1.000e+17,0.00214,-0.000903
328.7700,50000,1.000e+17,0.00749,-0.0028
328.7700,100000,1.000e+17,0.0145,-0.00546
328.7700,200000,1.000e+17,0.0217,-0.00865
328.7700,300000,1.000e+17,0.0259,-0.0105
328.7700,500000,1.000e+17,0.029,-0.0128
62.8700,20000,1.000e+17,0.000327,0.000509
62.8700,50000,1.000e+17,0.00113,0.0013
62.8700,100000,1.000e+17,0.00195,0.00198
62.8700,200000,1.000e+17,0.00283,0.00256
62.8700,300000,1.000e+17,0.00328,0.00286
62.8700,500000,1.000e+17,0.00382,0.00326
72.8800,20000,1.000e+17,0.000405,-0.000108
72.8800,50000,1.000e+17,0.00117,-0.000324
72.8800,100000,1.000e+17,0.00187,-0.000587
72.8800,200000,1.000e+17,0.00255,-0.000857
72.8800,300000,1.000e+17,0.00277,-0.00102
72.8800,500000,1.000e+17,0.00305,-0.00117
47.2700,20000,1.000e+17,0.00082,0.00101
47.2700,50000,1.000e+17,0.00207,0.00215
47.2700,100000,1.000e+17,0.00335,0.00311
47.2700,200000,1.000e+17,0.00428,0.00385
47.2700,300000,1.000e+17,0.00487,0.00428
47.2700,500000,1.000e+17,0.00555,0.00474
216.0100,20000,1.000e+17,0.00213,0.0011
216.0100,50000,1.000e+17,0.00677,0.00329
216.0100,100000,1.000e+17,0.0118,0.00591
216.0100,200000,1.000e+17,0.0169,0.00851
216.0100,300000,1.000e+17,0.0188,0.01
216.0100,500000,1.000e+17,0.0212,0.0115
87.3600,20000,1.000e+17,0.00122,0.000603
87.3600,50000,1.000e+17,0.0032,0.00161
87.3600,100000,1.000e+17,0.00484,0.00254
87.3600,200000,1.000e+17,0.00613,0.00348
87.3600,300000,1.000e+17,0.00677,0.00388
87.3600,500000,1.000e+17,0.00755,0.00442
51.2400,20000,1.000e+17,6.25e-06,-7.55e-07
51.2400,50000,1.000e+17,2.48e-05,-2.37e-06
51.2400,100000,1.000e+17,6.07e-05,-5.03e-06
51.2400,200000,1.000e+17,0.000117,-1.01e-05
51.2400,300000,1.000e+17,0.00015,-1.45e-05
51.2400,500000,1.000e+17,0.000193,-2.14e-05
24.2800,20000,1.000e+17,8.55e-06,-1.58e-06
24.2800,50000,1.000e+17,3.06e-05,-4.96e-06
24.2800,100000,1.000e+17,6.08e-05,-1.03e-05
24.2800,200000,1.000e+17,9.28e-05,-1.8e-05
24.2800,300000,1.000e+17,0.000112,-2.33e-05
24.2800,500000,1.000e+17,0.000126,-2.97e-05
35.8400,20000,1.000e+17,1.35e-06,1.64e-05
35.8400,50000,1.000e+17,1.04e-05,5.03e-05
35.8400,100000,1.000e+17,3.96e-05,9.42e-05
35.8400,200000,1.000e+17,9.49e-05,0.000142
35.8400,300000,1.000e+17,0.000131,0.000174
35.8400,500000,1.000e+17,0.000189,0.000203
19.2800,20000,1.000e+17,2.59e-05,-5.45e-06
19.2800,50000,1.000e+17,7.57e-05,-1.66e-05
19.2800,100000,1.000e+17,0.000122,-3.07e-05
19.2800,200000,1.000e+17,0.000168,-4.58e-05
19.2800,300000,1.000e+17,0.000182,-5.6e-05
19.2800,500000,1.000e+17,0.0002,-6.47e-05
22.2800,20000,1.000e+17,3.17e-06,3.01e-05
22.2800,50000,1.000e+17,3.02e-05,8.32e-05
22.2800,100000,1.000e+17,8.3e-05,0.000134
22.2800,200000,1.000e+17,0.000149,0.000187
22.2800,300000,1.000e+17,0.000188,0.000208
22.2800,500000,1.000e+17,0.000231,0.000238
56.6300,20000,1.000e+17,7.98e-06,-1.29e-06
56.6300,50000,1.000e+17,3.16e-05,-4.05e-06
56.6300,100000,1.000e+17,7.71e-05,-8.6e-06
56.6300,200000,1.000e+17,0.000147,-1.7e-05
56.6300,300000,1.000e+17,0.000189,-2.43e-05
56.6300,500000,1.000e+17,0.000243,-3.52e-05
25.4300,20000,1.000e+17,9.47e-06,-1.81e-06
25.4300,50000,1.000e+17,3.38e-05,-5.67e-06
25.4300,100000,1.000e+17,6.72e-05,-1.17e-05
25.4300,200000,1.000e+17,0.000102,-2.05e-05
25.4300,300000,1.000e+17,0.000124,-2.65e-05
25.4300,500000,1.000e+17,0.000139,-3.36e-05
38.4000,20000,1.000e+17,1.67e-06,1.87e-05
38.4000,50000,1.000e+17,1.23e-05,5.73e-05
38.4000,100000,1.000e+17,4.6e-05,0.000107
38.4000,200000,1.000e+17,0.000109,0.000162
38.4000,300000,1.000e+17,0.000151,0.000198
38.4000,500000,1.000e+17,0.000217,0.000232
20.0000,20000,1.000e+17,2.8e-05,-5.89e-06
20.0000,50000,1.000e+17,8.17e-05,-1.8e-05
20.0000,100000,1.000e+17,0.000132,-3.32e-05
20.0000,200000,1.000e+17,0.000181,-4.95e-05
20.0000,300000,1.000e+17,0.000196,-6.04e-05
20.0000,500000,1.000e+17,0.000216,-6.98e-05
23.2400,20000,1.000e+17,3.49e-06,3.27e-05
23.2400,50000,1.000e+17,3.29e-05,9.04e-05
23.2400,100000,1.000e+17,9.03e-05,0.000146
23.2400,200000,1.000e+17,0.000162,0.000203
23.2400,300000,1.000e+17,0.000204,0.000226
23.2400,500000,1.000e+17,0.000251,0.000259
85.8600,20000,1.000e+17,5.78e-06,-4.77e-06
85.8600,50000,1.000e+17,2.34e-05,-1.5e-05
85.8600,100000,1.000e+17,6.28e-05,-3.18e-05
85.8600,200000,1.000e+17,0.00014,-6.18e-05
85.8600,300000,1.000e+17,0.000199,-8.58e-05
85.8600,500000,1.000e+17,0.000269,-0.000121
74.0500,20000,1.000e+17,4.78e-06,-2.92e-06
74.0500,50000,1.000e+17,1.94e-05,-9.17e-06
74.0500,100000,1.000e+17,5.13e-05,-1.94e-05
74.0500,200000,1.000e+17,0.000113,-3.82e-05
74.0500,300000,1.000e+17,0.000159,-5.37e-05
74.0500,500000,1.000e+17,0.000211,-7.65e-05
