transition,T_e,n_e,gamma_W,gamma_d
437.5000,5000,1.000e+17,0.315,
437.5000,10000,1.000e+17,0.218,
437.5000,20000,1.000e+17,0.151,
437.5000,30000,1.000e+17,0.123,
437.5000,40000,1.000e+17,0.108,
437.5000,50000,1.000e+17,0.0998,
332.8000,5000,1.000e+17,0.213,
332.8000,10000,1.000e+17,0.148,
332.8000,20000,1.000e+17,0.103,
332.8000,30000,1.000e+17,0.0841,
332.8000,40000,1.000e+17,0.0742,
332.8000,50000,1.000e+17,0.0687,
412.5000,5000,1.000e+17,0.3,
412.5000,10000,1.000e+17,0.208,
412.5000,20000,1.000e+17,0.144,
412.5000,30000,1.000e+17,0.118,
412.5000,40000,1.000e+17,0.103,
412.5000,50000,1.000e+17,0.0952,
360.5000,5000,1.000e+17,0.245,
360.5000,10000,1.000e+17,0.17,
360.5000,20000,1.000e+17,0.118,
360.5000,30000,1.000e+17,0.0961,
360.5000,40000,1.000e+17,0.0843,
360.5000,50000,1.000e+17,0.0774,
375.4000,5000,1.000e+17,0.254,
375.4000,10000,1.000e+17,0.177,
375.4000,20000,1.000e+17,0.122,
375.4000,30000,1.000e+17,0.0996,
375.4000,40000,1.000e+17,0.0873,
375.4000,50000,1.000e+17,0.0801,
322.4000,5000,1.000e+17,0.2,
322.4000,10000,1.000e+17,0.139,
322.4000,20000,1.000e+17,0.0962,
322.4000,30000,1.000e+17,0.0785,
322.4000,40000,1.000e+17,0.0691,
322.4000,50000,1.000e+17,0.0637,
