transition,T_e,n_e,gamma_W,gamma_d
99.3500,10000,1.000e+17,0.00138,-6.7e-05
99.3500,20000,1.000e+17,0.00196,-0.000131
99.3500,50000,1.000e+17,0.00241,-0.000232
99.3500,100000,1.000e+17,0.00269,-0.000304
99.3500,150000,1.000e+17,0.0028,-0.000338
99.3500,300000,1.000e+17,0.00291,-0.000403
81.0800,10000,1.000e+17,0.00415,0.00159
81.0800,20000,1.000e+17,0.00508,0.00229
81.0800,50000,1.000e+17,0.00613,0.00321
81.0800,100000,1.000e+17,0.00678,0.00378
81.0800,150000,1.000e+17,0.00699,0.00405
81.0800,300000,1.000e+17,0.00754,0.00461
238.0800,10000,1.000e+17,0.00335,7.03e-05
238.0800,20000,1.000e+17,0.00523,0.000151
238.0800,50000,1.000e+17,0.00721,0.000329
238.0800,100000,1.000e+17,0.00815,0.000478
238.0800,150000,1.000e+17,0.00866,0.000575
238.0800,300000,1.000e+17,0.00917,0.000694
73.2800,100000,1.000e+17,0.0162,0.0109
73.2800,150000,1.000e+17,0.0172,0.0117
73.2800,300000,1.000e+17,0.0189,0.0138
100.6900,10000,1.000e+17,0.00353,-0.000296
100.6900,20000,1.000e+17,0.00452,-0.000504
100.6900,50000,1.000e+17,0.00533,-0.00078
100.6900,100000,1.000e+17,0.00576,-0.000934
100.6900,150000,1.000e+17,0.00592,-0.00104
100.6900,300000,1.000e+17,0.0061,-0.00121
794.2300,10000,1.000e+17,0.148,0.0448
794.2300,20000,1.000e+17,0.204,0.0696
794.2300,50000,1.000e+17,0.246,0.0999
794.2300,100000,1.000e+17,0.277,0.119
794.2300,150000,1.000e+17,0.286,0.132
794.2300,300000,1.000e+17,0.308,0.152
404.1000,10000,1.000e+17,0.0956,-0.0366
404.1000,20000,1.000e+17,0.118,-0.0533
404.1000,50000,1.000e+17,0.142,-0.0743
404.1000,100000,1.000e+17,0.157,-0.0876
404.1000,150000,1.000e+17,0.165,-0.0949
404.1000,300000,1.000e+17,0.175,-0.107
558.5700,10000,1.000e+17,0.226,0.101
558.5700,20000,1.000e+17,0.275,0.144
558.5700,50000,1.000e+17,0.337,0.201
558.5700,100000,1.000e+17,0.376,0.235
558.5700,150000,1.000e+17,0.391,0.253
558.5700,300000,1.000e+17,0.424,0.287
301.6800,100000,1.000e+17,0.275,0.186
301.6800,150000,1.000e+17,0.29,0.199
301.6800,300000,1.000e+17,0.318,0.234
283.5600,10000,1.000e+17,0.0544,0.0165
283.5600,20000,1.000e+17,0.0656,0.0245
283.5600,50000,1.000e+17,0.0781,0.034
283.5600,100000,1.000e+17,0.0844,0.0397
283.5600,150000,1.000e+17,0.0888,0.0434
283.5600,300000,1.000e+17,0.0925,0.0485
206.6300,100000,1.000e+17,0.126,0.0837
206.6300,150000,1.000e+17,0.138,0.0926
206.6300,300000,1.000e+17,0.148,0.108
889.2400,10000,1.000e+17,0.339,-0.0688
889.2400,20000,1.000e+17,0.421,-0.105
889.2400,50000,1.000e+17,0.5,-0.149
889.2400,100000,1.000e+17,0.541,-0.178
889.2400,150000,1.000e+17,0.555,-0.197
889.2400,300000,1.000e+17,0.579,-0.222
954.8400,100000,1.000e+17,2.72,1.64
954.8400,150000,1.000e+17,2.76,1.74
954.8400,300000,1.000e+17,2.87,1.95
904.2400,100000,1.000e+17,2.68,1.76
904.2400,150000,1.000e+17,2.87,1.94
904.2400,300000,1.000e+17,3.22,2.21
217.1000,10000,1.000e+17,0.0083,0.00308
217.1000,20000,1.000e+17,0.0119,0.00484
217.1000,50000,1.000e+17,0.0147,0.007
217.1000,100000,1.000e+17,0.0168,0.00832
217.1000,150000,1.000e+17,0.0175,0.00922
217.1000,300000,1.000e+17,0.0186,0.0105
130.6200,10000,1.000e+17,0.0118,0.00548
130.6200,20000,1.000e+17,0.0145,0.00777
130.6200,50000,1.000e+17,0.0177,0.0109
130.6200,100000,1.000e+17,0.02,0.0127
130.6200,150000,1.000e+17,0.0207,0.0137
130.6200,300000,1.000e+17,0.0227,0.0156
225.8300,10000,1.000e+17,0.00429,0.00451
225.8300,20000,1.000e+17,0.00714,0.00688
225.8300,50000,1.000e+17,0.011,0.0097
225.8300,100000,1.000e+17,0.0135,0.0116
225.8300,150000,1.000e+17,0.0155,0.0128
225.8300,300000,1.000e+17,0.0175,0.0144
108.9300,100000,1.000e+17,0.0355,0.0242
108.9300,150000,1.000e+17,0.0375,0.0259
108.9300,300000,1.000e+17,0.0411,0.0305
132.4900,10000,1.000e+17,0.00489,0.00537
132.4900,20000,1.000e+17,0.00789,0.00767
132.4900,50000,1.000e+17,0.011,0.0107
132.4900,100000,1.000e+17,0.0138,0.0127
132.4900,150000,1.000e+17,0.0155,0.0134
132.4900,300000,1.000e+17,0.0176,0.0152
285.9600,10000,1.000e+17,0.00444,-0.000768
285.9600,20000,1.000e+17,0.00703,-0.00146
285.9600,50000,1.000e+17,0.00986,-0.00252
285.9600,100000,1.000e+17,0.0112,-0.00317
285.9600,150000,1.000e+17,0.012,-0.00357
285.9600,300000,1.000e+17,0.0129,-0.00424
108.3700,10000,1.000e+17,0.00403,-0.00044
108.3700,20000,1.000e+17,0.00517,-0.000724
108.3700,50000,1.000e+17,0.00611,-0.0011
108.3700,100000,1.000e+17,0.00664,-0.00132
108.3700,150000,1.000e+17,0.00682,-0.00146
108.3700,300000,1.000e+17,0.00702,-0.0017
558.5700,100000,1.000e+17,0.909,0.52
558.5700,150000,1.000e+17,0.946,0.562
558.5700,300000,1.000e+17,0.986,0.617
519.5300,10000,1.000e+17,0.227,0.0899
519.5300,20000,1.000e+17,0.274,0.128
519.5300,50000,1.000e+17,0.333,0.179
519.5300,100000,1.000e+17,0.357,0.208
519.5300,150000,1.000e+17,0.374,0.224
519.5300,300000,1.000e+17,0.403,0.257
289.9100,100000,1.000e+17,0.262,0.172
289.9100,150000,1.000e+17,0.275,0.185
289.9100,300000,1.000e+17,0.302,0.217
550.3300,10000,1.000e+17,0.141,0.0962
550.3300,20000,1.000e+17,0.19,0.136
550.3300,50000,1.000e+17,0.248,0.192
550.3300,100000,1.000e+17,0.29,0.224
550.3300,150000,1.000e+17,0.31,0.241
550.3300,300000,1.000e+17,0.347,0.274
767.6500,10000,1.000e+17,0.207,-0.0633
767.6500,20000,1.000e+17,0.268,-0.0967
767.6500,50000,1.000e+17,0.322,-0.134
767.6500,100000,1.000e+17,0.356,-0.16
767.6500,150000,1.000e+17,0.37,-0.175
767.6500,300000,1.000e+17,0.395,-0.2
