transition,T_e,n_e,gamma_W,gamma_d
1105.7300,2500,1.000e+17,0.468,0.227
1105.7300,5000,1.000e+17,0.525,0.323
1105.7300,10000,1.000e+17,0.579,0.41
1105.7300,20000,1.000e+17,0.637,0.494
1105.7300,30000,1.000e+17,0.675,0.543
1105.7300,50000,1.000e+17,0.726,0.606
518.3400,50000,1.000e+17,0.676,0.561
332.4800,10000,1.000e+17,0.101,-0.0427
332.4800,20000,1.000e+17,0.105,-0.0518
332.4800,30000,1.000e+17,0.108,-0.0571
332.4800,50000,1.000e+17,0.112,-0.0639
476.7400,2500,1.000e+17,0.0551,0.0327
476.7400,5000,1.000e+17,0.0618,0.0439
476.7400,10000,1.000e+17,0.0689,0.0543
476.7400,20000,1.000e+17,0.0768,0.0646
476.7400,30000,1.000e+17,0.0819,0.0707
476.7400,50000,1.000e+17,0.0888,0.0785
305.4700,20000,1.000e+17,0.142,0.109
305.4700,30000,1.000e+17,0.152,0.123
305.4700,50000,1.000e+17,0.165,0.141
213.9200,2500,1.000e+17,0.0109,0.00349
213.9200,5000,1.000e+17,0.0115,0.00436
213.9200,10000,1.000e+17,0.0119,0.00521
213.9200,20000,1.000e+17,0.0123,0.00607
213.9200,30000,1.000e+17,0.0125,0.00659
213.9200,50000,1.000e+17,0.0129,0.00727
158.9600,50000,1.000e+17,0.0641,-0.0462
