transition,T_e,n_e,gamma_W,gamma_d
492.0300,5000,1.000e+17,1.28,0.323
492.0300,10000,1.000e+17,0.912,0.275
492.0300,20000,1.000e+17,0.768,0.296
492.0300,30000,1.000e+17,0.764,0.332
492.0300,40000,1.000e+17,0.762,0.346
492.0300,50000,1.000e+17,0.76,0.346
208.8700,5000,1.000e+17,0.0928,0.0112
208.8700,10000,1.000e+17,0.0642,0.00899
208.8700,20000,1.000e+17,0.0452,0.00814
208.8700,30000,1.000e+17,0.0386,0.00851
208.8700,40000,1.000e+17,0.036,0.00921
208.8700,50000,1.000e+17,0.0348,0.0111
145.1000,5000,1.000e+17,0.137,0.018
145.1000,10000,1.000e+17,0.0964,0.0153
145.1000,20000,1.000e+17,0.0726,0.015
145.1000,30000,1.000e+17,0.0656,0.0156
145.1000,40000,1.000e+17,0.0632,0.0173
145.1000,50000,1.000e+17,0.0622,0.0161
253.9800,5000,1.000e+17,0.244,0.0814
253.9800,10000,1.000e+17,0.17,0.0606
253.9800,20000,1.000e+17,0.12,0.0476
253.9800,30000,1.000e+17,0.116,0.0449
253.9800,40000,1.000e+17,0.0922,0.0442
253.9800,50000,1.000e+17,0.0866,0.0439
152.8200,5000,1.000e+17,0.272,0.108
152.8200,10000,1.000e+17,0.197,0.087
152.8200,20000,1.000e+17,0.156,0.0819
152.8200,30000,1.000e+17,0.147,0.0776
152.8200,40000,1.000e+17,0.144,0.0704
152.8200,50000,1.000e+17,0.142,0.0645
678.1300,5000,1.000e+17,0.738,0.306
678.1300,10000,1.000e+17,0.516,0.218
678.1300,20000,1.000e+17,0.358,0.157
678.1300,30000,1.000e+17,0.288,0.13
678.1300,40000,1.000e+17,0.248,0.114
678.1300,50000,1.000e+17,0.222,0.104
98.4900,5000,1.000e+17,0.0328,0.0039
98.4900,10000,1.000e+17,0.0228,0.00298
98.4900,20000,1.000e+17,0.0164,0.00244
98.4900,30000,1.000e+17,0.0144,0.00232
98.4900,40000,1.000e+17,0.0135,0.00258
98.4900,50000,1.000e+17,0.0122,0.00291
206.1900,5000,1.000e+17,0.0622,0.0095
206.1900,10000,1.000e+17,0.0434,0.00685
206.1900,20000,1.000e+17,0.0302,0.00504
206.1900,30000,1.000e+17,0.0244,0.00428
206.1900,40000,1.000e+17,0.021,0.00386
206.1900,50000,1.000e+17,0.0187,0.0036
202.5500,5000,1.000e+17,0.0668,0.0123
202.5500,10000,1.000e+17,0.0466,0.00882
202.5500,20000,1.000e+17,0.0324,0.00646
202.5500,30000,1.000e+17,0.0262,0.00548
202.5500,40000,1.000e+17,0.0226,0.00493
202.5500,50000,1.000e+17,0.0202,0.00457
763.8200,5000,1.000e+17,3.24,-0.469
763.8200,10000,1.000e+17,2.24,-0.346
763.8200,20000,1.000e+17,1.62,-0.269
763.8200,30000,1.000e+17,1.42,-0.255
763.8200,40000,1.000e+17,1.34,-0.235
763.8200,50000,1.000e+17,1.32,-0.214
187.0800,5000,1.000e+17,0.188,0.0324
187.0800,10000,1.000e+17,0.133,0.0304
187.0800,20000,1.000e+17,0.109,0.0374
187.0800,30000,1.000e+17,0.106,0.045
187.0800,40000,1.000e+17,0.105,0.0486
187.0800,50000,1.000e+17,0.105,0.051
265.1200,5000,1.000e+17,0.278,-0.0159
265.1200,10000,1.000e+17,0.193,-0.00997
265.1200,20000,1.000e+17,0.139,-0.00515
265.1200,30000,1.000e+17,0.12,-0.00226
265.1200,40000,1.000e+17,0.112,0.00183
265.1200,50000,1.000e+17,0.108,0.00565
