transition,T_e,n_e,gamma_W,gamma_d
161.9600,10000,1.000e+17,0.00824,
161.9600,20000,1.000e+17,0.00583,
161.9600,50000,1.000e+17,0.00369,
161.9600,100000,1.000e+17,0.00261,
161.9600,200000,1.000e+17,0.00187,
161.9600,300000,1.000e+17,0.0016,
163.9300,10000,1.000e+17,0.00835,
163.9300,20000,1.000e+17,0.0059,
163.9300,50000,1.000e+17,0.00373,
163.9300,100000,1.000e+17,0.00264,
163.9300,200000,1.000e+17,0.00189,
163.9300,300000,1.000e+17,0.00161,
156.2500,10000,1.000e+17,0.0058,
156.2500,20000,1.000e+17,0.0041,
156.2500,50000,1.000e+17,0.0026,
156.2500,100000,1.000e+17,0.00183,
156.2500,200000,1.000e+17,0.0013,
156.2500,300000,1.000e+17,0.00108,
147.2800,10000,1.000e+17,0.00713,
147.2800,20000,1.000e+17,0.00504,
147.2800,50000,1.000e+17,0.00319,
147.2800,100000,1.000e+17,0.00226,
147.2800,200000,1.000e+17,0.00163,
147.2800,300000,1.000e+17,0.0014,
160.4100,10000,1.000e+17,0.0078,
160.4100,20000,1.000e+17,0.00551,
160.4100,50000,1.000e+17,0.00349,
160.4100,100000,1.000e+17,0.00247,
160.4100,200000,1.000e+17,0.00177,
160.4100,300000,1.000e+17,0.0015,
166.7900,10000,1.000e+17,0.0063,
166.7900,20000,1.000e+17,0.00446,
166.7900,50000,1.000e+17,0.00282,
166.7900,100000,1.000e+17,0.00199,
166.7900,200000,1.000e+17,0.00141,
166.7900,300000,1.000e+17,0.00115,
