transition,T_e,n_e,gamma_W,gamma_d
193.8500,5000,1.000e+17,0.0765,
193.8500,10000,1.000e+17,0.0537,
193.8500,20000,1.000e+17,0.0387,
193.8500,30000,1.000e+17,0.0333,
193.8500,40000,1.000e+17,0.0307,
193.8500,50000,1.000e+17,0.0294,
232.4700,5000,1.000e+17,0.122,
232.4700,10000,1.000e+17,0.0859,
232.4700,20000,1.000e+17,0.0626,
232.4700,30000,1.000e+17,0.0546,
232.4700,40000,1.000e+17,0.0508,
232.4700,50000,1.000e+17,0.0491,
404.7000,5000,1.000e+17,0.26,
404.7000,10000,1.000e+17,0.181,
404.7000,20000,1.000e+17,0.125,
404.7000,30000,1.000e+17,0.102,
404.7000,40000,1.000e+17,0.089,
404.7000,50000,1.000e+17,0.0815,
417.5000,5000,1.000e+17,0.274,
417.5000,10000,1.000e+17,0.191,
417.5000,20000,1.000e+17,0.132,
417.5000,30000,1.000e+17,0.107,
417.5000,40000,1.000e+17,0.094,
417.5000,50000,1.000e+17,0.0861,
347.6000,5000,1.000e+17,0.196,
347.6000,10000,1.000e+17,0.136,
347.6000,20000,1.000e+17,0.0942,
347.6000,30000,1.000e+17,0.0766,
347.6000,40000,1.000e+17,0.067,
347.6000,50000,1.000e+17,0.0612,
314.1000,5000,1.000e+17,0.142,
314.1000,10000,1.000e+17,0.0986,
314.1000,20000,1.000e+17,0.0682,
314.1000,30000,1.000e+17,0.0553,
314.1000,40000,1.000e+17,0.0481,
314.1000,50000,1.000e+17,0.0437,
329.4000,5000,1.000e+17,0.153,
329.4000,10000,1.000e+17,0.106,
329.4000,20000,1.000e+17,0.0734,
329.4000,30000,1.000e+17,0.0595,
329.4000,40000,1.000e+17,0.0517,
329.4000,50000,1.000e+17,0.047,
346.2000,5000,1.000e+17,0.158,
346.2000,10000,1.000e+17,0.11,
346.2000,20000,1.000e+17,0.0761,
346.2000,30000,1.000e+17,0.0616,
346.2000,40000,1.000e+17,0.0536,
346.2000,50000,1.000e+17,0.0487,
