transition,T_e,n_e,gamma_W,gamma_d
189.1900,5000,1.000e+17,0.211,0.102
189.1900,10000,1.000e+17,0.147,0.0742
189.1900,20000,1.000e+17,0.105,0.0533
189.1900,30000,1.000e+17,0.0889,0.0456
189.1900,40000,1.000e+17,0.0808,0.0412
189.1900,50000,1.000e+17,0.0762,0.0384
179.7800,5000,1.000e+17,0.151,-0.0171
179.7800,10000,1.000e+17,0.106,-0.0115
179.7800,20000,1.000e+17,0.0755,-0.00701
179.7800,30000,1.000e+17,0.0632,-0.00432
179.7800,40000,1.000e+17,0.0565,-0.00224
179.7800,50000,1.000e+17,0.0525,-0.000449
200.2600,5000,1.000e+17,0.169,-0.0245
200.2600,10000,1.000e+17,0.118,-0.017
200.2600,20000,1.000e+17,0.083,-0.0114
200.2600,30000,1.000e+17,0.0682,-0.00862
200.2600,40000,1.000e+17,0.0601,-0.00661
200.2600,50000,1.000e+17,0.0551,-0.00457
192.6600,5000,1.000e+17,0.161,-0.0243
192.6600,10000,1.000e+17,0.113,-0.0169
192.6600,20000,1.000e+17,0.0789,-0.0114
192.6600,30000,1.000e+17,0.0649,-0.00864
192.6600,40000,1.000e+17,0.0572,-0.00666
192.6600,50000,1.000e+17,0.0525,-0.00478
227.7200,5000,1.000e+17,0.312,0.141
227.7200,10000,1.000e+17,0.218,0.103
227.7200,20000,1.000e+17,0.155,0.0737
227.7200,30000,1.000e+17,0.131,0.0632
227.7200,40000,1.000e+17,0.119,0.0571
227.7200,50000,1.000e+17,0.112,0.0533
214.2200,5000,1.000e+17,0.221,-0.0301
214.2200,10000,1.000e+17,0.155,-0.0206
214.2200,20000,1.000e+17,0.11,-0.0131
214.2200,30000,1.000e+17,0.092,-0.00873
214.2200,40000,1.000e+17,0.0822,-0.00545
214.2200,50000,1.000e+17,0.0763,-0.00267
243.9400,5000,1.000e+17,0.259,-0.044
243.9400,10000,1.000e+17,0.181,-0.0308
243.9400,20000,1.000e+17,0.127,-0.021
243.9400,30000,1.000e+17,0.104,-0.0162
243.9400,40000,1.000e+17,0.0918,-0.0128
243.9400,50000,1.000e+17,0.084,-0.00941
208.1600,5000,1.000e+17,0.217,-0.0306
208.1600,10000,1.000e+17,0.152,-0.021
208.1600,20000,1.000e+17,0.108,-0.0135
208.1600,30000,1.000e+17,0.09,-0.00906
208.1600,40000,1.000e+17,0.0804,-0.00602
208.1600,50000,1.000e+17,0.0745,-0.00323
212.0700,5000,1.000e+17,0.232,-0.0227
212.0700,10000,1.000e+17,0.163,-0.0153
212.0700,20000,1.000e+17,0.115,-0.00929
212.0700,30000,1.000e+17,0.0962,-0.00562
212.0700,40000,1.000e+17,0.0858,-0.00279
212.0700,50000,1.000e+17,0.0794,-0.000329
230.2200,5000,1.000e+17,0.255,-0.0335
230.2200,10000,1.000e+17,0.178,-0.0233
230.2200,20000,1.000e+17,0.125,-0.0157
230.2200,30000,1.000e+17,0.102,-0.0119
230.2200,40000,1.000e+17,0.0901,-0.00913
230.2200,50000,1.000e+17,0.0824,-0.00647
194.4300,5000,1.000e+17,0.21,-0.0175
194.4300,10000,1.000e+17,0.148,-0.0114
194.4300,20000,1.000e+17,0.106,-0.00611
194.4300,30000,1.000e+17,0.0892,-0.00268
194.4300,40000,1.000e+17,0.0803,-5.22e-08
194.4300,50000,1.000e+17,0.0748,0.00219
225.2900,5000,1.000e+17,0.323,0.146
225.2900,10000,1.000e+17,0.226,0.106
225.2900,20000,1.000e+17,0.16,0.0761
225.2900,30000,1.000e+17,0.135,0.0652
225.2900,40000,1.000e+17,0.123,0.0588
225.2900,50000,1.000e+17,0.115,0.0547
206.1400,5000,1.000e+17,0.239,0.113
206.1400,10000,1.000e+17,0.167,0.082
206.1400,20000,1.000e+17,0.118,0.0588
206.1400,30000,1.000e+17,0.0995,0.05
206.1400,40000,1.000e+17,0.09,0.0453
206.1400,50000,1.000e+17,0.0844,0.0418
209.6600,5000,1.000e+17,0.171,-0.0343
209.6600,10000,1.000e+17,0.12,-0.0241
209.6600,20000,1.000e+17,0.0837,-0.0168
209.6600,30000,1.000e+17,0.0684,-0.0133
209.6600,40000,1.000e+17,0.0599,-0.0109
209.6600,50000,1.000e+17,0.0546,-0.00898
195.3000,5000,1.000e+17,0.18,-0.0227
195.3000,10000,1.000e+17,0.126,-0.0155
195.3000,20000,1.000e+17,0.0892,-0.00991
195.3000,30000,1.000e+17,0.0742,-0.0068
195.3000,40000,1.000e+17,0.0661,-0.00413
195.3000,50000,1.000e+17,0.061,-0.00198
187.8300,5000,1.000e+17,0.168,-0.0212
187.8300,10000,1.000e+17,0.118,-0.0144
187.8300,20000,1.000e+17,0.0833,-0.00913
187.8300,30000,1.000e+17,0.0695,-0.00606
187.8300,40000,1.000e+17,0.0621,-0.00357
187.8300,50000,1.000e+17,0.0575,-0.00156
205.9100,5000,1.000e+17,0.24,0.112
205.9100,10000,1.000e+17,0.167,0.0811
205.9100,20000,1.000e+17,0.119,0.0582
205.9100,30000,1.000e+17,0.0996,0.0495
205.9100,40000,1.000e+17,0.09,0.0449
205.9100,50000,1.000e+17,0.0845,0.0414
209.4200,5000,1.000e+17,0.172,-0.0351
209.4200,10000,1.000e+17,0.12,-0.0248
209.4200,20000,1.000e+17,0.084,-0.0172
209.4200,30000,1.000e+17,0.0686,-0.0136
209.4200,40000,1.000e+17,0.0601,-0.0112
209.4200,50000,1.000e+17,0.0547,-0.00927
195.0900,5000,1.000e+17,0.181,-0.0234
195.0900,10000,1.000e+17,0.127,-0.016
195.0900,20000,1.000e+17,0.0894,-0.0103
195.0900,30000,1.000e+17,0.0744,-0.00713
195.0900,40000,1.000e+17,0.0662,-0.00443
195.0900,50000,1.000e+17,0.0611,-0.00224
205.2400,5000,1.000e+17,0.185,-0.0281
205.2400,10000,1.000e+17,0.129,-0.0195
205.2400,20000,1.000e+17,0.0908,-0.0131
205.2400,30000,1.000e+17,0.0748,-0.00976
205.2400,40000,1.000e+17,0.0661,-0.00734
205.2400,50000,1.000e+17,0.0606,-0.00489
221.6600,5000,1.000e+17,0.283,0.122
221.6600,10000,1.000e+17,0.198,0.0889
221.6600,20000,1.000e+17,0.14,0.0637
221.6600,30000,1.000e+17,0.117,0.0543
221.6600,40000,1.000e+17,0.106,0.0493
221.6600,50000,1.000e+17,0.0994,0.0456
225.7300,5000,1.000e+17,0.205,-0.0482
225.7300,10000,1.000e+17,0.143,-0.0341
225.7300,20000,1.000e+17,0.1,-0.0239
225.7300,30000,1.000e+17,0.0817,-0.0191
225.7300,40000,1.000e+17,0.0715,-0.0158
225.7300,50000,1.000e+17,0.0652,-0.0133
200.6200,5000,1.000e+17,0.196,-0.0309
200.6200,10000,1.000e+17,0.137,-0.0213
200.6200,20000,1.000e+17,0.0974,-0.0139
200.6200,30000,1.000e+17,0.0812,-0.00981
200.6200,40000,1.000e+17,0.0724,-0.0066
200.6200,50000,1.000e+17,0.067,-0.00403
213.2500,5000,1.000e+17,0.208,-0.0407
213.2500,10000,1.000e+17,0.146,-0.0285
213.2500,20000,1.000e+17,0.102,-0.0196
213.2500,30000,1.000e+17,0.084,-0.0151
213.2500,40000,1.000e+17,0.0741,-0.012
213.2500,50000,1.000e+17,0.0679,-0.00919
349.8900,5000,1.000e+17,0.287,-0.0623
349.8900,10000,1.000e+17,0.201,-0.0449
349.8900,20000,1.000e+17,0.14,-0.0324
349.8900,30000,1.000e+17,0.114,-0.0266
349.8900,40000,1.000e+17,0.0987,-0.0228
349.8900,50000,1.000e+17,0.0889,-0.0204
266.5100,5000,1.000e+17,0.179,-0.0294
266.5100,10000,1.000e+17,0.125,-0.0211
266.5100,20000,1.000e+17,0.0875,-0.0152
266.5100,30000,1.000e+17,0.0709,-0.0124
266.5100,40000,1.000e+17,0.0614,-0.0106
266.5100,50000,1.000e+17,0.0552,-0.00939
269.9100,5000,1.000e+17,0.208,-0.0411
269.9100,10000,1.000e+17,0.146,-0.0295
269.9100,20000,1.000e+17,0.102,-0.0213
269.9100,30000,1.000e+17,0.0824,-0.0174
269.9100,40000,1.000e+17,0.0714,-0.0149
269.9100,50000,1.000e+17,0.0642,-0.0133
265.7200,5000,1.000e+17,0.16,-0.0283
265.7200,10000,1.000e+17,0.112,-0.0203
265.7200,20000,1.000e+17,0.0783,-0.0146
