transition,T_e,n_e,gamma_W,gamma_d
183.6150,10000,1.000e+17,0.0816,
183.6150,20000,1.000e+17,0.0577,
183.6150,50000,1.000e+17,0.0365,
183.6150,100000,1.000e+17,0.0291,
183.6150,200000,1.000e+17,0.0287,
183.6150,300000,1.000e+17,0.0296,
183.6150,500000,1.000e+17,0.0302,
184.8030,10000,1.000e+17,0.0827,
184.8030,20000,1.000e+17,0.0585,
184.8030,50000,1.000e+17,0.037,
184.8030,100000,1.000e+17,0.0295,
184.8030,200000,1.000e+17,0.0291,
184.8030,300000,1.000e+17,0.03,
184.8030,500000,1.000e+17,0.0306,
184.6370,10000,1.000e+17,0.0825,
184.6370,20000,1.000e+17,0.0583,
184.6370,50000,1.000e+17,0.0369,
184.6370,100000,1.000e+17,0.0294,
184.6370,200000,1.000e+17,0.029,
184.6370,300000,1.000e+17,0.03,
184.6370,500000,1.000e+17,0.0305,
154.6170,10000,1.000e+17,0.0422,
154.6170,20000,1.000e+17,0.0298,
154.6170,50000,1.000e+17,0.0189,
154.6170,100000,1.000e+17,0.0134,
154.6170,200000,1.000e+17,0.0106,
154.6170,300000,1.000e+17,0.0101,
154.6170,500000,1.000e+17,0.0101,
160.7950,10000,1.000e+17,0.0469,
160.7950,20000,1.000e+17,0.0332,
160.7950,50000,1.000e+17,0.0201,
160.7950,100000,1.000e+17,0.0149,
160.7950,200000,1.000e+17,0.0118,
160.7950,300000,1.000e+17,0.0112,
160.7950,500000,1.000e+17,0.0112,
159.8950,10000,1.000e+17,0.0463,
159.8950,20000,1.000e+17,0.0327,
159.8950,50000,1.000e+17,0.0207,
159.8950,100000,1.000e+17,0.0147,
159.8950,200000,1.000e+17,0.0117,
159.8950,300000,1.000e+17,0.0112,
159.8950,500000,1.000e+17,0.011,
228.7380,10000,1.000e+17,0.0844,
228.7380,20000,1.000e+17,0.0596,
228.7380,50000,1.000e+17,0.0377,
228.7380,100000,1.000e+17,0.027,
228.7380,200000,1.000e+17,0.0215,
228.7380,300000,1.000e+17,0.0844,
228.7380,500000,1.000e+17,0.0105,
216.4360,10000,1.000e+17,0.0768,
216.4360,20000,1.000e+17,0.0543,
216.4360,50000,1.000e+17,0.0344,
216.4360,100000,1.000e+17,0.0246,
216.4360,200000,1.000e+17,0.0196,
216.4360,300000,1.000e+17,0.0181,
216.4360,500000,1.000e+17,0.017,
76.0160,10000,1.000e+17,0.0099,
76.0160,20000,1.000e+17,0.007,
76.0160,50000,1.000e+17,0.0044,
76.0160,100000,1.000e+17,0.0034,
76.0160,200000,1.000e+17,0.003,
76.0160,300000,1.000e+17,0.003,
76.0160,500000,1.000e+17,0.003,
75.4390,10000,1.000e+17,0.0102,
75.4390,20000,1.000e+17,0.0073,
75.4390,50000,1.000e+17,0.0046,
75.4390,100000,1.000e+17,0.0036,
75.4390,200000,1.000e+17,0.0032,
75.4390,300000,1.000e+17,0.0031,
75.4390,500000,1.000e+17,0.003,
375.1670,10000,1.000e+17,0.747,
375.1670,20000,1.000e+17,0.528,
375.1670,50000,1.000e+17,0.353,
375.1670,100000,1.000e+17,0.33,
375.1670,200000,1.000e+17,0.342,
375.1670,300000,1.000e+17,0.343,
375.1670,500000,1.000e+17,0.335,
377.5080,10000,1.000e+17,0.757,
377.5080,20000,1.000e+17,0.535,
377.5080,50000,1.000e+17,0.358,
377.5080,100000,1.000e+17,0.335,
377.5080,200000,1.000e+17,0.346,
377.5080,300000,1.000e+17,0.347,
377.5080,500000,1.000e+17,0.339,
376.5390,10000,1.000e+17,0.75,
376.5390,20000,1.000e+17,0.53,
376.5390,50000,1.000e+17,0.355,
376.5390,100000,1.000e+17,0.332,
376.5390,200000,1.000e+17,0.344,
376.5390,300000,1.000e+17,0.345,
376.5390,500000,1.000e+17,0.337,
357.7130,10000,1.000e+17,0.702,
357.7130,20000,1.000e+17,0.497,
357.7130,50000,1.000e+17,0.319,
357.7130,100000,1.000e+17,0.262,
357.7130,200000,1.000e+17,0.245,
357.7130,300000,1.000e+17,0.239,
357.7130,500000,1.000e+17,0.229,
379.5070,10000,1.000e+17,0.811,
379.5070,20000,1.000e+17,0.573,
379.5070,50000,1.000e+17,0.367,
379.5070,100000,1.000e+17,0.302,
379.5070,200000,1.000e+17,0.283,
379.5070,300000,1.000e+17,0.275,
379.5070,500000,1.000e+17,0.264,
368.7950,10000,1.000e+17,0.756,
368.7950,20000,1.000e+17,0.535,
368.7950,50000,1.000e+17,0.342,
368.7950,100000,1.000e+17,0.281,
368.7950,200000,1.000e+17,0.264,
368.7950,300000,1.000e+17,0.256,
368.7950,500000,1.000e+17,0.246,
578.1450,10000,1.000e+17,1.97,
578.1450,20000,1.000e+17,1.39,
578.1450,50000,1.000e+17,0.917,
578.1450,100000,1.000e+17,0.765,
578.1450,200000,1.000e+17,0.693,
578.1450,300000,1.000e+17,0.66,
578.1450,500000,1.000e+17,0.616,
546.3850,10000,1.000e+17,1.78,
546.3850,20000,1.000e+17,1.26,
546.3850,50000,1.000e+17,0.828,
546.3850,100000,1.000e+17,0.69,
546.3850,200000,1.000e+17,0.626,
546.3850,300000,1.000e+17,0.596,
546.3850,500000,1.000e+17,0.557,
