method,K,roi_ch,latency_us,comp_rmse,T_err,ne_err
autodiff,1,500,348.21,0.05819,0.04945,0.21775
autodiff,1,1000,354.13,0.05811,0.04909,0.21546
autodiff,1,2000,484.78,0.05783,0.04873,0.21763
autodiff,1,4000,587.57,0.05882,0.04974,0.22683
autodiff,2,500,520.19,0.06264,0.04945,0.21335
autodiff,2,1000,538.42,0.06252,0.0481,0.21055
autodiff,2,2000,754.54,0.06217,0.04752,0.21309
autodiff,2,4000,1047.75,0.06332,0.04892,0.22717
autodiff,3,500,637.07,0.06472,0.04986,0.21029
autodiff,3,1000,633.83,0.06463,0.04731,0.20824
autodiff,3,2000,1039.35,0.06433,0.04669,0.21362
autodiff,3,4000,1509.03,0.06511,0.04821,0.22823
structured,1,500,321.16,0.05819,0.04945,0.21775
structured,1,1000,353.49,0.05811,0.04909,0.21546
structured,1,2000,353.89,0.05783,0.04873,0.21763
structured,1,4000,407.93,0.05882,0.04974,0.22683
structured,2,500,569.25,0.06264,0.04945,0.21335
structured,2,1000,591.35,0.06252,0.0481,0.21055
structured,2,2000,525.27,0.06216,0.04753,0.21309
structured,2,4000,692.06,0.06332,0.04892,0.22717
structured,3,500,666.31,0.06472,0.04986,0.21029
structured,3,1000,793.62,0.06463,0.04731,0.20824
structured,3,2000,721.67,0.06433,0.0467,0.21362
structured,3,4000,1097.35,0.06511,0.04821,0.22823
varpro,1,500,779.45,nan,0.17693,523.49548
varpro,1,1000,710.3,0.23399,0.05371,0.63436
varpro,1,2000,751.86,0.23456,0.03056,0.28533
varpro,1,4000,747.69,0.22902,0.01837,0.20518
varpro,2,500,905.55,nan,nan,nan
varpro,2,1000,996.66,0.23465,0.05585,0.7274
varpro,2,2000,1050.95,0.23429,0.02572,0.30739
varpro,2,4000,1051.7,0.23066,0.01094,0.10385
varpro,3,500,1253.34,nan,nan,nan
varpro,3,1000,1420.41,0.23303,0.05573,0.69229
varpro,3,2000,1274.73,0.2331,0.02563,0.33927
varpro,3,4000,1711.67,0.23005,0.00829,0.07047
